,LON,LAT,ELEV,THARSIS,TPW,PALEO,OPT
0,-11.7152328,35.5297966,-3.785,-1.5278129729381917,2.3239977854097176e-05,-2.2572102670396625,-3.0769044775921164
1,-11.6966257,35.5967522,-3.739,-1.5278129729381917,2.3239977854097176e-05,-2.2112102670396627,-3.030904477592116
2,-11.6939125,35.6001129,-3.739,-1.5278129729381917,2.3239977854097176e-05,-2.2112102670396627,-3.030904477592116
3,-11.6909847,36.2495766,-3.864,-1.5309969935177246,2.389111250013837e-05,-2.3330268975947757,-3.154429058821153
4,-11.6902666,36.2467804,-3.866,-1.5309969935177246,2.389111250013837e-05,-2.3350268975947754,-3.1564290588211534
5,-11.6811914,35.4659538,-3.875,-1.5262093909374348,2.291640356890007e-05,-2.3488135254661344,-3.1676475511241318
6,-11.6197386,36.1972466,-3.908,-1.5309969935177246,2.389111250013837e-05,-2.3770268975947757,-3.1984290588211532
7,-11.6136875,35.8052139,-3.824,-1.5294088487469442,2.3564889078925895e-05,-2.2946147161421346,-3.1151649763231006
8,-11.5915623,35.4491158,-3.847,-1.5262093909374348,2.291640356890007e-05,-2.3208135254661344,-3.1396475511241317
9,-11.5761938,35.8695908,-3.843,-1.5294088487469442,2.3564889078925895e-05,-2.3136147161421343,-3.1341649763231008
10,-11.5449257,36.2300339,-3.902,-1.5309969935177246,2.389111250013837e-05,-2.3710268975947755,-3.1924290588211535
11,-11.5040426,35.9251442,-3.795,-1.5294088487469442,2.3564889078925895e-05,-2.2656147161421347,-3.0861649763231007
12,-11.5013628,35.4438553,-3.877,-1.5262093909374348,2.291640356890007e-05,-2.350813525466134,-3.1696475511241315
13,-11.4645157,36.2840691,-3.93,-1.5239039693174983,2.5219960749169088e-05,-2.406121250643251,-3.223717128847827
14,-11.4240417,35.949913,-3.808,-1.5206447019857456,2.45607958744571e-05,-2.287379858810129,-3.1032274190418683
15,-11.4173555,35.4490395,-3.9,-1.5173547693366942,2.390657821554008e-05,-2.382669137241521,-3.196751924200513
16,-11.3901529,36.319519,-3.905,-1.5239039693174983,2.5219960749169088e-05,-2.3811212506432513,-3.1987171288478264
17,-11.3418779,35.9662094,-3.776,-1.5206447019857456,2.45607958744571e-05,-2.255379858810129,-3.0712274190418682
18,-11.335391,35.4769478,-3.878,-1.5173547693366942,2.390657821554008e-05,-2.3606691372415214,-3.174751924200513
19,-11.3247061,36.274704,-3.917,-1.5239039693174983,2.5219960749169088e-05,-2.3931212506432513,-3.2107171288478265
20,-11.3045464,36.2080078,-3.907,-1.5222781823421871,2.4889772424484107e-05,-2.3847467074302373,-3.201470490811127
21,-11.2720766,36.0036736,-3.912,-1.5222781823421871,2.4889772424484107e-05,-2.389746707430237,-3.206470490811127
22,-11.2719698,36.1346207,-3.897,-1.5222781823421871,2.4889772424484107e-05,-2.374746707430237,-3.1914704908111267
23,-11.2540274,35.4930763,-3.82,-1.5173547693366942,2.390657821554008e-05,-2.302669137241521,-3.116751924200513
24,-11.2484846,36.0685539,-3.921,-1.5134648388575502,2.5886471579626395e-05,-2.4075610476140294,-3.219555735450799
25,-11.1719322,35.5063248,-3.804,-1.510099142257467,2.5224147556316064e-05,-2.2939260818900893,-3.1041153517070295
26,-10.8370132,35.8199196,-3.968,-1.5028343684161407,2.6546668650846056e-05,-2.46519217825251,-3.271483020823149
27,-10.8363523,35.8171234,-3.965,-1.5028343684161407,2.6546668650846056e-05,-2.46219217825251,-3.268483020823149
28,-10.7603273,35.7825165,-3.944,-1.5028343684161407,2.6546668650846056e-05,-2.44119217825251,-3.247483020823149
29,-10.6878595,35.7473106,-3.946,-1.4920144554911015,2.720029295715351e-05,-2.4540127448018563,-3.254498105398081
30,-10.6430006,36.4803314,-3.843,-1.4973268801485298,2.8212209876760573e-05,-2.345701332061347,-3.1490363873369653
31,-10.6127033,35.7153625,-3.983,-1.4920144554911015,2.720029295715351e-05,-2.491012744801856,-3.2914981053980807
32,-10.561636,36.4576187,-3.834,-1.4973268801485298,2.8212209876760573e-05,-2.336701332061347,-3.1400363873369654
33,-10.5574217,36.5019493,-3.891,-1.4990827371174167,2.8551468778393075e-05,-2.391945814351362,-3.1962227451170118
34,-10.5152245,35.7098694,-3.961,-1.4920144554911015,2.720029295715351e-05,-2.469012744801856,-3.2694981053980805
35,-10.4775009,36.4381561,-3.752,-1.4882896423145708,2.9205641088819464e-05,-2.263739563326518,-3.0622254003609983
36,-10.4733238,36.5144958,-3.953,-1.4900918375555512,2.9547554025741496e-05,-2.4629377099984744,-3.262390282644144
37,-10.4325428,35.7222786,-3.903,-1.4828387411284993,2.8185308978796892e-05,-2.420189444180479,-3.215751295218839
38,-10.3978653,36.4062996,-3.569,-1.4882896423145708,2.9205641088819464e-05,-2.080739563326518,-2.8792254003609985
39,-10.3885374,36.524128,-3.916,-1.4900918375555512,2.9547554025741496e-05,-2.4259377099984745,-3.225390282644144
40,-10.3498163,35.7345924,-3.847,-1.4828387411284993,2.8185308978796892e-05,-2.364189444180479,-3.159751295218839
41,-10.3157949,36.3631058,-3.33,-1.4882896423145708,2.9205641088819464e-05,-1.8417395633265181,-2.6402254003609986
42,-10.3043528,36.5364761,-3.892,-1.4900918375555512,2.9547554025741496e-05,-2.4019377099984744,-3.201390282644144
43,-10.2682972,35.7524109,-3.824,-1.4846630569063126,2.8524492629301393e-05,-2.3393654675863167,-3.1359059238752307
44,-10.2465858,36.3121758,-3.476,-1.4791670013773355,3.01970480688302e-05,-1.9968631956707334,-2.7904539948276703
45,-10.222023,36.5571899,-3.88,-1.4810157070908594,3.054162798406015e-05,-2.3990148345371245,-3.1935973218089524
46,-10.2121353,36.2387543,-3.504,-1.4773109800208752,2.9853276350326307e-05,-2.0267188732554753,-2.8193140588537866
47,-10.207016,35.8134499,-3.773,-1.475447682652414,2.9510339008095156e-05,-2.297581827686594,-3.0891774955314037
48,-10.2064018,35.9553757,-3.706,-1.475447682652414,2.9510339008095156e-05,-2.230581827686594,-3.0221774955314036
49,-10.2059193,36.03368,-3.787,-1.4773109800208752,2.9853276350326307e-05,-2.3097188732554756,-3.1023140588537865
50,-10.196454,36.1684608,-3.328,-1.4773109800208752,2.9853276350326307e-05,-1.8507188732554753,-2.6433140588537865
51,-10.1949081,35.887558,-3.561,-1.475447682652414,2.9510339008095156e-05,-2.085581827686594,-2.8771774955314036
52,-10.1849232,36.1005135,-3.648,-1.4773109800208752,2.9853276350326307e-05,-2.1707188732554754,-2.9633140588537867
53,-10.1450195,36.5857697,-3.877,-1.4810157070908594,3.054162798406015e-05,-2.3960148345371244,-3.1905973218089523
54,-10.1112471,36.1894836,-3.758,-1.4773109800208752,2.9853276350326307e-05,-2.2807188732554753,-3.0733140588537866
55,-10.0998344,36.1215096,-4.031,-1.4773109800208752,2.9853276350326307e-05,-2.5537188732554754,-3.3463140588537863
56,-10.0976429,36.2581978,-3.77,-1.4791670013773355,3.01970480688302e-05,-2.2908631956707333,-3.0844539948276704
57,-10.0780792,36.627388,-3.89,-1.4810157070908594,3.054162798406015e-05,-2.4090148345371243,-3.2035973218089526
58,-10.0601511,36.3332634,-3.785,-1.4791670013773355,3.01970480688302e-05,-2.305863195670733,-3.0994539948276705
59,-10.0565672,36.0552559,-3.916,-1.4773109800208752,2.9853276350326307e-05,-2.4387188732554756,-3.2313140588537865
60,-10.0159426,36.3947678,-3.692,-1.4791670013773355,3.01970480688302e-05,-2.212863195670733,-3.0064539948276705
61,-10.0048008,36.6902313,-3.908,-1.4810157070908594,3.054162798406015e-05,-2.4270148345371245,-3.2215973218089524
62,-9.990962,36.0009079,-3.898,-1.4680585918524984,3.0839884888023486e-05,-2.4299722480323895,-3.2176027859641585
63,-9.9518766,36.7472343,-3.871,-1.4718565442894673,3.153367184194751e-05,-2.3991749893823746,-3.188842843617714
64,-9.9470711,36.4597473,-3.585,-1.4699611748966157,3.11864120569073e-05,-2.1150700115154413,-2.903721142940153
65,-9.9412861,36.4663734,-3.549,-1.4699611748966157,3.11864120569073e-05,-2.0790700115154412,-2.8677211429401526
66,-9.9197884,35.953125,-3.88,-1.4661488374961058,3.0494116724681285e-05,-2.4138816566206187,-3.20048775307881
67,-9.9023552,36.80373,-3.816,-1.4737446582024345,3.188163779796644e-05,-2.3422872234353638,-3.1329679073711905
68,-9.8610182,36.8648987,-3.886,-1.4737446582024345,3.188163779796644e-05,-2.4122872234353636,-3.2029679073711907
69,-9.8379011,35.9212723,-3.811,-1.4661488374961058,3.0494116724681285e-05,-2.3448816566206188,-3.13148775307881
70,-9.8112564,36.9213905,-3.842,-1.4737446582024345,3.188163779796644e-05,-2.3682872234353636,-3.158967907371191
71,-9.7572136,36.9755287,-3.905,-1.4737446582024345,3.188163779796644e-05,-2.4312872234353637,-3.221967907371191
72,-9.7435589,35.9142151,-3.871,-1.4567687738412682,3.1475807282440826e-05,-2.414262701966014,-3.195835652571307
73,-9.6882229,37.0287514,-3.856,-1.4664793881593168,3.322543650253699e-05,-2.3895538372771856,-3.176335816327151
74,-9.6538944,35.9121742,-3.762,-1.4567687738412682,3.1475807282440826e-05,-2.305262701966014,-3.086835652571307
75,-9.6249809,37.0752945,-3.849,-1.4664793881593168,3.322543650253699e-05,-2.3825538372771855,-3.1693358163271514
76,-9.5998669,37.0086327,-3.905,-1.4664793881593168,3.322543650253699e-05,-2.4385538372771856,-3.2253358163271515
77,-9.5700455,35.920784,-3.843,-1.4567687738412682,3.1475807282440826e-05,-2.386262701966014,-3.167835652571307
78,-9.5405073,36.9349594,-3.952,-1.4645515632513988,3.287424985886291e-05,-2.4874813109984597,-3.2732291562168943
79,-9.5264959,36.642746,-3.85,-1.4626165450696922,3.252366694097761e-05,-2.387415978597249,-3.172125830303973
80,-9.5236549,36.7158546,-3.72,-1.4626165450696922,3.252366694097761e-05,-2.257415978597249,-3.042125830303973
81,-9.5230627,36.7130241,-3.74,-1.4626165450696922,3.252366694097761e-05,-2.277415978597249,-3.062125830303973
82,-9.5123196,36.5748825,-3.857,-1.4626165450696922,3.252366694097761e-05,-2.394415978597249,-3.179125830303973
83,-9.4861755,35.9466324,-3.805,-1.4473097404851982,3.2455392341014495e-05,-2.3577227149071427,-3.1342201517343913
84,-9.4841232,36.5089455,-3.885,-1.453297902160873,3.351159477603729e-05,-2.431735609433903,-3.2114452655793633
85,-9.4813461,36.8787613,-3.864,-1.4552799471577003,3.3864807480446236e-05,-2.40875391764978,-3.189526796860235
86,-9.432889,36.000061,-3.716,-1.4493127512726092,3.2806860372194554e-05,-2.266720055587763,-3.0442919650432727
87,-9.3933439,36.8758965,-3.795,-1.4552799471577003,3.3864807480446236e-05,-2.33975391764978,-3.120526796860235
88,-9.3928041,36.0661583,-3.648,-1.4493127512726092,3.2806860372194554e-05,-2.198720055587763,-2.976291965043273
89,-9.3659458,36.1449623,-3.508,-1.4493127512726092,3.2806860372194554e-05,-2.058720055587763,-2.8362919650432725
90,-9.3471794,36.2111435,-3.682,-1.4493127512726092,3.2806860372194554e-05,-2.232720055587763,-3.010291965043273
91,-9.3152933,36.903656,-3.856,-1.4552799471577003,3.3864807480446236e-05,-2.4007539176497805,-3.181526796860235
92,-9.2539539,36.2292519,-3.89,-1.4493127512726092,3.2806860372194554e-05,-2.440720055587763,-3.218291965043273
93,-9.181962,36.1923676,-3.899,-1.4398237551342958,3.3787190680859706e-05,-2.4592100320563848,-3.23169035161455
94,-9.1071539,36.1586914,-3.864,-1.4398237551342958,3.3787190680859706e-05,-2.424210032056385,-3.1966903516145497
95,-9.018878,36.1469269,-3.841,-1.4398237551342958,3.3787190680859706e-05,-2.401210032056385,-3.17369035161455
96,-8.9344912,36.1548004,-3.897,-1.4302603387071213,3.476539186835728e-05,-2.466774426684747,-3.23412322929711
97,-8.8527975,36.1766853,-3.871,-1.4302603387071213,3.476539186835728e-05,-2.4407744266847473,-3.2081232292971102
98,-8.7715673,36.2013016,-3.829,-1.4302603387071213,3.476539186835728e-05,-2.398774426684747,-3.1661232292971104
99,-7.7887235,36.7002144,-3.707,-1.3958567834101814,3.9394732353906566e-05,-2.3111826113221725,-3.0600706341986568
100,-7.7875113,36.6931076,-3.707,-1.3958567834101814,3.9394732353906566e-05,-2.3111826113221725,-3.0600706341986568
101,-7.7099919,36.6617546,-3.681,-1.386048651117174,4.036768414188395e-05,-2.294991716566968,-3.038616929642867
102,-7.6098676,36.6834106,-3.668,-1.386048651117174,4.036768414188395e-05,-2.281991716566968,-3.025616929642867
103,-7.5554481,36.7362633,-3.678,-1.386048651117174,4.036768414188395e-05,-2.291991716566968,-3.035616929642867
104,-7.5009036,36.7890968,-3.675,-1.3883617707133655,4.073965986325683e-05,-2.286678968946498,-3.0315450241317974
105,-7.3762813,36.7731705,-3.659,-1.3785397080707205,4.171313229418673e-05,-2.2805020050615736,-3.0200977762150694
106,-7.3022132,36.7337761,-3.666,-1.3761792383465896,4.1338426180960466e-05,-2.289862100079591,-3.0281916261596407
107,-7.2227097,36.6876564,-3.671,-1.36625068535103,4.230694135912421e-05,-2.3047916215903292,-3.0377937317830255
