Lat,Lon,Elevation [m]
55.1725464,-72.806778,-3532
55.2618179,-71.01194,-3616
55.3064575,-68.6607437,-3765
55.3064575,-67.0138779,-3835
55.083271,-64.7677917,-3878
54.770813,-75.022583,-4381
54.9493599,-73.8787155,-3503
54.8600883,-63.1680336,-3982
54.6369019,-61.0469551,-4012
54.4583549,-74.98629,-3173
54.0566216,-58.8222923,-3939
53.654892,-74.0017319,-3418
53.3870697,-56.5459824,-4029
53.1638832,-73.0779724,-3467
52.4943314,-54.2914696,-4025
52.405056,-71.0097656,-3498
52.0033264,-53.113842,-3971
51.7801399,-69.8056107,-3550
51.1552238,-86.4343262,-1488
51.2444992,-85.4611053,-1899
51.1998596,-84.8796234,-1782
50.8427658,-87.480072,-1125
51.0659485,-86.9778137,-1306
50.9320412,-83.3275528,-2465
51.0659485,-68.723175,-2789
50.9766769,-51.7893028,-3988
50.3517609,-87.9713364,-888
50.5303078,-81.7733459,-2227
50.6195831,-68.2798996,-2409
49.9946632,-88.2884293,-837
50.0393028,-79.5440521,-2862
49.9500275,-68.7134323,-1750
50.173214,-68.2672272,-1945
50.173214,-50.9133987,-3946
49.5036583,-88.1553116,-878
49.7714806,-77.721344,-3104
49.5036583,-75.7141571,-3219
49.4143867,-70.018898,-2147
49.6822052,-69.3690033,-2352
49.0126534,-115.253334,-1214
49.1019287,-114.096962,-1103
49.0572891,-112.0872116,-960
49.0126534,-87.895134,-591
49.3697472,-74.342392,-3124
49.3251114,-73.5901108,-3092
49.3251114,-71.1931,-2828
49.1465645,-49.9868546,-3825
48.6555595,-118.7593307,-1242
48.9680176,-117.8698883,-1303
48.7448311,-110.1702118,-727
48.5662842,-87.3864975,-474
48.2984619,-118.7315063,-1071
48.2538261,-108.437851,-476
48.4770088,-49.8624077,-3905
47.8967323,-118.8059998,-846
47.807457,-86.7003098,-783
48.0752792,-50.7411957,-3891
48.0306396,-51.6984558,-3675
47.2718124,-119.6986008,-594
47.6735458,-118.8935928,-739
47.4503632,-106.7046356,45
47.6735458,-51.8077126,-3757
47.003994,-122.1081314,-900
47.2271767,-120.9123611,-818
47.1379051,-87.5056381,-904
47.0932655,-51.306118,-3758
46.7361717,-122.6075363,-910
46.5129852,-105.3688889,583
46.7361717,-87.5028763,-920
46.6468964,16.2211742,-3913
46.7808075,16.8481236,-3834
46.7808075,17.8258724,-3839
46.6468964,19.14715,-3659
46.2005272,-122.4387665,-466
46.1558914,-87.1556473,-984
46.2898026,14.8231745,-3915
46.0666161,19.5882435,-3853
45.8880692,-122.3894882,-286
45.7095222,-104.099617,1141
45.6648865,-88.6235275,-958
45.6648865,-87.4738388,-961
45.8880692,-50.3099174,-3676
45.8880692,13.8819447,-3642
45.3970642,-122.338623,-20
45.4417,-89.1629333,-830
45.2631531,-50.1336555,-3540
45.1292419,12.051054,-3723
45.4417,13.1355104,-3712
45.3077888,19.8955154,-3186
44.8614197,-122.5805283,159
44.9060593,-103.2646332,1608
44.7721481,-89.4435806,-617
44.950695,-50.869133,-3396
44.6828728,19.8680668,-3659
44.2811432,-122.1117477,850
44.2365036,-89.3108139,-456
44.5043259,-51.1665459,-3256
44.3704147,11.0196543,-3592
44.2365036,37.597271,-3104
44.4150543,38.1493225,-2699
44.3704147,38.8071175,-1067
44.0579567,-101.9606323,1038
43.9240456,-89.5220947,-393
43.8794098,19.9697609,-3755
43.7008629,-122.2202148,988
43.7008629,-50.9697838,-3369
43.5669518,9.6394949,-3871
43.6562271,19.8953876,-3810
43.7008629,36.8275414,-2960
43.7008629,39.297226,-766
43.1652184,-121.9999924,1302
43.1205826,-100.3849487,520
43.2991295,-89.946022,440
43.2544937,-50.3494911,-3658
42.9420357,19.8459854,-3453
42.9866714,16.9924488,-3540
43.0759468,16.5283127,-3539
43.2991295,36.583313,-1422
42.7634888,-122.8474884,1079
42.5403023,-89.7537766,423
42.5403023,-49.6485252,-3633
42.7188492,9.506691,-3372
42.7634888,16.3839073,-3420
42.8527603,39.7883873,-1320
42.27248,-123.5147171,718
42.27248,-99.5058212,635
42.1832085,-2.6219859,-4048
42.3171196,0.0285735,-3896
42.3171196,3.2280049,-3788
42.0939331,5.9836941,-3808
42.0939331,9.5327654,-3169
42.4063911,19.3129501,-3738
42.2278442,18.4142952,-3719
42.4510307,17.6328335,-3520
42.4063911,16.5925903,-3307
42.27248,40.5058632,-1546
41.7368393,-123.6157379,909
41.8261108,-99.5278702,812
41.8707504,-89.4669266,1
42.0046616,-49.2884369,-3726
41.8261108,-5.1231718,-4133
41.960022,-3.9934077,-4063
42.0046616,6.8162603,-3830
41.7368393,7.6850333,-3435
41.8261108,17.1601696,-3520
41.9153862,35.9595108,-1884
41.7814751,41.0921173,-1154
41.4243813,-99.0882568,1006
41.2458344,-89.3777542,653
41.469017,-49.4747696,-3711
41.2458344,-49.720974,-3681
41.2904701,-6.6254687,-4304
41.5582924,-6.0563269,-4224
41.3351059,8.4102688,-3704
41.3351059,8.9452982,-3627
41.5136528,9.2679863,-3551
41.2011948,17.5292301,-2272
41.2458344,29.2957535,-2530
41.2458344,30.4830818,-1394
41.2011948,31.4114971,-1109
41.2904701,36.2664108,-1969
40.9780121,-123.7201157,1003
40.9780121,-7.6582317,-4141
40.9333763,26.4979496,-1996
40.8887367,27.6019211,-2056
40.7994652,32.8126869,-799
41.0672836,41.1754646,-1186
40.844101,47.5860596,-2172
40.4423676,-124.1951599,976
40.7548256,-98.5550079,1021
40.5316429,-98.5196533,1009
40.5762787,-88.6535187,590
40.5762787,-49.9839897,-3621
40.4196129,-50.1555023,-3605
40.665554,-8.3284016,-4190
40.665554,17.6230698,-3404
40.3977318,25.465414,-1980
40.4870071,33.3637199,-651
40.665554,36.1009865,-1748
40.5762787,46.5722923,-1181
40.7101898,48.9035034,-679
39.9067268,-88.0138092,739
40.1816902,-50.0181046,-3642
40.1745491,-9.1441212,-4318
40.1745491,17.5533333,-3314
40.2638206,34.0138397,-1433
40.2191849,35.452858,-1594
40.2638206,35.8272171,-1756
40.1299095,41.419445,-993
39.9067268,45.8812027,-1721
40.1745491,49.5084915,-689
39.5496292,-141.3961639,-3593
39.8174515,-140.3765564,-3311
39.8174515,-137.8776398,-2393
39.7281799,-136.6542358,-1893
39.7728157,-124.4886551,745
39.7728157,-97.8315125,837
39.496067,-49.7803535,-3614
39.7281799,-9.6069927,-4175
39.6389046,17.7644062,-3030
39.5942688,49.9022102,-143
39.0586243,-142.2472076,-3627
39.2371712,-134.7131348,-423
39.2818108,-124.7071533,615
39.2371712,-97.0803299,618
39.3710823,-87.5657578,786
39.2818108,-10.0068207,-4407
39.2818108,18.7691803,-2986
39.1478996,19.9996834,-2003
39.3264465,24.9554958,-3235
39.4157219,41.9163628,-617
39.3264465,50.1144943,-81
39.1478996,50.792923,-327
39.1478996,50.8504829,-272
39.3264465,52.307251,-289
39.3264465,52.9996986,-338
39.1478996,54.3614845,-321
39.0586243,55.7298012,-807
38.8800774,-125.203186,497
38.7461662,-96.5808563,382
38.6568909,-96.5175247,399
38.8800774,-87.4161987,1238
38.7247391,-49.7511406,-3593
38.8800774,20.9562016,-3161
38.6122551,21.7917442,-1684
38.7015305,24.7359409,-2033
38.8800774,42.286644,-406
38.8354416,45.1826096,-1113
38.790802,56.3788338,-1363
38.6568909,56.4447594,-1620
38.5229836,-142.2093201,-3757
38.5229836,-132.9094696,-316
38.3890724,-125.0888596,655
38.4337082,-87.8988342,1411
38.4337082,-11.0278597,-4054
38.2997971,22.8351345,-1816
38.2105255,23.7160339,-3068
38.2551613,24.1853428,-1873
38.5229836,24.6744556,-1813
38.3444328,42.8827057,291
37.9427032,-142.3809204,-3806
38.1658859,-131.858429,-1703
37.7641563,-131.1389771,-408
37.8534279,-125.9835892,519
38.0766144,-96.5973282,442
38.0319748,-88.0946426,1332
38.153389,-50.0128403,-3528
37.7820091,-50.519558,-3452
37.8534279,-11.223156,-4093
38.1658859,43.4019775,223
38.1212502,43.5456505,116
38.1658859,44.4806786,7
38.1212502,56.5388756,-1986
37.3624229,-142.676651,-3859
37.3624229,-126.3340149,461
37.4070587,-96.7951584,563
37.3624229,-88.8751221,1013
37.674881,-88.1201324,836
37.3177872,-11.8723354,-4176
37.5856056,56.12957,-1120
36.9606895,-142.5907288,-3902
37.183876,-130.1247406,586
36.9160538,-126.819046,398
37.0946007,-89.4553986,1000
37.2677917,-51.0699654,-3501
36.8267784,-136.4855042,-1638
36.8267784,-137.2662048,-1894
36.4696846,-137.9078522,-2175
36.7375069,-128.9742432,5
36.4696846,-128.0276642,163
36.4696846,-127.0285416,412
36.55896,-96.4445343,665
36.6482315,-91.7715988,820
36.7821426,-91.0399857,734
36.8267784,-90.0893021,829
36.8678474,-51.1941719,-3480
36.6928711,-12.7214832,-3988
36.871418,55.4330635,-272
36.0679512,-134.5495453,-1534
36.0233154,-138.9437103,-2218
36.2911377,-143.0187836,-3873
36.1125908,-95.8934555,716
36.2018623,-92.0199356,781
36.153656,-51.2546654,-3374
36.2465019,54.5990868,53
35.8001328,-142.845047,-3805
35.6662216,-91.7281799,1021
35.7251396,-51.2942276,-3391
35.621582,-13.9216423,-4215
35.9340401,-13.4251795,-4128
35.8001328,54.1805801,-156
35.2644882,-132.9835052,-978
35.5323105,-139.4595642,-1627
35.2644882,-143.0972443,-3887
35.3983994,-94.8723373,517
35.1752129,-14.6639137,-3968
35.309124,54.2873268,-212
35.2198524,54.5553818,-920
35.2198524,57.779068,-341
35.2198524,58.7079277,-1909
35.309124,59.593132,-1181
34.9073944,-132.1304321,-716
34.9073944,-139.805069,-1654
34.996666,-93.8049088,842
34.7288475,-92.6309433,981
34.8627548,-91.8022995,1844
35.1305771,-91.6120224,847
35.0395203,-51.5230827,-3253
34.818119,-15.4156313,-4149
34.996666,55.1690369,-166
34.996666,55.8229065,-300
35.0413055,56.6711769,-801
35.1305771,61.0995445,-1815
34.7734833,62.1381531,-1316
34.4163857,-130.9710388,218
34.5949364,-141.0123138,-1238
34.4163857,-142.0091705,-831
34.6842079,-142.4127045,-1334
34.2967606,-51.6856346,-3122
34.193203,-16.0020237,-4123
34.2824783,62.2050438,-1746
33.9700203,62.3523216,-1767
33.7468338,-130.1543121,232
33.6111374,-52.1970139,-3369
33.5236511,-16.7872906,-4091
33.4343758,65.1740341,-1769
33.4343758,65.9228745,-1334
33.38974,-130.2051849,107
33.2558289,62.6384926,-2435
33.2111931,62.6598778,-2324
33.2111931,63.6735535,-724
33.1219177,66.4335022,-261
32.8987312,-130.1697083,227
32.7541084,-52.3682861,-3410
32.9433708,-17.5804768,-4214
32.7201843,66.6631546,-413
32.4077263,-130.1441193,-227
32.2684593,-52.5253525,-3250
32.2738152,-17.7662926,-4079
32.3630905,66.979866,-109
32.2291794,69.8359528,74
32.4077263,70.8725739,-1418
32.3630905,72.0530014,-1122
32.0465698,-52.7390747,-3283
32.0059967,-52.6660309,-3268
31.8274479,66.7984238,-153
31.7828102,68.4990234,43
31.8274479,72.2096558,-107
31.2918053,-129.5713501,-356
31.6042633,-17.8469753,-3962
31.1132565,-53.2592545,-3162
31.1578941,66.6870422,31
31.023983,66.8535614,199
31.2025299,67.5012817,436
30.8007984,-18.2156963,-3797
30.8007984,72.2582397,-1141
30.3990669,-129.8202972,-861
30.3097935,-53.5929985,-3136
30.0419712,-18.5386581,-3962
30.3544292,72.0815659,-1407
29.6848755,-129.8126221,-1103
29.8634243,-53.9178314,-3431
29.595602,-18.8154068,-4132
29.6402397,71.0511551,-1714
29.3277817,-54.0418816,-2835
29.3277817,69.9620361,-1133
28.7028637,-54.2248344,-3225
28.7921391,-19.1778927,-4058
28.7921391,69.0392532,1068
28.2564964,-54.3001976,-3509
28.3904057,69.1311035,173
28.2118587,-129.7524719,-1560
28.2118587,-19.0727139,-3838
28.1225853,69.2107086,1022
27.854763,69.8972549,749
27.7208519,-54.4344711,-3196
27.6762161,-18.978363,-3174
27.7654896,70.5965118,758
27.6762161,72.2524567,1312
27.4530315,73.463829,86
27.3191204,-129.1948395,-1242
27.0959358,-54.6790161,-3442
27.0513,-54.7073669,-3309
27.3191204,-18.7661724,-3099
27.0066624,74.27211,-748
26.6049309,-128.6777496,-937
26.6942043,-18.6621418,-3043
26.4263821,-128.6273804,-561
26.2924728,-21.4349346,-3869
26.3817463,-20.9532127,-3850
26.3371086,-19.9987946,-3849
26.2478352,-18.4405785,-3140
26.2031975,75.2447433,292
25.7568283,-128.1411743,-230
25.9353771,-54.8737297,-3407
25.8907394,-21.808012,-3701
26.0246506,-19.3988361,-3678
25.9353771,-18.8877544,-3654
25.9353771,-18.5403042,-3435
25.4192543,-127.9732437,-292
25.4670773,-127.9833069,-617
25.2658234,-21.9906101,-3810
24.7943363,-127.9107513,-709
24.9639568,-127.9196777,-479
24.9533653,-55.1665497,-1913
25.1765499,75.3387604,1273
24.5890083,-127.901825,-499
24.6409073,-22.1739388,-3485
24.4623585,75.4451218,156
24.0712185,-127.8839722,-624
24.2497673,-127.8839722,-789
24.2391739,-55.1463814,-1948
23.9713535,-22.4968662,-3356
23.4909401,-137.3737793,-2467
23.5087948,-137.2041473,-2451
23.6159229,-136.8827667,-2481
23.6516323,-136.71315,-2480
23.7051964,-136.5524597,-2481
23.69627,-136.3828278,-2283
23.6784153,-136.2132111,-1775
23.5980682,-135.927536,-1788
23.5980682,-135.7489929,-1809
23.6159229,-135.5793762,-1859
23.6427059,-135.4097443,-1805
23.5891418,-135.249054,-1694
23.5087948,-135.09729,-1592
23.4909401,-133.9724426,-290
23.5355759,-133.8028259,-281
23.5891418,-133.6421356,-536
23.6337776,-133.4725037,-883
23.6516323,-133.302887,-1334
23.69627,-133.1332703,-1383
23.69627,-132.7850952,-1014
23.5802135,-132.4458618,-1129
23.4998665,-132.2940979,-1519
23.7409058,-127.9732437,-288
23.9015999,-127.9196777,-95
23.7035313,-55.0638771,-2056
23.7928066,75.6366577,380
23.1678886,-138.3997803,-2364
23.3464375,-137.8560028,-2333
23.3464375,-137.6407776,-2315
23.4195213,-137.5344696,-2350
23.4820118,-134.9276733,-1428
23.4463024,-134.7580566,-1203
23.4463024,-134.5884247,-1173
23.4284477,-134.3206024,-630
23.4463024,-134.1509857,-340
23.4463024,-132.1334076,-1243
23.4463024,-131.9637756,-976
23.4195213,-131.7941589,-126
23.4016666,-131.6245422,-333
23.3659573,-131.4549255,-224
23.357029,-131.2763672,-101
23.357029,-131.1067505,-78
23.3213196,-129.8212128,-744
23.3213196,-129.6515961,-840
23.330246,-129.4819641,-906
23.330246,-129.303421,-893
23.3391743,-129.1338043,-856
23.3391743,-128.624939,-793
23.1232529,-22.4007454,-3082
22.6768837,-138.8666687,-2233
22.7215195,-55.2413177,-1907
22.9000683,76.2441559,729
22.319788,-22.4143429,-5034
22.4536991,76.7691422,-348
22.1858768,-139.3885956,-2286
22.1412411,-55.0590324,-1953
21.3377762,-139.3820343,-1579
21.6948719,-139.3886566,-2268
21.3377762,-22.8360481,-3439
21.1592293,-54.6378441,-2010
20.8021336,-139.5971527,-1479
20.6682224,-23.3063107,-2908
20.6235867,77.7150345,-1086
20.3557644,-139.6179199,-1887
20.4004021,-54.1258202,-2217
20.087944,78.0638046,-1190
19.7308483,-53.8478546,-2313
19.9093952,-23.9045906,-3133
19.5076637,-139.4861145,-1455
19.1952057,-24.2716465,-3061
19.0166569,-139.5883636,-1501
19.0166569,-53.3290596,-2319
19.1059322,78.1557617,-2446
18.347105,-139.790329,-1299
18.6149254,-24.6115131,-3118
17.9453716,-140.0794067,-1445
18.2131939,-52.3258972,-2413
18.2131939,78.1685257,-1193
17.4990025,-140.3395386,-1685
17.8560982,-51.8446579,-2486
17.4543667,-51.3547554,-2426
17.4990025,-25.8598118,-2932
17.8560982,-25.8174381,-2861
17.097271,-27.3445301,-2713
17.2758179,-26.6697121,-2792
17.3204556,77.9194946,-3472
16.9633598,-140.3532104,-1809
16.8740864,-51.1010704,-2340
16.606266,-28.671032,-3471
17.0079975,-27.9849625,-2840
16.5169907,-140.0712738,-1641
16.4277172,-50.9821434,-2452
16.5169907,-28.9836559,-2375
16.4277172,77.6916962,-2771
15.8401756,-139.5632172,-1240
15.9852457,-139.6524811,-1332
16.0791035,-139.6837769,-1370
15.9367113,-50.7626724,-2544
15.8474379,-29.4887409,-2888
15.3826475,-139.0387268,-765
15.4942398,-139.1726379,-889
15.5946722,-139.3177032,-1020
15.6242533,-49.8502083,-2677
15.4903431,-49.6788216,-2649
15.5349798,-30.1385403,-3586
14.8916416,-136.7845612,2691
14.9362783,-136.9519501,2461
14.9585972,-137.119339,2158
14.9697561,-137.2978973,2086
15.0032339,-137.4652863,1885
15.0255518,-137.6326599,1562
15.0701885,-137.8000488,1275
15.0925074,-137.9674377,999
15.1036663,-138.1571503,705
15.1148262,-138.3356934,390
15.1594629,-138.5030823,31
15.1817808,-138.6704712,-222
15.2822142,-138.8936615,-572
15.0886106,-49.2138443,-2750
15.0439739,-30.5764484,-3642
15.2671585,77.3850555,-2592
14.8023672,-136.6283417,2594
14.7761526,-49.0499954,-2751
14.6422415,-30.7042255,-3373
14.04354,-135.0772095,2397
14.1104956,-135.2892303,2476
14.2109289,-135.4342957,2584
14.2890434,-135.5905304,2464
14.3783169,-135.7355957,2504
14.1065989,-48.4423561,-2790
14.1065989,-34.0826111,-3770
14.4190569,-33.346386,-3579
14.4190569,-32.7933197,-3141
14.0619621,-31.7291412,-2551
14.0619621,-30.900856,-2805
14.3297834,77.1434402,-2346
13.5748529,-132.5552216,198
13.6306486,-132.7226105,317
13.6418085,-132.9011536,253
13.6418085,-133.258255,463
13.6306486,-133.4367981,507
13.6083307,-133.604187,217
13.6083307,-133.9724426,-130
13.6641264,-134.1398315,144
13.7868786,-134.4299774,1213
13.8203554,-134.5973511,1702
13.887311,-134.76474,1942
13.9877443,-134.9098206,2381
13.7048664,-47.9448318,-2826
13.7495041,-34.9949989,-3116
13.8387775,-31.19277,-2766
13.2400761,-132.365509,-235
13.407465,-132.4213104,-114
13.4816818,-47.2570686,-2699
13.2138605,-46.5627747,-2835
13.3031349,-35.5716248,-2959
13.4816818,77.1366577,-2022
12.7267523,-132.3989868,-226
12.8941402,-132.3543549,-210
13.0615282,-132.3320312,-210
12.7674923,-45.8384018,-3679
12.9460392,-36.3901901,-3730
12.4366121,-132.5886993,-271
12.5816822,-132.488266,-254
12.3211231,-45.3021202,-2782
12.2764864,-37.9853859,-3906
12.5889444,-37.3907738,-3804
12.3657598,77.203949,-1679
11.9009695,-133.0239105,-376
12.0571985,-132.956955,-368
12.1911087,-132.834198,-321
12.1425753,-44.9975739,-2719
11.8301172,-44.2614212,-2791
11.9193907,-39.7138748,-2923
12.0533018,-38.8207245,-3822
11.7670584,-133.135498,-392
11.7408428,-43.6087646,-2817
11.6515694,-42.5008774,-2844
11.6069326,-40.944725,-2540
11.6962061,-40.2741318,-3994
11.6515694,77.0906601,-1332
11.0082312,-134.2067871,-604
11.1086645,-134.0617218,-576
11.197938,-133.9054871,-538
10.6399765,-134.7870636,-743
10.7069321,-134.6308289,-720
10.7850466,-134.4746094,-668
10.7141943,77.3868713,-1449
10.1249876,-135.7174683,-884
10.3168764,-135.0974426,-798
10.394474,-135.0437317,-801
10.5283842,-134.9209747,-790
9.7500372,-136.3771973,-988
9.3750877,-136.4440765,-877
9.5536356,77.7861633,-1504
8.785881,-136.599411,-605
8.4377127,117.7533646,-267
8.5269871,118.2772217,-371
8.4377127,118.7461166,-1379
8.1966734,-136.6604309,-354
8.1252546,78.7927551,-2022
7.9467068,106.2506104,-375
8.0806179,107.2774353,626
8.1252546,108.9125595,-648
8.1252546,110.355423,-60
8.0359812,111.683403,-37
8.3038025,117.3519974,-276
