Lat,Lon,Elevation [m]
54.1913795,-61.6881943,-3910
54.1735268,-62.0274353,-3965
54.3163643,-66.2590103,-3761
54.3342209,-66.3304291,-3746
54.2985115,-66.5982513,-3682
54.1556702,-66.9374924,-3715
53.8699951,-59.9205704,-3943
54.0306892,-60.5097771,-3930
53.9771233,-60.9025841,-3914
53.9949799,-61.2953873,-3853
54.1378174,-62.4023819,-3958
53.9949799,-62.50951,-3930
53.8699951,-62.7773323,-3871
53.7807236,-62.9737358,-3892
53.762867,-63.2237015,-3903
53.7450142,-63.6343613,-3866
53.7450142,-63.9557457,-3852
53.7985764,-64.0807343,-3705
53.7985764,-64.2771301,-3699
53.7450142,-64.4378281,-3570
53.762867,-64.8306274,-3594
53.9057045,-65.0270309,-3666
54.0663986,-65.1341629,-3726
54.102108,-65.3841248,-3757
54.102108,-65.5983887,-3748
54.0842514,-65.8483505,-3714
54.0842514,-66.0804672,-3749
54.1378174,-66.1875916,-3700
54.0306892,-66.9910583,-3719
53.8699951,-66.9910583,-3028
53.7450142,-67.0446243,-3097
53.3164978,-59.4563484,-3869
53.6021729,-59.7777328,-3885
53.709301,-64.5985184,-3471
53.6200294,-67.0803299,-3190
53.5843201,-67.2053146,-3223
53.4771919,-67.4731369,-3234
53.298645,-67.6159744,-3647
52.8879852,-57.3494873,-3941
52.8701286,-57.7244377,-3915
52.905838,-58.0636787,-3907
53.0308228,-58.5279007,-3897
53.1022415,-58.795723,-3865
53.1379509,-59.2242355,-3890
53.0129662,-67.65168,-3358
52.905838,-67.7766647,-3315
52.8344193,-68.0266342,-3286
52.6380157,-68.1873245,-3599
52.5487442,-68.2051773,-3505
52.4416161,-55.1962013,-3952
52.4951782,-55.4640236,-3962
52.4951782,-55.6782799,-3930
52.4594688,-56.5888748,-3933
52.6558723,-56.6531525,-3922
52.4059067,-68.330162,-3584
52.3166313,-68.5444183,-3322
52.0845184,-68.7229691,-3619
52.0130997,-68.7408218,-3586
51.9952469,-53.6249847,-3960
52.0032806,-53.6464081,-3961
52.102375,-53.9106598,-3984
52.2095032,-54.2320442,-3981
52.2630692,-54.4284477,-3975
52.2630692,-54.7319794,-3967
52.3166313,-54.9462357,-3934
52.4237595,-55.89254,-3932
52.3701973,-56.0889397,-3907
52.3701973,-56.4460373,-3931
51.763134,-68.8479538,-3619
51.6381493,-68.9372253,-3606
51.6202965,-53.0714874,-3990
51.8881187,-53.3750153,-3989
51.5131683,-69.1871948,-3593
51.3524742,-69.4550095,-3572
51.2453461,-52.7322464,-3987
51.4060402,-52.8572273,-3992
51.0846519,-69.7049789,-3550
50.8525429,-69.8478165,-3523
50.7632675,-52.7500992,-3923
50.7632675,-52.5715523,-3952
50.7989769,-52.4644241,-3971
50.8882523,-52.4644241,-4009
51.0667992,-52.5358429,-3985
50.3704643,-81.2570114,-2638
50.4240265,-81.5962524,-2433
50.6382828,-69.990654,-3429
50.3168983,-51.4645576,-3956
50.3526077,-51.6966705,-3962
50.4240265,-51.9109268,-3972
50.4061737,-52.0002022,-3968
50.3168983,-52.1787491,-3949
50.281189,-53.0893402,-3949
50.5847206,-53.0893402,-3891
50.6918488,-52.9107933,-3924
49.9776573,-70.6869888,-3161
50.1383514,-70.8476868,-3444
50.1026421,-71.0619431,-3494
49.8526764,-71.6154404,-3433
49.8348198,-78.8644714,-2947
49.9062386,-79.2572784,-2864
49.9062386,-80.0428848,-2811
49.9419479,-80.5249634,-2798
50.0133667,-80.8820572,-2765
50.0669327,-81.0070419,-2604
50.1562042,-81.8997803,-2595
50.1026421,-82.1497498,-2535
49.9240952,-82.2568741,-2512
50.2097702,-70.0799332,-3422
50.0133667,-70.0799332,-2481
49.8526764,-50.6610947,-3951
49.9598045,-50.8396416,-3923
50.1740608,-51.0896072,-3901
50.1562042,-52.2323112,-3900
50.0490761,-52.357296,-3878
49.9776573,-52.410862,-3926
49.9419479,-52.5179901,-3943
49.9419479,-52.7322464,-3937
50.0847855,-53.0000687,-3944
49.5669975,-70.8833923,-3100
49.7812576,-70.7048492,-3151
49.6919823,-72.0082474,-3406
49.5312881,-72.383194,-2962
49.5491447,-79.9357605,-948
49.6919823,-79.9714661,-2183
49.763401,-79.6679382,-2791
49.6205635,-79.0787277,-2826
49.7455444,-78.8109055,-2968
49.7455444,-81.9533463,-1982
49.7098351,-81.685524,-1206
49.6027069,-81.5069733,-967
49.7991104,-70.1156387,-2643
49.4955788,-70.329895,-3000
49.4955788,-49.3398399,-3998
49.6384163,-49.5005341,-4007
49.6919823,-49.6969376,-3993
49.5848541,-49.9826126,-3937
49.5491447,-50.1075974,-3948
49.5669975,-50.2504349,-3956
49.6027069,-50.3932724,-3957
49.1027756,-71.2583466,-2864
49.138485,-71.4547501,-2285
49.3884506,-71.1512146,-2573
49.2813225,-72.7938538,-2746
49.0492096,-77.0432892,-3100
49.0492096,-77.400383,-3063
48.9956474,-77.739624,-3014
49.0492096,-79.2037125,-2913
49.2099037,-79.400116,-2947
49.3705978,-79.7036438,-2902
49.3348885,-81.4355545,-1582
48.9956474,-81.4534149,-815
49.3170319,-70.4548798,-2900
49.0492096,-70.669136,-2484
48.9956474,-71.1512146,-2283
49.0135002,-50.303997,-3713
49.1741943,-50.2504349,-3910
49.2634697,-50.0897408,-3929
49.2634697,-49.7683563,-3943
49.2813225,-49.4469719,-3988
49.3527412,-49.3755493,-3992
48.8706627,-71.4904556,-2864
48.959938,-71.5618744,-2626
48.8706627,-73.2759323,-3029
48.6742592,-73.4723358,-2364
48.5492783,-74.0436859,-2902
48.7456779,-76.1505508,-3142
48.9063721,-76.4005127,-2472
48.959938,-76.4183731,-2140
48.959938,-78.1681366,-2972
48.9420815,-78.614502,-2957
48.9420815,-78.9358902,-2849
48.6921158,-81.5605392,-1479
48.9420815,-70.8298264,-2319
48.7456779,-70.9905243,-2579
48.567131,-71.0440903,-2463
48.567131,-71.2940521,-2778
48.6921158,-71.2404861,-2246
48.8171005,-71.2047806,-2075
48.567131,-49.3934059,-3911
48.567131,-49.5719528,-3921
48.5492783,-49.7683563,-3918
48.5492783,-49.8754845,-3903
48.6385498,-50.071888,-3902
48.7278252,-50.1968689,-3904
48.7813911,-50.2861443,-3892
48.9063721,-50.303997,-3924
48.4421501,-74.6328964,-3250
48.4064407,-75.1863937,-3084
48.3885841,-75.6863251,-3022
48.4600029,-75.9184341,-3039
48.3707314,-81.7033768,-934
48.1921806,-82.0961838,-1002
48.1207619,-82.364006,-911
48.4600029,-70.9369583,-1420
48.3707314,-70.9012451,-1299
48.1743279,-70.8833923,-1271
48.1207619,-71.4547501,-2443
48.3707314,-71.3654709,-2049
48.2457466,-49.2862778,-3933
48.3885841,-49.2327118,-3933
48.0314903,-82.7925186,-571
47.942215,-83.3460159,-208
47.7279587,-83.6674042,-131
47.9600716,-71.0976486,-2532
47.9243622,-71.2404861,-2566
47.9600716,-71.3833237,-2589
47.8100891,40.470192,-3138
48.0029221,40.6201706,-3248
47.9814949,40.8772812,-3261
47.7243881,41.2200928,-3111
47.9779243,-49.2862778,-3906
47.4065742,-83.970932,-828
47.4672775,40.384491,-3109
47.424427,41.4771996,-3168
47.4601364,-49.7147903,-3914
47.5851212,-49.5183907,-3843
47.0316238,-84.1316223,-486
46.8673592,40.4059143,-3025
47.1030426,40.4487648,-3094
46.9959145,41.5200539,-3113
46.9066391,-50.0540314,-3881
47.2280235,-49.9647598,-3874
46.7280922,-84.2923203,-490
46.4245605,-84.2387543,827
46.5673981,40.191658,-2862
46.5459747,41.3700714,-2091
46.4067078,-49.7683563,-3870
46.4781265,-49.9111938,-3869
46.4959793,-50.1254501,-3874
46.5316887,-50.4289818,-3795
46.6923828,-50.7146568,-3795
46.7102356,-50.5718193,-3770
46.745945,-50.3218536,-3851
46.1388855,-83.8459473,1541
46.0531807,39.4417572,-2841
46.2245865,39.7417183,-2890
46.2888641,40.0202522,-2979
46.096035,41.0701141,-2683
46.0496101,-49.3219872,-3844
46.2638664,-49.5183907,-3886
45.8532104,-83.631691,2323
45.6568069,-83.6674042,-888
45.5853882,-83.8638077,-785
45.5853882,-84.1851883,-467
45.7103691,39.4417572,-1870
45.8175011,40.855854,-2406
45.6675186,42.377079,-2865
45.8175011,42.5913391,-2920
45.7746468,42.8484459,-2855
45.5603905,43.0412788,-2870
45.8353539,-49.3041306,-3836
45.4425507,-84.4530106,-555
45.2818565,-84.70298,-628
45.2175789,38.9275398,-2080
45.3032837,39.3132057,-1890
45.4532623,39.4631844,117
45.4746895,40.9415588,-2089
45.1961555,41.2415161,-2610
45.1104507,42.1413994,-2851
45.4104118,42.2699509,-2889
45.2604294,43.0627022,-2903
45.1925812,-49.161293,-3832
45.5139694,-49.214859,-3810
45.0140343,-84.7743988,135
44.7640686,-84.8815231,-430
44.6569405,-85.2207642,-535
44.660511,37.8134041,-3346
44.853344,38.1562157,-2841
45.0247498,38.5204544,-1665
45.0247498,41.5200539,-2176
44.7676392,41.6914597,-2833
44.8747673,43.0412788,-2763
44.6819382,42.9984245,-2800
44.939045,43.2555351,-2474
45.0033226,43.5340691,-2447
44.6747932,-49.161293,-3798
44.4962463,-85.4707336,-414
44.2819901,-85.7921143,11
44.4676781,37.513443,-2961
44.5533829,41.7343102,-2627
44.5748062,42.1199722,-2937
44.5105324,43.1055565,-2839
44.6176605,43.8340302,-2795
44.2534218,43.9840088,-2913
44.4069748,-49.3398399,-3749
44.0141678,-85.970665,111
43.8713303,-86.2384872,75
43.8034821,35.4565773,-3528
43.9534607,36.3350296,-3408
44.1248665,36.4207344,-3494
44.2105713,36.5492859,-3445
44.1462936,36.7849693,-3444
44.1677208,37.0635033,-3338
44.1677208,41.7771606,-2985
43.8034821,41.9914169,-2781
44.1462936,42.0771217,-2959
44.1677208,42.8055954,-2820
43.996315,42.7198906,-2877
43.9320374,42.9770012,-2730
44.2105713,43.0841293,-2824
44.1462936,44.2625427,-2778
44.1248665,44.476799,-2686
44.1248665,45.1409988,-2467
43.9106102,45.5480843,-101
43.996315,-49.5005341,-3741
44.1748619,-49.4648247,-3761
43.8463326,9.295783,-3809
43.8677597,9.574317,-3796
43.6213646,-86.6848526,267
43.5142365,-86.9705353,263
43.3892517,-87.5597382,405
43.3963928,35.5851288,-3483
43.6106529,35.4351501,-3441
43.7606316,35.3708725,-3495
43.7392044,35.6494064,-3500
43.6106529,36.0564957,-3510
43.6535034,36.2064743,-3487
43.7820549,36.270752,-3507
43.7820549,41.712883,-2839
43.5463753,41.8200111,-2872
43.5892258,41.9057159,-2876
43.7820549,42.8484459,-2109
43.4820976,45.9551735,-1501
43.3713989,-49.5719528,-3705
43.603508,-49.5898094,-3724
43.5463753,8.9743967,-3753
43.7177811,9.0172482,-3800
43.5463753,10.0028315,-3947
43.3535423,-88.1846542,190
43.264267,-88.9167023,452
43.1749954,-89.3987808,611
43.0143013,-89.3630676,601
42.9250298,-88.8809891,722
42.9428825,-88.5774612,689
42.9785919,-88.0596695,958
43.0964355,35.3708725,-3425
43.1178589,46.2551346,-1339
43.0321579,49.8332291,-2704
42.9678802,50.0474854,-2798
43.1571388,-49.4291153,-3707
43.0750084,7.7317057,-3619
43.2035637,7.8816857,-3603
43.224987,8.1387939,-3734
43.224987,8.5458832,-3761
43.2464142,8.8458433,-3507
43.3106918,10.3027916,-3417
43.1607094,10.4956226,-3214
43.0321579,10.7955828,-3280
42.9071732,-87.5418854,513
42.8357544,-87.2919159,482
42.5679321,-87.2026443,712
42.5179405,29.1145649,-1489
42.6250687,29.414526,-3009
42.753624,34.9852104,-3385
42.8821754,46.5550957,-138
42.560791,46.6407967,-1004
42.5822182,49.3190117,-2666
42.8607521,49.5118408,-1806
42.7107697,50.1546135,-2801
42.4965134,-49.3934059,-3715
42.6393509,-49.3576965,-3715
42.853611,-49.3219872,-3715
42.7321968,7.6245775,-3581
42.9036026,7.6245775,-3673
42.8821754,10.9027109,-3763
42.3179665,-87.2026443,583
42.2394066,28.7717533,-2378
42.2608299,29.8430405,-1577
42.4322357,34.749527,-3421
42.2179794,46.8764801,-907
42.3465347,49.2333069,-2755
42.3465347,50.0903358,-1746
42.0894241,51.3758774,-2501
42.2179794,51.6758385,-2389
42.1537018,51.9329491,-2568
42.1965523,54.1183701,-2734
42.3251076,54.4397545,-3023
42.1108513,54.6325874,-2897
42.1037102,-49.679081,-3738
42.2465477,-49.5183907,-3705
42.1751289,7.1103601,-3810
42.1537018,7.4745975,-3710
42.1537018,7.7317057,-3680
42.1108513,9.295783,-3201
42.3036842,9.0386744,-3361
42.3251076,8.7815657,-3445
42.3251076,8.3101997,-3303
42.3893852,8.0745173,-3358
42.47509,7.8174086,-3526
42.4108124,11.0741167,-3209
42.1537018,11.2455225,-3835
41.9787254,-87.2740631,524
41.657341,-87.3276291,592
41.6394844,17.8446407,-3612
41.7466125,26.6720352,-3553
41.8751678,27.0791225,-3594
41.9394455,27.4219341,-3523
41.9180183,28.1718349,-3396
41.6394844,28.4503689,-2993
41.7037621,28.9860115,-1051
42.0037231,28.6860504,-2506
41.7680397,30.1858501,-1680
41.7894669,31.0428791,-3082
41.896595,31.4928188,-3212
41.896595,32.0498886,-3146
41.7680397,32.4784012,-3043
41.7037621,34.2567368,-1124
41.982296,34.4067154,-3004
41.9608727,46.8550529,-1769
41.8537445,46.7050743,-1843
41.7680397,48.676239,-2595
42.0465736,48.9119225,-2657
42.0037231,50.1546135,-1866
41.7894669,50.3474464,-2309
41.6394844,50.5402756,-2546
41.7251892,50.9259377,-2914
41.8323174,51.1187706,-2886
41.8537445,51.9757996,-1289
41.7251892,54.2469254,-2287
41.9180183,54.2254982,-2643
41.8108902,54.6540146,-1688
41.7037621,54.6968651,-2456
41.7251892,55.1896553,-2427
41.7251892,55.5967445,-2352
41.7287598,-50.0004692,-3648
41.9608727,-49.8576279,-3591
41.7037621,5.5891347,-3730
41.7680397,5.8033919,-3758
41.7894669,6.1033521,-3740
41.8108902,6.4461632,-3779
41.8751678,6.5961432,-3867
42.0465736,6.7461233,-3814
41.9394455,7.8816857,-3661
41.7251892,7.9673886,-3218
41.8323174,9.3814859,-3249
41.8751678,11.3740768,-3578
41.6823387,12.1882534,-2709
41.8108902,12.6167679,-2672
41.896595,13.0881338,-3455
41.9180183,13.195262,-3477
42.0037231,13.3238163,-2614
41.9608727,13.7523308,-3151
41.7251892,14.0737162,-3736
41.7037621,15.7020702,-3606
41.8323174,16.2591381,-2684
41.8537445,16.9661865,-3509
41.7251892,17.4589787,-3585
41.7894669,0.382687,-3934
41.9394455,0.6826469,-3871
41.9180183,0.8112012,-3893
41.7680397,0.8969041,-3873
41.7894669,1.5182496,-3792
41.9608727,1.6896554,-3833
42.0037231,1.9896153,-3896
41.9394455,2.1181695,-3869
41.6394844,2.396704,-3707
41.2538223,17.8446407,-2254
41.4252281,26.2435207,-3639
41.2538223,28.1504078,-2848
41.5109329,29.2431202,-1178
41.5966339,30.4429588,-2248
41.6180611,30.7857704,-2882
41.2966728,32.9283409,-2357
41.2109718,34.3638649,-2401
41.4895058,34.2567368,-1105
41.5966339,46.6622238,-1495
41.3181,46.6407967,-2144
41.232399,47.4121208,-2267
41.4895058,47.5621033,-2067
41.5109329,47.9691925,-2316
41.403801,48.2048721,-2524
41.5537834,48.5262604,-2659
41.5537834,51.7615433,-1276
41.3395271,51.6972656,-2796
41.3609505,52.4900169,-3058
41.2752495,52.6828461,-2954
41.232399,53.9898148,-2926
41.4466553,54.1397972,-2882
41.5966339,54.8468437,-2205
41.6180611,55.6824455,-2118
41.4252281,55.4039116,-575
41.232399,55.1468048,-1028
41.371666,-50.0361786,-3647
41.2752495,5.3748775,-3510
41.4680786,5.4605803,-3676
41.5966339,8.0102406,-3372
41.4252281,8.1173687,-3649
41.2966728,8.2673483,-3742
41.2109718,9.1243773,-3634
41.3823776,9.2743568,-3633
41.6180611,9.3600597,-3582
41.5109329,11.5026312,-2928
41.2966728,11.6097593,-2897
41.2538223,12.0168486,-3695
41.4895058,12.0811253,-3619
41.4680786,14.5022306,-3137
41.3395271,15.2521305,-3134
41.2538223,0.4041127,-3944
41.4252281,0.4255384,-3740
41.6180611,0.3398356,-3909
41.6180611,1.1325868,-3954
41.6180611,1.3254182,-3956
41.4895058,2.4181294,-3856
41.2966728,2.0967438,-3763
41.1752625,-87.2383499,974
40.9252968,-87.0955124,1081
40.9610062,-86.4884567,633
41.0859871,-86.1849213,912
40.9967155,-85.7921143,1369
40.8360214,-85.577858,1341
40.9538612,17.7160873,-3274
40.9324379,25.5364723,-3534
41.1466942,25.9649868,-3478
41.1038437,27.9575768,-2353
40.9752884,28.2361107,-1633
40.8681602,28.5789223,-1928
40.8038826,30.2501278,-1249
41.1466942,29.6502075,-2490
41.0181389,33.2711525,-994
40.8038826,33.4854088,-2339
40.9324379,34.3852921,-1564
41.125267,46.8122025,-2353
41.039566,47.1764412,-2654
41.1681213,52.0829277,-2525
41.0609932,52.8114014,-2903
40.9538612,52.9399567,-2471
40.9752884,53.2399178,-2912
41.1038437,53.6684303,-2933
40.9752884,55.1468048,-242
40.8717308,-50.0897408,-3612
41.1038437,-50.071888,-3631
40.9967155,5.2677493,-3578
41.1466942,8.5887346,-3608
41.125267,8.8886938,-3678
41.1038437,11.8025913,-3726
41.0824165,11.9097195,-3691
41.1038437,14.8021908,-3258
40.8467331,15.3164072,-2211
40.9967155,15.2092791,-3368
40.8253098,0.0184499,-3922
41.125267,0.3398356,-3949
41.1466942,1.8824868,-3614
40.8895874,1.8182096,-3566
40.3648033,-137.3455048,-2443
40.4076576,-137.0598297,-2395
40.4219398,-136.7027283,-2276
40.4362221,-136.3027802,-2211
40.4362221,-135.9885406,-2145
40.4219398,-135.6885834,-2082
40.4219398,-135.5314636,-2010
40.3933716,-135.1172333,-1919
40.7110367,-87.0598068,1089
40.7288933,-86.7562714,683
40.4075089,-85.7564087,921
40.7181816,17.5018311,-3240
40.4182205,17.4589787,-3241
40.3967934,24.7651463,-3138
40.7610321,24.9579773,-3645
40.6753273,28.5789223,-2194
40.5253487,28.0647049,-2609
40.4824982,30.5286617,-1919
40.5467758,33.8282204,-2125
40.5039215,34.1281815,-2128
40.6753273,34.3424377,-1092
40.6753273,55.4896164,-2575
40.4396477,55.553894,-1822
40.4432182,-50.3932724,-3588
40.514637,-50.3397064,-3605
40.6574745,-50.1790161,-3603
40.6324768,15.0592995,-3215
40.6110497,15.6163673,-2088
40.4824982,-0.4529157,-3885
40.653904,-0.2600843,-3900
40.6110497,1.8610611,-3679
40.064846,-139.2452545,-3023
40.1219788,-138.8738708,-2919
40.1076965,-138.5596313,-2820
40.1648331,-137.9882812,-2688
40.2219658,-137.7597351,-2588
40.3076706,-137.5597534,-2510
40.3076706,-134.7030029,-1803
40.1362648,-134.3459015,-1657
40.0219917,-134.1030731,-1556
40.0861206,-86.0599365,1225
40.1611099,17.5018311,-3280
40.0754089,19.687252,-2164
40.2039642,20.0086384,-2890
39.9468536,20.3728752,-3390
40.1396866,24.6151657,-2979
40.2253876,27.979002,-2696
40.1182594,30.5286617,-2446
39.9897041,55.5753174,-1763
39.9789925,-50.4468384,-3585
40.2289581,-50.4468384,-3635
40.1611099,15.4021101,-3155
39.9254303,15.7449217,-3379
40.2468147,15.7449217,-3412
40.3325157,2.0324667,-3695
40.1182594,2.3324268,-3800
39.9682808,2.610961,-3830
39.4934921,-140.3022461,-3355
39.7791672,-139.8451691,-3254
39.864872,-139.6023407,-3168
39.8505859,-133.8888245,-1542
39.7363167,-133.7174225,-1481
39.6791801,-133.2888947,-1495
39.8182983,-86.3277588,1674
39.8611526,17.7375126,-3298
39.6040421,18.1017494,-3360
39.4969139,19.7301044,-3554
39.6040421,19.7729549,-3331
39.7754478,19.7943821,-3247
39.5611916,20.544281,-3563
39.7111702,24.5723152,-3163
39.882576,28.1932602,-2859
39.4969139,28.3432407,-2533
39.4969139,29.4788017,-3247
39.6897469,29.9501686,-3220
39.882576,30.3144054,-2628
39.6683197,55.8538513,-2249
39.5504799,-50.4825478,-3551
39.5969009,-50.4825478,-3574
39.782589,-50.4825478,-3536
39.8397255,15.5092392,-3153
39.5183411,15.7877731,-2989
39.6683197,16.7733555,-2403
39.6897469,16.1091595,-2123
39.8611526,3.189455,-3831
39.5183411,-1.1813899,-3757
39.6254692,-1.095687,-3728
39.093544,-141.016449,-3509
39.2649498,-140.7307587,-3455
39.318367,-86.5241623,1078
39.4326363,18.3588581,-3294
39.3897858,18.9587784,-3235
39.3897858,19.3872929,-2720
39.2398071,20.5871334,-3200
39.0469742,20.9727955,-3200
39.2612305,21.3584576,-1721
39.21838,21.9798031,-3436
