Lat,Lon,Elevation [m]
53.7524567,-66.6554794,-3377
53.801178,-66.4041672,-3513
53.8570747,-65.8570709,-3669
53.8166962,-65.5982742,-3648
53.8164482,-65.3325577,-3647
53.7982254,-65.0561829,-3606
53.7619476,-64.7696075,-3549
53.7594337,-64.504364,-3577
53.7561913,-64.2391663,-3645
53.7232094,-63.9735641,-3833
53.7534103,-63.1887321,-3937
53.8279915,-62.952076,-3879
53.9243088,-62.5954971,-3908
53.9273415,-62.3191071,-3884
53.8776054,-62.0645294,-3815
53.8272171,-61.8107033,-3843
53.7585869,-61.54879,-3764
53.7347908,-61.2457848,-3808
53.315155,-67.5983734,-3623
53.3461647,-67.5600128,-3595
53.4529343,-67.3681107,-3456
53.5681648,-67.0977097,-3287
53.6690521,-66.8829651,-3319
53.7011375,-63.6987724,-3841
53.695694,-63.4341431,-3873
53.7159157,-61.1548729,-3849
53.6533356,-60.9963608,-3856
53.57761,-60.7671814,-3774
53.4630737,-60.4253349,-3789
53.3748474,-60.2095032,-3875
52.9328346,-68.2123184,-3628
53.160511,-67.9440231,-3642
53.263031,-67.7343292,-3667
53.2525558,-60.0272331,-3879
53.1411896,-59.8354301,-3857
53.0898666,-59.5610161,-3881
53.0110283,-59.3388023,-3880
52.9317093,-59.1176071,-3875
52.4404755,-68.7045059,-3622
52.5054398,-68.6287994,-3613
52.651989,-68.4885101,-3589
52.7984505,-68.3470383,-3623
52.8341904,-58.8901672,-3874
52.7931137,-58.5316238,-3894
52.7736969,-58.2758102,-3893
52.7645378,-58.0089951,-3904
52.7724304,-57.7489815,-3918
52.7509041,-57.4937935,-3925
52.6821938,-57.2376823,-3912
52.6090317,-57.0119553,-3917
52.5245781,-56.7987785,-3847
52.4396896,-56.5866394,-3930
52.0533333,-69.050148,-3591
52.1881104,-68.9209671,-3549
52.3394737,-68.8028107,-3600
52.3543663,-56.3755302,-3928
52.2541046,-56.0547638,-3921
52.2102432,-55.7989311,-3912
52.1941795,-55.5373039,-3859
52.1668129,-55.2878647,-3938
52.0892792,-55.0696182,-3938
52.0217781,-54.8403168,-3959
51.6320953,-69.4197388,-3589
51.7670403,-69.2934952,-3584
51.9139214,-69.1588898,-3603
51.9432716,-54.6239548,-3942
51.8538628,-54.4206505,-3958
51.7744637,-54.2062531,-3963
51.6616173,-53.9548111,-3937
51.1343575,-70.0421371,-3525
51.2609444,-69.8816071,-3548
51.3873482,-69.7199326,-3558
51.4970894,-69.5450287,-3574
51.5605774,-53.7669907,-3946
51.4489136,-53.5924301,-3962
51.3575401,-53.3945389,-4000
51.222229,-53.2751427,-3974
50.71101,-70.6901093,-3491
50.8178673,-70.5023804,-3544
50.8707085,-70.3501205,-3132
50.9945946,-70.1442871,-3504
51.0740852,-53.1972961,-3976
50.9081421,-53.1160431,-4010
50.7576218,-53.0677376,-3166
50.2897835,-85.0341568,-1663
50.324604,-84.8045044,-1777
50.3242569,-84.7853241,-1781
50.3300171,-84.7468567,-1789
50.3663597,-84.5013275,-1773
50.3640747,-84.2612915,-1976
50.3484993,-84.0233688,-2095
50.3309212,-83.7658539,-2150
50.3237953,-83.4865494,-2370
50.3284264,-83.2050095,-2415
50.401516,-82.9903259,-2526
50.4741249,-82.7747803,-2559
50.4924583,-82.5290756,-2571
50.5210266,-82.2605972,-2592
50.5109787,-82.0000687,-2625
50.5271988,-81.753746,-2082
50.4923897,-81.5190353,-2433
50.4695549,-81.2817383,-2672
50.4460983,-81.0447464,-2102
50.3969078,-80.8144455,-2739
50.3220558,-80.5912704,-2769
50.2884674,-71.7193756,-3461
50.4132538,-71.549469,-3465
50.4894257,-71.340683,-3509
50.5813103,-71.1435165,-3510
50.6362457,-70.9015198,-3514
50.6072159,-53.0198288,-3898
50.4720535,-52.9042702,-3932
50.3267326,-52.801609,-3960
49.8855057,-85.7104416,-1248
50.0964546,-85.5368958,-1309
50.2156105,-85.2534485,-1488
50.2362823,-80.3919296,-2789
50.150116,-80.193512,-2812
50.061348,-79.9765625,-2807
49.9391594,-79.8099518,-2786
49.8518753,-79.6144943,-2831
49.9244003,-72.2784882,-3422
50.0538483,-72.1309662,-3458
50.1592751,-71.9319839,-3452
50.2040291,-52.6478882,-3947
50.1012955,-52.4710884,-3939
50.0105896,-52.2555084,-3862
49.9572144,-52.020153,-3934
49.9210472,-51.7887726,-3946
49.8942184,-51.5456123,-3956
49.8526001,-51.1186066,-3955
49.8417816,-50.8792534,-3964
49.5872307,-85.8476715,-1112
49.7380638,-85.815979,-1204
49.7642097,-79.4199677,-2851
49.6489296,-79.2144623,-2893
49.5480881,-79.0256577,-2897
49.4369507,-78.8607178,-2886
49.4584503,-73.2601547,-3319
49.5501823,-73.0545959,-3348
49.6135674,-72.840889,-3203
49.7081871,-72.6521301,-2922
49.8145447,-72.4564896,-3300
49.7652588,-50.6719055,-3951
49.678524,-50.4778709,-3941
49.6370392,-50.4377899,-3948
49.5541267,-50.3071289,-3957
49.4035912,-50.2718582,-3953
49.106926,-86.1471329,-802
49.2339554,-86.017746,-900
49.3811569,-85.9144287,-993
49.3949585,-78.6358337,-3003
49.340023,-78.4153519,-2988
49.2598381,-78.2034378,-3005
49.2162209,-77.9803772,-3008
49.1007347,-77.8011703,-3017
48.9972801,-77.6189575,-3027
49.0314522,-74.3364029,-2947
49.1098366,-74.1225739,-3305
49.2068558,-73.939621,-3394
49.2878952,-73.7425537,-3313
49.3770676,-73.5205154,-3090
49.2499084,-50.2913513,-3946
49.1171875,-50.4094696,-3752
48.6335793,-86.3669205,-729
48.8207436,-86.3201141,-740
48.9691467,-86.2478485,-749
48.8839607,-77.4606018,-2945
