Lat,Lon,Elevation [m]
39.9219551,-0.3597919,-3592
39.9380264,-0.3383662,-3595
39.9808769,-0.2580198,-3590
40.0237274,-0.1830298,-3606
40.0665817,-0.1080398,-3654
40.0933609,-0.0276934,-3678
40.0987206,0.0580095,-3427
39.0435028,-1.1900382,-3497
39.0595703,-1.0936224,-3397
39.1452751,-1.0454147,-3311
39.2309761,-1.0561275,-3335
39.3327484,-1.0561275,-3355
38.6792641,-1.3400182,-3460
38.7649689,-1.3453746,-3505
38.8506699,-1.350731,-3531
38.9363747,-1.3293053,-3492
39.0006523,-1.2703846,-3464
38.6118698,-5.9983487,-3750
38.6290092,-6.0983353,-3758
38.6290092,-6.1840382,-3829
38.6318665,-6.2697411,-3862
38.6318665,-6.355444,-3906
38.6204414,-6.4411469,-3917
38.2186127,-3.0701444,-3353
38.3043137,-3.054075,-3303
38.3739471,-3.0058672,-3347
38.4007301,-2.914808,-3334
38.406086,-2.8291051,-3415
38.4114456,-2.7434022,-3501
38.4168015,-2.6576993,-3447
38.4168015,-2.5719965,-3375
38.4221573,-2.4862938,-3532
38.4275131,-2.4005909,-3387
38.4275131,-2.314888,-3441
38.4275131,-2.2291851,-3450
38.4007301,-2.1488388,-3501
38.3578796,-2.0738487,-3450
38.3953743,-1.9935024,-3444
38.4435844,-1.9238688,-3410
38.4542961,-1.838166,-3407
38.4542961,-1.7524631,-3431
38.4596519,-1.6667602,-3417
38.4596519,-1.5810574,-3427
38.4703636,-1.4953545,-3358
38.5078583,-1.4096518,-3389
38.5935631,-1.3453746,-3447
38.2033539,-5.6898184,-3778
38.2690582,-5.7469535,-3812
38.3461914,-5.7812347,-3830
38.4090385,-5.852654,-3872
38.4090385,-5.852654,-3872
38.4861717,-5.8869348,-3860
38.5633049,-5.9240727,-3687
38.5661621,-6.5154223,-3833
38.4776001,-6.5154223,-3996
38.4033241,-6.4582872,-3999
38.3376198,-6.4011521,-3967
38.2576294,-6.3525872,-3753
38.1805,-6.318306,-3946
38.2233505,-6.5239925,-3687
38.2976265,-6.5782714,-3705
38.3633308,-6.6439767,-3582
38.3804703,-6.7268229,-3717
38.3833275,-6.8125257,-3729
38.3833275,-6.9067988,-3785
38.3547592,-6.9953585,-3821
38.2890549,-7.0496368,-3837
38.2090645,-7.0810614,-3847
37.9936409,-3.6861336,-3518
38.0043564,-3.6004307,-3571
38.0043564,-3.5147278,-3595
38.0043564,-3.4290249,-3600
38.0043564,-3.343322,-3514
38.0043564,-3.2576194,-3457
38.0579185,-3.1879857,-3400
38.127552,-3.1183522,-3393
37.7521744,-5.9465461,-3681
37.9936409,-3.6861336,-3518
37.980526,-3.7729316,-3445
37.9319611,-3.8443506,-3476
37.8662567,-3.9014857,-3480
37.8034058,-3.9614778,-3561
37.7462692,-4.0243263,-3656
37.7834091,-4.3328567,-3649
37.8691101,-4.3385701,-3726
37.9548149,-4.3471403,-3712
38.0005226,-4.4271297,-3759
37.9976654,-4.5271163,-3768
37.9491005,-4.5985355,-3713
37.9205322,-4.6870952,-3732
37.9205322,-4.7727981,-3682
37.9205322,-4.858501,-3694
37.9633865,-4.9384899,-3668
37.9776688,-5.0299063,-3688
38.0233765,-5.1013255,-3699
37.980526,-5.1784582,-3736
37.9148216,-5.2413068,-3676
37.9433861,-5.3470068,-3709
37.9833832,-5.4269962,-3986
38.0405159,-5.4898453,-3844
38.1205063,-5.5384102,-3767
38.154789,-5.6183991,-3807
38.0947952,-6.3040223,-3898
37.991951,-6.4154358,-3946
37.991951,-6.4125791,-3946
38.0719414,-6.4411469,-3837
38.1462173,-6.4839983,-3714
38.1233635,-7.1267695,-3855
38.0462303,-7.0782046,-3839
38.0005226,-7.0067854,-3889
37.9862404,-6.9210825,-3875
37.9548149,-6.8410931,-3882
37.9091072,-6.7639608,-3922
37.8491135,-6.6953983,-3871
37.7891235,-6.6354065,-3916
37.7719803,-6.5525603,-3882
37.8205452,-6.4668574,-4022
37.8776817,-6.4040089,-3877
37.991951,-6.4154358,-3946
37.3308029,-4.5681586,-3732
37.3879395,-4.6324358,-3747
37.4450722,-4.696713,-3678
37.4950676,-4.7752738,-3622
37.523632,-4.8609767,-3724
37.5379181,-4.9466796,-3716
37.5593452,-5.0323825,-3751
37.5664864,-5.1180854,-3774
37.5379181,-5.2037883,-3777
37.4807816,-5.268065,-3803
37.4165039,-5.3252006,-3761
37.3665123,-5.3966193,-3786
37.3522301,-5.4823222,-3722
37.3879395,-5.560883,-3748
37.4022217,-5.6465859,-3788
37.4093628,-5.7322888,-3825
37.4165039,-5.8179917,-3734
37.4593582,-5.8965526,-3841
37.530777,-5.8465595,-3647
37.5879097,-5.7822824,-3639
37.6736145,-5.8037081,-3746
37.7378922,-5.8608432,-3723
37.6948509,-4.0928888,-3576
37.6919937,-4.1785917,-3571
37.7405586,-4.2585807,-3598
36.8808632,-12.3671179,-3913
36.9094315,-12.281415,-3829
36.9308548,-12.1957121,-3911
36.9308548,-12.1100092,-3885
36.8880043,-12.0314484,-3892
36.8880043,-9.7817488,-3809
36.9665642,-9.7317553,-3824
37.0308418,-9.6674776,-3888
36.9808502,-9.5960588,-3914
36.8951454,-9.5960588,-3898
36.8880043,-9.3960857,-3804
36.9308548,-9.3175249,-3705
36.9665642,-9.2389641,-3756
36.9737091,-9.1532612,-3835
36.8951454,-9.1961126,-3938
36.9094315,-5.8465595,-3676
36.9951324,-5.8394175,-3719
37.0665512,-5.889411,-3771
37.1308289,-5.9465461,-3796
37.2022476,-5.8965526,-3699
37.2022476,-5.8108497,-3662
37.1236877,-5.7679982,-3710
37.0594101,-5.7108631,-3619
37.0308418,-5.6251602,-3699
37.0308418,-5.5394573,-3552
36.9737091,-5.4537549,-3720
36.9094315,-5.3966193,-3617
36.9094315,-4.553875,-3410
36.9951324,-4.5253072,-3567
37.0808372,-4.5181651,-3622
37.1665382,-4.5181651,-3681
37.252243,-4.5253072,-3668
36.4880562,-12.4956713,-4060
36.573761,-12.4956713,-4002
36.659462,-12.4956713,-3977
36.7451668,-12.4885302,-4032
36.8165855,-12.4242525,-3978
36.8308678,-11.9671707,-3882
36.7451668,-11.9314613,-3901
36.6808891,-11.8743258,-3912
36.6094704,-11.8243332,-3918
36.5523338,-11.7600555,-3913
36.4880562,-11.70292,-3897
36.4594917,-10.3959522,-3754
36.4952011,-10.3173914,-3829
36.5094833,-10.2316885,-3847
36.5309105,-10.1459856,-3807
36.5666199,-10.0602827,-3818
36.6451797,-10.0174313,-3852
36.7451668,-9.9960051,-3880
36.8023033,-9.9317284,-3845
36.8308678,-9.8460255,-3824
36.8165855,-9.5460653,-3672
36.8237267,-9.4603624,-3490
36.859436,-9.2746735,-3911
36.8094444,-9.3460922,-3862
36.759449,-9.417511,-3923
36.6880302,-9.4675045,-3918
36.6023293,-9.4817886,-3898
36.5166245,-9.4960718,-3871
36.5166245,-7.4891973,-3658
36.5809021,-7.5463324,-3758
36.659462,-7.5820422,-3717
36.7451668,-7.5963259,-3679
36.8308678,-7.6034675,-3769
36.8380127,-7.517765,-3686
36.7808762,-7.4534879,-3637
36.7451668,-7.367785,-3650
36.6808891,-7.3035078,-3656
36.6237526,-7.2392306,-3630
36.5809021,-7.1606698,-3685
36.5309105,-7.0892506,-3678
36.5309105,-7.0035477,-3643
36.4809151,-6.9321289,-3635
36.5237656,-5.4751806,-3328
36.573761,-5.5465994,-3679
36.5809021,-5.6323023,-3793
36.5309105,-5.7108631,-3784
36.5094833,-5.796566,-3771
36.6023293,-5.8394175,-3638
36.6666069,-5.9036946,-3736
36.7165985,-5.9751139,-3715
36.8023033,-5.9822555,-3737
36.859436,-5.9179783,-3708
36.8451538,-5.3394842,-3429
36.8094444,-5.2609234,-3591
36.759449,-5.1895041,-3654
36.7451668,-5.1038013,-3747
36.7451668,-5.0180984,-3661
36.7308807,-4.9323959,-3527
36.7308807,-4.846693,-3583
36.7451668,-4.7609901,-3529
36.7951584,-4.6895709,-3537
36.8451538,-4.6181521,-3480
36.0666847,-12.5242395,-3953
36.1452484,-12.4885302,-3980
36.2309494,-12.4885302,-4073
36.3166504,-12.4956713,-3977
36.4023552,-12.4956713,-4073
36.4094963,-11.6600685,-3891
36.3237953,-11.6529274,-3892
36.2309494,-11.6315012,-3872
36.2166672,-11.5457983,-3907
36.2666588,-11.4672375,-3941
36.3166504,-11.3601093,-3874
36.3666458,-11.2815485,-3906
36.388073,-11.1958456,-3932
36.3023682,-11.1887035,-3906
36.2166672,-11.2172709,-3942
36.1309624,-11.2172709,-3927
36.0452614,-11.2386971,-3940
36.0666847,-10.2174044,-3765
36.1523895,-10.2388306,-3687
36.2380905,-10.2602558,-3739
36.2880859,-10.3316746,-3804
36.3237953,-10.4102354,-3876
36.3380775,-10.4959383,-3899
36.3523636,-10.5816412,-3868
36.4094963,-10.6459188,-3826
36.4166374,-10.560216,-3752
36.4237823,-10.4745131,-3704
36.4309235,-9.5103559,-3705
36.4023552,-9.5960588,-3842
36.4094963,-9.6817617,-3786
36.4094963,-9.7674646,-3811
36.388073,-9.8531675,-3894
36.3523636,-9.9317284,-3901
36.3237953,-10.0174313,-3915
36.2595177,-10.0745659,-3778
36.1738129,-10.081708,-3846
36.0881119,-10.0959921,-3947
36.0452614,-9.417511,-3762
36.1309624,-9.417511,-3859
36.1880989,-9.3532343,-3489
36.1809578,-9.2675314,-3850
36.1023941,-9.231822,-3695
36.0666847,-9.1532612,-3412
36.0524025,-9.0675583,-3421
36.0524025,-8.9818554,-3424
36.0524025,-8.8961525,-3492
36.0524025,-8.8104496,-3482
36.0381165,-8.7247467,-3377
36.0809708,-8.5533409,-3819
36.1666718,-8.5533409,-3773
36.4309235,-8.3247995,-3709
36.4166374,-8.3105164,-3723
36.3523636,-8.2533808,-3726
36.2952271,-8.1891041,-3770
36.2309494,-8.1248264,-3789
36.1880989,-8.0391235,-3762
36.1666718,-7.9534211,-3779
36.1595306,-7.8677182,-3778
36.1523895,-7.7820153,-3747
36.1595306,-7.6963124,-3659
36.2023811,-7.6177516,-3586
36.280941,-7.5606165,-3682
36.3523636,-7.510623,-3653
36.4309235,-7.4749136,-3616
36.4237823,-6.8678517,-3692
36.3666458,-6.8035746,-3688
36.3095093,-6.7321553,-3619
36.2238083,-6.7178717,-3713
36.1595306,-6.7892909,-3698
36.1095352,-6.8607097,-3651
36.0238342,-6.9107032,-3556
36.1238213,-5.4537549,-3584
36.1523895,-5.4537549,-3575
36.2238083,-5.5037479,-3684
36.2952271,-5.5537415,-3705
36.3666458,-5.5037479,-3469
36.4380646,-5.4537549,-3368
35.631031,-12.8599091,-4040
35.6953049,-12.7956314,-3900
35.7667274,-12.7384968,-3900
35.8452873,-12.7027864,-3939
35.9309883,-12.659936,-3916
35.995266,-12.6028004,-4030
35.9595566,-11.2672644,-4001
35.8881378,-11.3243999,-3959
35.8524284,-11.4029608,-3969
35.8024368,-11.4815216,-3921
35.7453003,-11.5457983,-3895
35.6667404,-11.5815077,-3893
35.6096039,-10.9815884,-3849
35.6810226,-10.9315948,-3870
35.7667274,-10.9387369,-3918
35.8310013,-10.9958715,-3899
35.90242,-11.0458651,-3861
35.9738426,-10.9958715,-3962
35.9167061,-10.9315948,-3963
35.8310013,-10.8958855,-3986
35.7453003,-10.8387499,-3955
35.6738815,-10.7887564,-3840
35.6381721,-10.7101955,-3803
35.616745,-10.6244926,-3827
35.616745,-10.5387897,-3710
35.616745,-10.4530869,-3606
35.631031,-10.367384,-3619
35.6595955,-10.281682,-3522
35.7238731,-10.2245464,-3417
35.8095779,-10.2102623,-3788
35.8952789,-10.2102623,-3675
35.9809837,-10.2174044,-3713
36.0024071,-10.0674248,-3819
35.9452744,-10.0031471,-3837
35.8809967,-9.9317284,-3603
35.8452873,-9.8531675,-3365
35.8310013,-9.7674646,-3409
35.8310013,-9.6817617,-3366
35.8310013,-9.5960588,-3236
35.8809967,-9.5246401,-3106
35.9524155,-9.4675045,-3693
35.9738426,-8.6676111,-3179
35.995266,-8.5819082,-3264
35.9309883,-6.8821354,-3596
35.8595695,-6.8321419,-3662
35.7952919,-6.7750068,-3650
35.7738686,-6.6893039,-3596
35.7738686,-6.603601,-3603
35.7595825,-6.5178986,-3531
35.7595825,-6.4321957,-3560
35.7952919,-6.3536344,-3620
35.8167191,-6.2679319,-3591
35.2239418,-12.9099026,-4011
35.3096428,-12.9170437,-3949
35.3953476,-12.9241858,-3852
35.4810486,-12.9241858,-3800
35.5667534,-12.9241858,-4027
35.5810356,-11.5743666,-3835
35.4953346,-11.6029339,-3885
35.4167709,-11.6457853,-3851
35.3453522,-11.5957918,-3885
35.3096428,-11.517231,-3730
35.3882065,-11.4600954,-3852
35.431057,-11.3815346,-3846
35.4381981,-11.2958317,-3802
35.4739075,-11.2101288,-3851
35.5096169,-11.131568,-3783
35.5596123,-11.0601492,-3886
34.766861,-12.2599888,-3897
34.7811432,-12.3456917,-3949
34.852562,-12.3956852,-3936
34.9382629,-12.4171104,-3957
34.9953995,-12.4813881,-3953
34.9953995,-12.567091,-3942
34.9454079,-12.6385098,-3667
34.9739761,-12.7313547,-3700
34.9882584,-12.8170576,-3635
35.052536,-12.8741922,-4047
35.138237,-12.8884764,-3931
34.3169174,-13.0027466,-3506
34.4026222,-13.0027466,-3591
34.474041,-12.9527531,-3811
34.5240326,-12.8813343,-3597
34.5526009,-12.7956314,-3795
34.5026093,-12.7242126,-4088
34.4454727,-12.6527939,-3793
34.4383316,-12.567091,-3637
34.4383316,-12.4813881,-3820
34.4311905,-12.3956852,-3690
34.4597588,-12.3099823,-3585
34.5383186,-12.2457047,-3782
34.6168785,-12.2028532,-3888
34.7025833,-12.2028532,-3874
33.9169731,-13.0813074,-3832
33.9812508,-13.0241728,-3889
34.0598106,-12.9813213,-3992
34.1455116,-12.9813213,-3975
34.2312164,-12.9884634,-3850
33.4527473,-13.4312611,-3895
33.5384521,-13.3955517,-4002
33.5598793,-13.3098488,-3911
33.5955887,-13.231288,-3765
33.6812897,-13.2241459,-4024
33.7669945,-13.2170038,-3784
33.8455544,-13.1670103,-3775
33.1027946,-13.4384031,-3855
33.1099358,-13.4384031,-3857
33.1956406,-13.4384031,-3862
33.2813416,-13.4384031,-3814
33.3670464,-13.4312611,-3676
31.2997913,-15.5824623,-3893
31.3872814,-15.5485382,-3796
31.4569149,-15.4789047,-3839
31.4694118,-15.4003439,-3686
31.4658413,-15.314641,-3679
31.4569149,-15.2378654,-3525
31.4622707,-15.141449,-3764
30.8455734,-16.4277515,-3800
