Lat,Lon,Elevation [m]
46.7605743,22.3316612,-3631
46.7538795,22.2602425,-3627
46.664608,21.9098434,-3650
46.5820274,21.4456196,-3474
46.5931854,21.3317947,-3469
46.5306969,21.2670708,-3484
46.4994507,20.8028488,-3331
46.5306969,20.7582111,-3410
46.5284653,20.6979504,-3421
46.5530128,20.651083,-3444
46.5530128,20.5908222,-3425
46.4994507,20.5551128,-3460
46.3923225,19.7315617,-3410
46.3521461,20.3475513,-3467
46.2896576,20.3230019,-3328
46.2427864,19.6891575,-3489
46.2093086,19.7114754,-3474
46.1155739,19.2740345,-3535
46.1289635,19.2026157,-3505
46.1111069,19.0709362,-3505
46.0553131,19.0262985,-3510
46.0129089,18.9459534,-3532
45.9571114,18.7919559,-3525
45.9571114,18.7383919,-3539
45.9548798,18.533062,-3532
45.9548798,18.403614,-3541
45.9303284,18.6669731,-3537
45.9236336,18.5821629,-3488
45.5754662,15.3772326,-3487
45.6580429,15.1897583,-3483
45.7160721,15.1250343,-3525
45.7294617,15.0446882,-3538
45.6825943,14.9732695,-3530
45.6558113,14.9665737,-3535
45.6111755,14.9911242,-3531
45.5933189,14.9107771,-3550
45.5933189,14.8215036,-3544
45.5285988,14.6965199,-3546
45.5732346,14.5916233,-3556
45.6401901,14.5916233,-3550
45.6892891,14.5269003,-3549
45.6758995,14.4309311,-3520
45.6401901,14.3862934,-3500
45.490654,17.180563,-3468
45.4013824,17.0801315,-3465
45.4326286,16.9841614,-3560
45.4504814,16.7252674,-3495
45.4728012,16.6962528,-3493
45.4616432,16.5467205,-3506
45.4861908,16.4752998,-3516
45.4973526,16.3413906,-3602
45.3723679,15.8860931,-3548
45.4080772,15.7678061,-3533
45.490654,14.0693722,-3614
45.4460182,14.0091124,-3582
45.4259338,13.9399252,-3553
45.4549446,13.8930559,-3618
45.4326286,13.8194056,-3584
45.3701363,13.7167406,-3570
45.3634415,13.6721039,-3628
45.2585449,13.5359612,-3612
45.2719345,13.3395586,-3641
45.2853279,13.2859945,-3629
45.3656731,13.1967201,-3657
45.3433533,13.0538826,-3603
45.3924561,12.9534492,-3673
45.3879929,12.7414246,-3682
45.3701363,12.609745,-3608
45.3210373,12.5249348,-3487
45.2875595,12.4936895,-3493
45.2005157,12.4133425,-3686
45.1581116,12.3776331,-3691
45.1067772,12.3575468,-3678
45.0688362,12.2950554,-3672
45.0085754,12.2615776,-3619
44.9817963,12.1879263,-3685
44.8992157,12.1276665,-3672
44.8992157,12.0361614,-3652
44.8724365,11.9379597,-3666
44.5041809,11.3465214,-3596
44.4707031,11.2907248,-3635
44.4617767,11.1657419,-3597
44.4260674,11.0675402,-3626
44.4082108,10.7751684,-3601
44.3881226,10.6367941,-3576
44.3546486,10.5430565,-3630
44.3836594,10.4805651,-3674
44.3568802,10.3712044,-3606
44.298851,9.9806318,-3654
44.2631416,9.9538498,-3660
44.2430534,9.8891268,-3603
44.245285,9.6860285,-3553
44.3077774,9.6503191,-3559
44.3881226,9.6413918,-3584
