Lat,Lon,Elevation [m]
62.8783989,-81.5057831,-3770
63.0200768,-81.7769699,-3776
62.4403381,-80.312294,-3797
62.5474815,-80.6305084,-3771
62.6739502,-80.9443359,-3804
62.7764664,-81.2239685,-3782
61.9397964,-79.2670975,-3811
62.0819206,-79.4742279,-3823
62.223774,-79.6835556,-3824
61.5435982,-78.5585938,-3792
61.6866684,-78.7589951,-3786
61.8134651,-79.0118561,-3811
61.1595497,-77.8206711,-3791
61.2879982,-78.0643539,-3784
61.4160156,-78.3103256,-3739
60.7278671,-77.0812607,-3770
60.8816986,-77.3491364,-3760
61.0152855,-77.6289215,-3785
60.3411369,-76.4243088,-3517
60.4523239,-76.6639862,-3560
60.5827103,-76.8962555,-3770
59.8135338,-75.3595352,-3744
59.9266319,-75.5906677,-3755
60.0588188,-75.8137589,-3728
59.3663025,-74.815239,-3702
59.4996414,-75.0304947,-3721
59.6520653,-75.2376175,-3723
58.9424515,-74.0318756,-3695
59.0770073,-74.2404861,-3696
59.1780128,-74.5096283,-3693
58.520565,-72.7873383,-3743
58.6056633,-73.0576706,-3732
58.7434731,-73.5399094,-3695
58.8267975,-73.8144073,-3696
58.1225662,-71.0767746,-3783
58.1927834,-71.3507309,-3755
58.2496834,-71.6738586,-3741
58.2994652,-71.9621048,-3740
58.3484955,-72.251297,-3751
58.415802,-72.5299988,-3748
57.6600761,-70.0732498,-3803
57.8075714,-70.2904816,-3798
57.9171944,-70.5348282,-3798
58.0263214,-70.7809448,-3786
57.3385963,-69.6233215,-3806
57.5054092,-69.8233871,-3802
56.7995033,35.7376518,-3865
56.8813744,35.4664307,-3868
56.9106827,35.1711693,-3855
56.9554176,34.8961334,-3875
57.0106888,34.5903664,-3871
57.0758781,34.3191338,-3843
57.1244659,33.762928,-3911
57.1269875,33.4589958,-3940
57.1232109,33.1703148,-3938
57.1323509,32.8762817,-3953
57.1156082,32.5525932,-3960
57.100975,32.2544289,-3956
57.0939064,31.9662132,-3969
57.0914116,31.7186775,-3974
57.0732765,31.657383,-3975
57.0171127,31.3377495,-3957
57.0211449,31.0443573,-3956
57.007328,30.7322903,-3922
57.0096703,30.4389362,-3911
57.0111961,30.1455441,-3925
57.0561447,29.8568058,-3940
57.0388069,29.5450001,-3880
57.0378418,29.2513371,-3955
57.0360565,28.9577026,-3930
56.9891701,28.661129,-3918
56.9642181,28.5666122,-3944
56.9340973,28.3023129,-3893
56.9041786,28.145483,-3948
56.7886963,27.9547749,-3989
56.955719,-69.3022308,-3801
57.1088943,-69.429718,-3802
56.3311005,36.9831314,-3892
56.4318085,36.7405357,-3910
56.5181732,36.500145,-3911
56.6236839,36.2400818,-3900
56.7227859,35.9928703,-3886
56.588459,27.6809425,-3942
56.4529266,27.5322418,-3953
56.3175812,27.3450108,-3899
