Lat,Lon,Elevation [m]
60.1335831,-75.5146332,-3809
60.0611153,-75.4622879,-3775
60.0043983,-75.4213333,-3752
59.9476852,-75.3803711,-3767
59.8767967,-75.3291626,-3754
59.8079987,-75.2784882,-3745
59.7567635,-75.2400665,-3735
59.7055283,-75.2016373,-3730
59.6480827,-75.1585541,-3725
59.5669746,-75.098793,-3718
59.4817429,-75.043335,-3715
59.4013138,-74.9812164,-3708
59.3422852,-74.9080048,-3695
59.3536263,-72.0618668,-3846
59.3762512,-71.9780807,-3851
59.3794823,-71.8744202,-3858
59.3794823,-71.7818985,-3865
59.3794823,-71.6970901,-3864
59.3794823,-71.6060944,-3857
59.3794823,-71.5398712,-3856
59.3794823,-71.4736404,-3865
59.3794823,-71.3996277,-3876
59.3794823,-71.3334045,-3885
59.3791809,-71.2322311,-3888
59.3757477,-71.1380997,-3892
59.3711929,-71.04245,-3907
59.3660927,-70.935318,-3928
59.353508,-70.8195343,-3925
59.287735,-74.83535,-3697
59.2514381,-74.7780457,-3699
59.2126694,-74.7150497,-3709
59.1698189,-74.6454163,-3689
59.1328659,-74.5650711,-3697
59.1059799,-74.4847641,-3698
59.0816345,-74.4117279,-3691
59.0549583,-74.3313599,-3687
59.0349579,-74.2320786,-3697
59.0267601,-74.1459885,-3687
59.0176506,-74.0503387,-3700
59.0078506,-73.9470367,-3709
59.0026093,-73.8587646,-3710
59.0002747,-73.7933884,-3711
58.9973221,-73.7107086,-3714
58.9945068,-73.6318741,-3716
58.9918289,-73.5568771,-3721
58.988102,-73.4511261,-3711
58.9866791,-73.3318634,-3706
58.9866791,-73.2356644,-3676
58.9866791,-73.1375351,-3701
58.9867554,-73.0163269,-3752
58.9933739,-72.9238968,-3759
59.00494,-72.850647,-3771
59.014679,-72.7889709,-3781
59.0256348,-72.7195816,-3789
59.0414619,-72.6361237,-3798
59.0889359,-72.5702515,-3804
59.1327629,-72.5191193,-3809
59.1656303,-72.4675827,-3816
59.2021523,-72.3985977,-3828
59.2377625,-72.331337,-3830
59.2678909,-72.2744293,-3831
59.2999115,-72.2119904,-3830
59.331459,-72.1283569,-3839
59.3264694,-70.7229156,-3908
59.3017464,-70.6394806,-3906
59.2792206,-70.5634613,-3913
59.2566986,-70.487442,-3911
59.2275734,-70.3891678,-3922
59.2029686,-70.3072968,-3923
59.1837578,-70.2439041,-3924
59.1634178,-70.1767731,-3921
59.1396866,-70.098465,-3912
59.1210403,-70.0369339,-3912
59.0956154,-69.9530258,-3920
59.0735779,-69.8803101,-3919
59.0515442,-69.8075867,-3913
59.024437,-69.7263947,-3904
58.9994125,-69.6568756,-3907
58.9763603,-69.5928497,-3912
58.9447479,-69.5050354,-3918
58.9131393,-69.4172287,-3924
58.8836212,-69.3370209,-3923
