Lat,Lon,Elevation [m]
62.8068695,-105.8322601,-3270
62.8216553,-105.7419128,-3270
62.834549,-105.6631012,-3285
62.846817,-105.5881348,-3285
62.856884,-105.5266266,-3284
62.8688354,-105.4535828,-3287
62.8849945,-105.3548355,-3288
62.9056396,-105.2286835,-3285
62.9223099,-105.1268082,-3289
62.935524,-105.0460739,-3292
62.9449577,-104.9884033,-3296
62.9543953,-104.9307404,-3299
62.9628906,-104.8788376,-3292
62.9761009,-104.7981033,-3306
62.9896278,-104.7154541,-3294
63.0028381,-104.6347198,-3309
63.0204544,-104.5270767,-3317
63.0335388,-104.4287643,-3299
63.0342941,-104.3644409,-3293
63.0342941,-104.3117523,-3303
63.0342941,-104.2356491,-3315
63.0342941,-104.1693039,-3301
63.0342941,-104.0990524,-3312
63.0342941,-104.0112381,-3309
63.0342941,-103.9312363,-3314
63.0342941,-103.8473206,-3311
63.0342941,-103.7634125,-3314
63.0342941,-103.6755981,-3315
63.0342941,-103.6053543,-3311
63.0342941,-103.51754,-3307
63.0342941,-103.4316788,-3307
63.0342941,-103.3633804,-3309
63.0342941,-103.302887,-3313
63.0342941,-103.2108917,-3309
63.0342941,-103.1272583,-3311
63.0342941,-103.0609131,-3307
63.0342941,-103.0023727,-3310
63.0342941,-102.9145584,-3309
63.0342941,-102.8228455,-3308
63.0342941,-102.752594,-3311
63.0342941,-102.6823425,-3314
63.0342941,-102.6081924,-3312
63.0342941,-102.5203781,-3314
63.0342941,-102.4228058,-3311
63.0342941,-102.3447495,-3298
63.0342941,-102.2705994,-3299
63.0342941,-102.1983948,-3316
63.0342941,-102.1235962,-3321
63.0342941,-102.0500946,-3322
63.0342941,-101.9934998,-3324
63.0342941,-101.9252014,-3324
63.0342941,-101.8276367,-3324
63.0342941,-101.7515259,-3327
63.0342941,-101.6949387,-3328
63.0342941,-101.6383514,-3323
63.0342941,-101.5700531,-3325
63.0342941,-101.4919968,-3323
63.0342941,-101.4186249,-3318
63.0342941,-101.343689,-3314
63.0342941,-101.2617264,-3308
63.0342941,-101.1895294,-3308
63.0342941,-101.1329346,-3310
63.0342941,-101.0802536,-3308
63.0342941,-101.0002441,-3308
63.0342941,-100.9338989,-3302
63.0347252,-100.8772888,-3292
63.0362167,-100.7991867,-3294
63.0378761,-100.7132721,-3292
63.039875,-100.6097794,-3284
63.0414619,-100.527771,-3285
63.0431938,-100.4379501,-3282
63.0451927,-100.3344574,-3283
63.0464401,-100.2700195,-3280
63.0475349,-100.2133942,-3279
63.0486259,-100.1567688,-3284
63.0498352,-100.0942841,-3286
63.0511169,-100.0278931,-3287
63.0525513,-99.9536896,-3290
63.0542488,-99.8658218,-3292
63.0557556,-99.7877121,-3297
63.0573425,-99.7057037,-3297
63.0585098,-99.6451721,-3296
63.0596046,-99.5885468,-3299
63.0610733,-99.5123901,-3301
63.0629234,-99.4167099,-3301
63.0647736,-99.3210373,-3301
63.065979,-99.2585526,-3303
63.067112,-99.1999664,-3304
63.0686951,-99.1179581,-3305
63.069828,-99.0593796,-3302
63.070919,-99.0027542,-3303
63.0720901,-98.9422226,-3303
63.0732574,-98.881691,-3303
63.0747299,-98.8055344,-3304
63.0765038,-98.7137604,-3306
63.0784264,-98.6141739,-3311
63.0802383,-98.5204468,-3309
63.0821991,-98.4189148,-3311
63.0834808,-98.3525238,-3310
63.0851402,-98.2666092,-3310
