Lat,Lon,Elevation [m]
44.2289047,5.5527043,-3957
44.2459869,5.5580902,-3958
44.2613144,5.5536065,-3954
44.2800102,5.5401516,-3951
44.2959366,5.5140615,-3951
44.2993774,5.5058002,-3951
44.3187828,5.4922709,-3953
44.3409882,5.48491,-3954
44.3579979,5.4895854,-3959
44.3536949,5.5101452,-3951
44.3600464,5.5295849,-3945
44.362175,5.5566502,-3946
44.3585434,5.5836024,-3948
44.3638077,5.6132102,-3949
44.3606644,5.6379571,-3943
44.3668289,5.6624432,-3945
44.3778534,5.6785197,-3945
44.3946762,5.6882415,-3941
44.404953,5.6972151,-3942
44.4233437,5.7082081,-3939
43.9573364,4.9844861,-3861
43.984951,5.0627317,-3869
43.9782524,5.1014962,-3856
43.9831429,5.1411972,-3885
43.9959984,5.1678529,-3880
44.0096016,5.2016115,-3895
44.0141563,5.2312937,-3909
44.0141487,5.2722273,-3940
44.0098076,5.2992544,-3955
44.0052795,5.3313279,-3964
44.0034065,5.3681493,-3962
44.0052719,5.3995504,-3955
44.0183868,5.4355145,-3940
44.0261955,5.448338,-3928
44.0664558,5.4555964,-3930
44.0836563,5.4415808,-3926
44.1031342,5.4287615,-3910
44.1300087,5.4316816,-3902
44.1513176,5.4294419,-3902
44.1649246,5.4359117,-3900
44.1716881,5.4660802,-3910
44.1747093,5.4880242,-3912
44.1860352,5.5069413,-3929
44.1942558,5.5304937,-3944
44.2100296,5.5439162,-3954
43.5349159,2.16802,-3996
43.5350914,2.1836147,-3996
43.5358505,2.2001238,-3997
43.5359993,2.2201126,-3996
43.5389175,2.2339551,-3996
43.5442467,2.2475441,-3993
43.5424385,2.2906704,-3985
43.538475,2.3086519,-3994
43.5355759,2.327497,-3997
43.5359039,2.3445394,-3996
43.5425034,2.3609226,-3987
43.5513649,2.3756044,-3981
43.5632248,2.3816764,-3977
43.5770912,2.3836343,-3975
43.5713768,2.3988724,-3975
43.5676155,2.4187841,-3974
43.5698204,2.4444115,-3972
43.5693092,2.4673972,-3972
43.5701408,2.4892654,-3973
43.5728569,2.5104482,-3976
43.5763054,2.533993,-3981
43.5780296,2.5596712,-3978
43.5827484,2.5860102,-3973
43.5707016,2.6570477,-3946
43.5615349,2.6394706,-3950
43.5469017,2.6488149,-3959
43.5363655,2.6274786,-3973
43.52425,2.6375344,-3968
43.518734,2.6547029,-3963
43.5082436,2.6709309,-3960
43.5006447,2.6868546,-3959
43.4926147,2.7311227,-3958
43.4967766,2.7521534,-3957
43.4930916,2.7681539,-3959
43.4905701,2.7952535,-3966
43.4995346,2.8201709,-3969
43.5313263,2.8534224,-3974
43.5469475,2.8581238,-3977
43.5664291,2.8531487,-3978
43.575798,2.8726561,-3975
43.5861816,2.8925447,-3974
43.5917664,2.9085467,-3974
43.601944,2.9543164,-3972
43.5948029,2.9745831,-3969
43.5839806,2.9923096,-3961
43.5796089,3.0157008,-3945
43.5726471,3.0330215,-3952
43.564846,3.0562854,-3950
43.5667534,3.0771518,-3945
43.5565948,3.083338,-3944
43.5388298,3.0874801,-3940
43.5379753,3.0631135,-3946
43.5391045,3.0413823,-3953
43.525753,3.0279977,-3956
43.5093498,3.0450783,-3946
43.4955521,3.0544913,-3937
43.4628067,3.0459888,-3941
43.3878784,4.950264,-3905
43.4060707,4.9578896,-3895
43.42593,4.95468,-3887
43.4402161,4.9357867,-3882
43.4502945,4.9195795,-3880
43.4558144,4.9133887,-3878
43.4704742,4.9247518,-3875
43.4844322,4.9401159,-3876
43.499382,4.9542537,-3876
43.5103607,4.9626369,-3876
43.5247879,4.9824405,-3874
43.5336342,4.9972196,-3884
43.5489922,5.0152416,-3902
43.5679741,5.0250282,-3908
43.5854111,5.0254397,-3891
43.6008606,5.0176444,-3866
43.6155815,5.0082426,-3849
43.3478317,3.2955987,-3948
43.3288116,3.3110628,-3949
43.2990913,3.3186748,-3952
43.2730179,3.3268015,-3960
43.2480621,3.3455822,-3963
43.2316093,3.3598783,-3972
43.2134323,3.3662772,-3977
43.1877785,3.3698714,-3979
43.1616592,3.3690262,-3984
42.9921951,3.6650414,-3982
42.9963646,3.6884909,-3930
42.9955025,3.7289634,-3902
42.992981,3.7536848,-3914
42.9944267,3.7728701,-3916
42.9908104,3.8033943,-3917
42.9905396,3.8278792,-3904
42.9913063,3.8459988,-3903
43.0022011,3.863054,-3900
43.0181847,3.8744552,-3884
43.0324554,3.8803492,-3908
43.0461922,3.8811803,-3885
43.0587463,3.8815672,-3882
43.0722771,3.8858328,-3870
43.0805359,3.8940647,-3862
43.0866013,3.9139023,-3864
43.0921059,3.933799,-3843
43.0997429,3.9523342,-3832
43.109333,3.9678199,-3834
43.1235695,3.9896424,-3846
43.151619,4.1543026,-3887
43.1634407,4.1760621,-3854
43.1759987,4.1887684,-3863
43.1879692,4.2065849,-3893
43.1968155,4.2213645,-3906
43.2503242,4.3941498,-3913
43.2505226,4.4227414,-3917
43.2542,4.4470406,-3907
43.2580795,4.4679518,-3904
43.2674522,4.4877253,-3880
43.2752457,4.5031757,-3884
43.2828102,4.516407,-3895
43.2824211,4.5607696,-3886
43.2834129,4.5808625,-3901
43.2713203,4.5725956,-3893
43.2573357,4.562284,-3892
43.2383232,4.55755,-3887
43.2215004,4.5682945,-3886
43.2070122,4.579916,-3891
43.195591,4.5940204,-3903
43.1868248,4.617383,-3929
43.1800728,4.6438999,-3946
43.1768265,4.6717319,-3949
43.1762695,4.69311,-3934
43.1799469,4.7174091,-3906
43.1880608,4.7412415,-3884
43.1971397,4.7582402,-3871
43.2110977,4.7736044,-3872
43.2308693,4.7855525,-3881
43.2476044,4.7899647,-3886
43.2641602,4.7927127,-3889
43.2786751,4.7973585,-3891
43.2855072,4.8089833,-3897
43.2961655,4.8303046,-3903
43.3078156,4.8503995,-3908
43.3201942,4.8721008,-3911
43.3318443,4.8921957,-3916
43.3474617,4.9180446,-3916
