Lat,Lon,Elevation [m]
41.6924515,-11.1818171,-4548
41.6638832,-11.2818041,-4004
41.6924515,-11.1818171,-4548
41.6424599,-10.039113,-4035
41.5781822,-11.2960882,-4280
41.4924774,-11.2960882,-4643
41.4067764,-11.3032293,-4387
41.3067894,-11.2960882,-4109
41.2210884,-11.2889462,-4197
41.2639389,-11.1675339,-4024
41.3496399,-11.1675339,-4433
41.4353447,-11.1603918,-4331
41.5210457,-11.1603918,-4408
41.6067505,-11.1603918,-4509
41.6210327,-9.8891325,-4224
41.5781822,-10.0962477,-4438
41.4924774,-10.1033897,-4123
41.4067764,-10.1033897,-4281
41.3210716,-10.1033897,-4121
41.2782211,-10.0176868,-4460
41.2782211,-9.9319839,-4435
41.2639389,-9.8462811,-4366
41.2282295,-9.7677202,-4362
41.2210884,-9.2392197,-4460
41.3067894,-9.2249355,-4264
41.2996483,-9.3106384,-4154
41.2639389,-9.3891993,-4411
41.2353706,-9.5034704,-4273
41.2996483,-9.6034565,-4320
41.3424988,-9.7105856,-3986
41.3996353,-9.7748623,-4384
41.4496269,-9.8462811,-4405
41.5353317,-9.8677073,-4208
41.6210327,-9.8891325,-4224
41.1353836,-11.2889462,-4381
41.0496826,-11.274662,-4271
41.0353966,-11.174675,-3994
41.1782341,-11.1675339,-4323
41.171093,-9.6891594,-4352
41.1211014,-9.6177406,-4336
41.085392,-9.5391798,-4133
41.071106,-9.4534769,-4350
41.0639648,-9.367774,-4313
41.1353836,-9.274929,-4313
40.3497734,-10.4104919,-4398
40.3354912,-10.4961948,-4356
40.3712006,-11.0318375,-4439
40.4569016,-11.0246954,-4470
40.5497475,-10.9389925,-4167
40.5783157,-10.8532896,-4166
40.5711746,-10.7675867,-4142
40.5711746,-10.6818838,-4141
40.5640335,-10.5961809,-4126
40.5354652,-10.4961948,-4336
40.5140381,-10.4104919,-4230
40.5283203,-10.324789,-4153
40.5354652,-10.2390862,-4128
40.5497475,-10.1533833,-4111
40.5854568,-10.0748224,-4249
40.5854568,-9.9891195,-4102
40.5854568,-9.9034166,-4047
40.5711746,-9.8177137,-4271
40.5211792,-9.746295,-4319
40.4997559,-9.6605921,-4299
40.4640465,-9.5820312,-4327
40.4069099,-9.5177536,-3687
40.3354912,-9.4677601,-4359
40.7140121,-11.6388988,-4221
40.7282944,-11.7317438,-4334
40.7282944,-11.8174467,-4340
40.7282944,-11.9031496,-4121
40.6425934,-11.846014,-4355
40.5854568,-11.7460279,-4287
40.5640335,-11.6603251,-4422
40.5354652,-11.5746222,-4382
40.5283203,-11.4817772,-4405
40.5354652,-11.3960743,-4406
40.5711746,-11.3175135,-4379
40.6425934,-11.3817911,-4323
40.6568756,-11.4674931,-4131
40.6783028,-11.553196,-4163
40.7140121,-11.6388988,-4221
39.9284019,-13.2172604,-4022
39.9712524,-13.1244154,-4375
39.9712524,-13.0387125,-4153
39.9712524,-12.9530096,-4201
39.9355431,-12.8744488,-4169
39.9069748,-10.4033499,-3813
39.9926796,-10.4319172,-3862
40.0783806,-10.4390593,-3888
40.1640854,-10.4104919,-4142
40.214077,-10.317647,-4327
40.314064,-10.3319311,-4345
40.2569313,-10.5319042,-4103
40.1997948,-10.5961809,-4207
40.1497993,-10.6676006,-4190
40.1426582,-10.7533035,-4327
40.1355171,-10.8747158,-4420
40.2426453,-10.9175673,-4282
40.3069229,-10.9747019,-4462
40.2497864,-9.4249086,-4381
40.1855125,-9.367774,-4419
40.128376,-9.3034964,-4442
40.0926666,-9.2249355,-4230
40.0855255,-9.1392326,-4095
40.0855255,-9.0535297,-4336
40.0855255,-8.9464016,-4251
40.11409,-8.8606987,-4070
40.1426582,-8.7749958,-4161
40,-8.7754431,-4223
40,-8.9183788,-4171
39.9141197,-8.9249754,-4319
39.4998894,-11.2318106,-4325
39.5070305,-11.3175135,-4322
39.549881,-11.4032164,-4319
39.5998764,-11.4746351,-4292
39.6427269,-11.553196,-4322
39.6570091,-11.6388988,-4334
39.6570091,-11.7246017,-4327
39.6641502,-11.8103046,-4319
39.6212997,-11.8888655,-4213
39.5784492,-11.9674263,-4316
39.5713081,-12.0531292,-4281
39.5713081,-12.1388321,-4237
39.5713081,-12.2531033,-4236
39.5713081,-12.3388062,-4256
39.5784492,-12.424509,-4115
39.5998764,-12.5173531,-4171
39.6212997,-12.603056,-4194
39.6212997,-12.6887589,-4276
39.6141586,-12.7816038,-4331
39.5927315,-12.8673067,-4451
39.5641632,-12.9530096,-4429
39.549881,-13.0529957,-4369
39.549881,-13.1386986,-4454
39.5784492,-13.2244015,-4364
39.5927315,-13.3101044,-4405
39.5998764,-13.3958073,-4397
39.5998764,-13.4815102,-4221
39.6355858,-13.6243486,-4334
39.649868,-13.7100515,-4313
39.649868,-13.7957544,-4412
39.6355858,-13.8814573,-4348
39.5927315,-14.0242949,-4256
39.5713081,-14.1171398,-4195
39.549881,-14.2028427,-4077
39.549881,-14.2885456,-4150
39.549881,-14.3813906,-4327
39.5427399,-14.4670935,-4334
39.5284538,-14.5527954,-4374
39.5284538,-14.6456404,-4362
39.5284538,-14.7313433,-4321
39.5213127,-14.8170462,-4308
39.5213127,-14.9027491,-4296
39.5570221,-14.9813099,-4249
39.6141586,-15.0455875,-4293
39.6998596,-15.0670128,-4307
39.7569962,-15.0027361,-4408
39.7712822,-14.9170332,-4440
39.7712822,-14.8313303,-4347
39.7712822,-14.7456274,-4339
39.7712822,-14.6599245,-4391
39.7712822,-14.5385122,-4420
39.7712822,-14.4528093,-4369
39.7712822,-14.3671064,-4264
39.7712822,-14.2814035,-4422
39.7855644,-14.1957006,-4443
39.7855644,-14.1028557,-4522
39.7855644,-14.0171528,-4408
39.7927055,-13.9314499,-4314
39.842701,-13.845747,-4339
39.8569832,-13.752903,-4362
39.8712654,-13.6386318,-4405
39.8784103,-13.5529289,-4489
39.8784103,-13.467227,-4468
39.8784103,-13.3815241,-4306
39.8926926,-13.2958212,-4128
39.8998337,-12.7887459,-4091
39.8784103,-12.6673336,-4220
39.8784103,-12.5816307,-4307
39.8641243,-12.4959278,-4201
39.835556,-12.3745155,-4479
39.835556,-12.2888126,-4355
39.835556,-12.1888256,-4417
39.835556,-12.1031227,-4394
39.842701,-12.0174198,-4276
39.8498421,-11.9317169,-4294
39.8569832,-11.846014,-4258
39.8498421,-11.7603111,-4484
39.7855644,-11.6960344,-4398
39.7712822,-11.6103315,-4131
39.7641373,-11.5246286,-4222
39.7641373,-11.4032164,-4340
39.7284279,-11.3175135,-4246
39.6712952,-11.2460947,-4245
39.6427269,-11.1603918,-4351
39.6427269,-11.0746889,-4422
39.6927185,-11.0032701,-4332
39.6998596,-10.9104252,-4204
39.6355858,-10.8461475,-4231
39.549881,-10.8175802,-4279
39.5213127,-10.7318773,-4052
39.4713211,-10.0105448,-4437
39.4784622,-10.0962477,-4411
39.5141716,-10.1748085,-4316
39.5641632,-10.2462282,-4275
39.6355858,-10.3033628,-4006
39.7141457,-10.3462143,-4157
39.7998466,-10.3533564,-4174
39.842701,-8.989253,-4175
39.7784233,-9.0463886,-4240
39.6998596,-9.0892391,-4271
39.6998596,-9.0892391,-4271
39.6212997,-9.1249495,-4192
39.5355988,-9.1249495,-3960
39.5213127,-9.0392466,-4042
39.5355988,-8.9535437,-4097
39.5427399,-8.8678408,-4025
39.5355988,-8.7821379,-4109
39.5355988,-8.696435,-4134
