Lon - Original,Lat - Original,Elevevation [m] - Original,Region,Elevation [m] MOLA/HRSC Blend,Elevation [m] MOLA/HRSC Blend Interpolated,Elevation [m] MOLA 4ppd Interpolated,Elevation [m] MOLA 4ppd,Lat shifted,Lon shifted
-95.1718,63.3662,-3358,Tantalus,-3321,-3321,-3305,-3319,63.0259361,-95.1694183
-95.0961,63.3883,-3358,Tantalus,-3332,-3330,-3307,-3319,63.0480385,-95.0937195
-95.0229,63.3997,-3361,Tantalus,-3356,-3355,-3309,-3319,63.0594368,-95.0205231
-94.9425,63.3499,-3353,Tantalus,-3350,-3350,-3300,-3321,63.0096359,-94.9401169
-95.5587,63.3244,-3334,Tantalus,-3329,-3329,-3299,-3286,62.9841385,-95.5563202
-95.4481,63.3356,-3336,Tantalus,-3332,-3333,-3304,-3291,62.9953384,-95.4457169
-95.3674,63.3327,-3347,Tantalus,-3336,-3335,-3306,-3291,62.9924355,-95.3650208
-95.2571,63.3458,-3352,Tantalus,-3321,-3321,-3305,-3323,63.0055389,-95.2547226
-94.8462,63.3134,-3345,Tantalus,-3315,-3315,-3292,-3274,62.9731369,-94.8438187
-94.7739,63.3035,-3341,Tantalus,-3329,-3330,-3291,-3274,62.9632378,-94.7715225
-94.6934,63.3001,-3341,Tantalus,-3336,-3337,-3290,-3274,62.9598389,-94.6910172
-95.6059,63.2821,-3329,Tantalus,-3321,-3321,-3293,-3286,62.9418373,-95.6035233
-96.4109,63.1909,-3328,Tantalus,-3309,-3309,-3267,-3270,62.8506355,-96.4085236
-95.983,63.2055,-3321,Tantalus,-3283,-3283,-3274,-3276,62.8652382,-95.9806213
-95.8647,63.2005,-3318,Tantalus,-3302,-3302,-3274,-3276,62.8602371,-95.8623199
-95.6294,63.2175,-3324,Tantalus,-3305,-3305,-3286,-3286,62.8772354,-95.6270218
-94.6017,63.2337,-3330,Tantalus,-3326,-3326,-3278,-3274,62.8934364,-94.5993195
-94.5149,63.1924,-3325,Tantalus,-3320,-3320,-3271,-3274,62.8521385,-94.5125198
-96.4752,63.1664,-3326,Tantalus,-3321,-3321,-3264,-3270,62.8261375,-96.4728241
-96.3358,63.1714,-3325,Tantalus,-3312,-3311,-3264,-3270,62.8311386,-96.3334198
-96.2793,63.1318,-3307,Tantalus,-3289,-3287,-3259,-3270,62.7915382,-96.2769241
-96.079,63.1353,-3305,Tantalus,-3294,-3293,-3263,-3274,62.7950363,-96.076622
-96.0355,63.1691,-3309,Tantalus,-3299,-3299,-3268,-3274,62.8288383,-96.0331192
-95.8158,63.171,-3310,Tantalus,-3298,-3298,-3272,-3276,62.8307381,-95.8134232
-95.7204,63.1626,-3313,Tantalus,-3297,-3296,-3275,-3286,62.8223381,-95.7180176
-95.6666,63.1735,-3311,Tantalus,-3296,-3295,-3279,-3286,62.8332367,-95.6642227
-94.424,63.1534,-3318,Tantalus,-3317,-3317,-3262,-3281,62.8131371,-94.4216232
-94.3416,63.1351,-3320,Tantalus,-3310,-3309,-3254,-3281,62.794838,-94.3392181
-96.4584,63.0994,-3315,Tantalus,-3310,-3310,-3253,-3270,62.7591362,-96.4560242
-96.1843,63.1259,-3305,Tantalus,-3288,-3288,-3260,-3274,62.7856369,-96.1819229
-94.2943,63.1029,-3317,Tantalus,-3302,-3302,-3241,-3281,62.7626381,-94.2919235
-96.3179,63.0409,-3292,Tantalus,-3285,-3284,-3244,-3232,62.7006378,-96.3155212
-96.4029,63.0641,-3313,Tantalus,-3295,-3294,-3247,-3232,62.7238388,-96.4005203
-94.3019,63.0646,-3310,Tantalus,-3292,-3291,-3230,-3205,62.7243385,-94.2995224
-94.2924,63.0354,-3303,Tantalus,-3287,-3287,-3221,-3205,62.695137,-94.2900238
-96.2771,62.9878,-3286,Tantalus,-3273,-3273,-3237,-3232,62.6475372,-96.2747192
-96.2782,62.9348,-3277,Tantalus,-3251,-3251,-3229,-3232,62.5945358,-96.2758179
-96.2804,62.886,-3267,Tantalus,-3259,-3258,-3221,-3232,62.5457382,-96.2780228
-96.309,62.8126,-3256,Tantalus,-3247,-3247,-3209,-3195,62.4723358,-96.3066177
-96.3293,62.7629,-3249,Tantalus,-3236,-3236,-3202,-3195,62.4226379,-96.3269196
-92.7614,62.6762,-3289,Tantalus,-3279,-3278,-3257,-3258,62.3359375,-92.7590179
-92.6466,62.6812,-3295,Tantalus,-3282,-3283,-3261,-3265,62.3409386,-92.6442184
-92.6077,62.677,-3295,Tantalus,-3288,-3288,-3262,-3265,62.3367386,-92.6053238
-92.586,62.6509,-3296,Tantalus,-3285,-3285,-3260,-3265,62.3106384,-92.5836182
-96.4035,62.6892,-3235,Tantalus,-3226,-3226,-3192,-3195,62.348938,-96.401123
-92.5875,62.6105,-3289,Tantalus,-3278,-3278,-3256,-3265,62.270237,-92.5851212
-92.6167,62.5733,-3284,Tantalus,-3276,-3276,-3252,-3241,62.233036,-92.6143188
-92.6124,62.5304,-3278,Tantalus,-3274,-3274,-3248,-3241,62.190136,-92.6100235
-92.5934,62.4753,-3271,Tantalus,-3267,-3267,-3244,-3241,62.1350365,-92.5910187
-92.5556,62.4508,-3271,Tantalus,-3265,-3265,-3243,-3241,62.1105385,-92.5532227
-92.5045,62.4279,-3259,Tantalus,-3280,-3280,-3242,-3241,62.0876389,-92.502121
-92.4733,62.4147,-3279,Tantalus,-3277,-3276,-3242,-3257,62.0744362,-92.4709167
-92.4273,62.3866,-3265,Tantalus,-3260,-3259,-3241,-3257,62.0463371,-92.4249191
-92.3863,62.3533,-3258,Tantalus,-3258,-3257,-3240,-3257,62.0130386,-92.3839188
-92.3487,62.3263,-3257,Tantalus,-3255,-3255,-3237,-3222,61.9860382,-92.3463211
-92.3137,62.298,-3254,Tantalus,-3256,-3256,-3231,-3222,61.957737,-92.3113174
-92.2838,62.2645,-3259,Tantalus,-3259,-3259,-3225,-3222,61.9242363,-92.2814178
-92.2484,62.2298,-3258,Tantalus,-3260,-3260,-3219,-3211,61.8895378,-92.2460175
-91.9571,62.231,-3265,Tantalus,-3262,-3262,-3223,-3226,61.8907356,-91.9547195
-91.8844,62.2322,-3253,Tantalus,-3258,-3258,-3228,-3226,61.8919373,-91.882019
-90.1959,62.215,-3285,Tantalus,-3267,-3266,-3243,-3247,61.8747368,-90.1935196
-90.1581,62.2138,-3294,Tantalus,-3260,-3259,-3244,-3247,61.873539,-90.1557236
-90.045,62.2139,-3303,Tantalus,-3282,-3282,-3256,-3247,61.8736382,-90.0426178
-92.1966,62.1904,-3254,Tantalus,-3260,-3259,-3210,-3211,61.8501358,-92.1942215
-92.1302,62.1677,-3257,Tantalus,-3266,-3265,-3205,-3211,61.8274384,-92.1278229
-92.0706,62.1637,-3260,Tantalus,-3257,-3256,-3207,-3211,61.8234367,-92.068222
-92.0093,62.171,-3262,Tantalus,-3255,-3255,-3212,-3211,61.8307381,-92.0069199
-91.9981,62.2014,-3256,Tantalus,-3262,-3261,-3217,-3226,61.8611374,-91.9957199
-91.823,62.2029,-3262,Tantalus,-3260,-3260,-3226,-3226,61.8626366,-91.8206177
-91.7687,62.1961,-3252,Tantalus,-3261,-3261,-3227,-3226,61.8558388,-91.7663193
-91.7111,62.1805,-3255,Tantalus,-3256,-3255,-3227,-3237,61.8402367,-91.7087173
-91.6348,62.1652,-3254,Tantalus,-3256,-3256,-3228,-3237,61.8249359,-91.6324234
-90.1793,62.1609,-3268,Tantalus,-3263,-3262,-3228,-3247,61.8206367,-90.176918
-90.1984,62.1911,-3279,Tantalus,-3264,-3264,-3236,-3247,61.8508377,-90.196022
-90.1311,62.205,-3299,Tantalus,-3267,-3268,-3243,-3247,61.8647385,-90.1287231
-90.0988,62.2063,-3301,Tantalus,-3281,-3281,-3247,-3247,61.8660355,-90.0964203
