P89 M,P89 P,P93 M,P93 P,CP01 M,CP01 P,CH03 M,CH03 P,P07 M,P07 P,W04 M,W04 P,P10 M,P10 P,S21 M,S21 P
-1.651,-0.405580326,-0.747,0.693623876,-1.159,0.106220998,-3.87,-3.626143895,-2.699,-0.90835632,-3.456,-3.162729206,-3.785,-3.076904478,-3.584,-3.155078496
-1.625,-0.379580326,-0.63,0.8401941,-0.643,0.622220998,-3.87,-3.614915534,-2.572,-0.781135158,-3.474,-3.180729206,-3.739,-3.030904478,-3.559,-3.130078496
-1.619,-0.373580326,-0.793,0.692667412,-0.433,0.839598425,-3.868,-3.620508019,-2.739,-0.947645809,-3.844,-3.550754422,-3.739,-3.030904478,-3.553,-3.126809665
-1.184,0.067289816,-0.961,0.537352484,-0.766,0.515094663,-3.87,-3.610960053,-2.66,-0.873145924,-3.585,-3.291729206,-3.864,-3.154429059,-3.603,-3.181530263
-0.741,0.511636826,-1.133,0.372597112,-1.031,0.250094663,-3.868,-3.612915534,-2.723,-0.935854581,-3.562,-3.268754422,-3.866,-3.156429059,-3.66,-3.235782932
-0.712,0.546334744,-1.329,0.180413718,-1.317,-0.034586614,-3.87,-3.626143895,-2.934,-1.148163002,-3.7,-3.406729206,-3.875,-3.167647551,-3.654,-3.229782932
-0.761,0.498643792,-0.957,0.561809446,-0.989,0.300280408,-3.872,-3.631672137,-3.034,-1.246236096,-3.633,-3.339754422,-3.908,-3.198429059,-3.606,-3.191145565
-0.676,0.589165267,-0.655,0.869591531,-1.263,0.036927788,-3.867,-3.607960053,-3.194,-1.408397171,-3.685,-3.391780167,-3.824,-3.115164976,-3.674,-3.259145565
-0.372,0.893165267,-1.519,0.012041583,-1.47,-0.171293623,-3.869,-3.617765047,-3.068,-1.281852197,-3.647,-3.35370451,-3.847,-3.139647551,-3.63,-3.219802984
-0.627,0.643533692,-2.19,-0.654272903,-1.392,-0.088181936,-3.87,-3.622508019,-3.302,-1.519657733,-3.661,-3.36770451,-3.843,-3.134164976,-3.576,-3.165802984
-0.48,0.790533692,-2.294,-0.754539329,-1.772,-0.457322484,-3.873,-3.632672137,-3.573,-1.793483921,-3.528,-3.234780167,-3.902,-3.192429059,-3.601,-3.195443968
-0.335,0.94074674,-2.33,-0.790032281,-1.477,-0.162322484,-3.877,-3.640092218,-3.739,-1.961832361,-3.627,-3.333978979,-3.795,-3.086164976,-3.626,-3.225068151
-0.396,0.87974674,-2.066,-0.527656203,-2.381,-1.065207037,-3.869,-3.617765047,-3.857,-2.089400675,-3.676,-3.383125006,-3.877,-3.169647551,-3.597,-3.196068151
-0.245,1.03580211,-2.129,-0.593630004,-1.433,-0.111588958,-3.876,-3.639092218,-3.888,-2.124040424,-3.641,-3.348125006,-3.93,-3.223717129,-3.635,-3.238675174
-0.283,0.99780211,-2.298,-0.763934024,-1.7,-0.374245765,-3.871,-3.607899192,-3.907,-2.147284128,-3.5,-3.207125006,-3.808,-3.103227419,-3.596,-3.196829561
-0.471,0.814697522,-2.224,-0.689254716,-1.811,-0.481077779,-3.873,-3.639403633,-3.881,-2.121284128,-3.645,-3.351978979,-3.9,-3.196751924,-3.666,-3.273080508
-1.138,0.148851996,-2.588,-1.054665978,-1.731,-0.397087208,-3.87,-3.634215641,-3.033,-1.28191426,-3.585,-3.292155994,-3.905,-3.198717129,-3.652,-3.263606224
-1.753,-0.466148004,-2.715,-1.18466219,-1.695,-0.360135689,-3.886,-3.68374163,-3.819,-2.076714757,-3.54,-3.247155994,-3.776,-3.071227419,-3.672,-3.283606224
-1.704,-0.411335672,-2.746,-1.222090523,-1.853,-0.509905335,-3.87,-3.629951262,-3.925,-2.187910665,-3.675,-3.381978979,-3.878,-3.174751924,-3.685,-3.296606224
-0.777,0.520169255,-2.663,-1.151786271,-1.803,-0.460769107,-3.871,-3.66874163,-3.806,-2.073099629,-3.735,-3.44231776,-3.917,-3.210717129,-3.619,-3.232196318
-1.918,-0.619766099,-2.641,-1.14619681,-1.507,-0.16220164,-3.867,-3.670981379,-4.007,-2.285285932,-3.762,-3.469382458,-3.907,-3.201470491,-3.672,-3.285196318
-1.126,0.172233901,-2.908,-1.426222967,-1.756,-0.407942238,-3.866,-3.666917363,-3.586,-1.891894026,-3.755,-3.462382458,-3.912,-3.206470491,-3.678,-3.291196318
-1.491,-0.188462524,-2.744,-1.290367372,-1.277,0.073353781,-3.868,-3.668917363,-3.776,-2.087619367,-3.732,-3.439382458,-3.897,-3.191470491,-3.691,-3.304196318
-1.639,-0.336462524,-2.587,-1.155675634,-1.911,-0.557724205,-3.872,-3.631951262,-3.62,-1.951177409,-3.725,-3.432415746,-3.82,-3.116751924,-3.686,-3.299196318
-1.732,-0.425330373,-2.968,-1.561574629,-0.801,0.557976119,-3.868,-3.671981379,-3.459,-1.79634283,-3.695,-3.402415746,-3.921,-3.219555735,-3.493,-3.103270568
-1.401,-0.094330373,-2.719,-1.32858474,-1.206,0.153628066,-3.861,-3.667933224,-3.985,-2.34340615,-3.716,-3.42331776,-3.804,-3.104115352,-3.487,-3.10173257
-1.458,-0.152328213,-2.68,-1.308637512,-2.075,-0.71196712,-3.865,-3.671933224,-3.935,-2.299956145,-3.582,-3.2893498,-3.968,-3.271483021,-3.608,-3.22273257
-0.376,0.933665038,-2.858,-1.504513823,-1.665,-0.302544992,-3.871,-3.626581227,-3.889,-2.260577926,-3.649,-3.356415746,-3.965,-3.268483021,-3.682,-3.29673257
-0.819,0.490665038,-2.647,-1.334437459,-1.211,0.150254367,-3.864,-3.702420897,-3.985,-2.36213644,-3.683,-3.390449674,-3.944,-3.247483021,-3.673,-3.292176609
-1.19,0.123483422,-2.905,-1.615784203,-0.948,0.415336568,-3.872,-3.654876694,-3.655,-2.037702416,-3.728,-3.4353498,-3.946,-3.254498105,-3.603,-3.226602388
-0.976,0.337483422,-2.495,-1.19167893,-1.381,-0.017100622,-3.861,-3.702224414,-3.873,-2.255702416,-3.751,-3.45831776,-3.843,-3.149036387,-3.657,-3.280602388
-1.751,-0.433875169,-2.366,-1.056995192,-1.493,-0.129100622,-3.872,-3.650299085,-3.967,-2.348554601,-3.638,-3.345449674,-3.983,-3.291498105,-3.629,-3.257009614
-0.983,0.335016001,-3.026,-1.733977257,-1.823,-0.458552896,-3.855,-3.696224414,-3.298,-1.694257025,-3.72,-3.4273498,-3.834,-3.140036387,-3.641,-3.269009614
-1.144,0.177441062,-3.044,-1.749162706,-2.043,-0.676760506,-3.872,-3.650299085,-3.792,-2.203311136,-3.617,-3.324844914,-3.891,-3.196222745,-3.612,-3.244398005
-0.976,0.346280823,-2.003,-0.702586407,-1.731,-0.36272981,-3.871,-3.644615657,-3.737,-2.168001325,-3.624,-3.331844914,-3.961,-3.269498105,-3.628,-3.260398005
-1.37,-0.04451435,-2.163,-0.907852597,-1.892,-0.522781946,-3.871,-3.644615657,-4.096,-2.53971165,-3.609,-3.316844914,-3.752,-3.0622254,-3.57,-3.202398005
-1.891,-0.56551435,-1.598,-0.368619791,-1.579,-0.208256044,-3.852,-3.693224414,-3.508,-1.950262983,-3.564,-3.272279948,-3.953,-3.262390283,-3.584,-3.220767287
-1.969,-0.640494394,-0.916,0.290169641,-1.79,-0.418051011,-3.871,-3.639827101,-3.732,-2.181318004,-3.522,-3.230279948,-3.903,-3.215751295,-3.618,-3.254767287
-2.171,-0.842494394,-1.392,-0.182162503,-1.953,-0.580384344,-3.87,-3.638827101,-3.561,-2.024497131,-3.501,-3.209279948,-3.569,-2.8792254,-3.553,-3.189767287
-2.258,-0.926661304,-1.997,-0.779801508,-1.689,-0.317113289,-3.849,-3.69291283,-3.957,-2.445239767,-3.533,-3.241754373,-3.916,-3.225390283,-3.582,-3.223117193
-2.192,-0.860661304,-1.303,-0.095486023,-1.994,-0.621612393,-3.846,-3.68991283,-3.989,-2.486192178,-3.146,-2.854754373,-3.847,-3.159751295,-3.614,-3.255117193
-2.206,-0.874661304,-2.18,-0.986132063,-1.569,-0.196503796,-3.849,-3.724550077,-3.837,-2.352365468,-3.668,-3.376615676,-3.33,-2.6402254,-3.5,-3.142408736
-2.237,-0.903017041,-1.996,-0.834306552,-2.036,-0.662687604,-3.87,-3.660982084,-3.819,-2.360306719,-3.668,-3.376615676,-3.892,-3.201390283,-3.52,-3.162408736
-2.234,-0.900017041,-2.032,-0.908176226,-1.422,-0.049104793,-3.85,-3.725550077,-3.861,-2.430774427,-3.4,-3.108754373,-3.824,-3.135905924,-3.549,-3.19570728
-2.192,-0.855563537,-2.343,-1.238780573,-1.848,-0.474578064,-3.85,-3.728080107,-3.774,-2.370661305,-3.655,-3.364115505,-3.476,-2.790453995,-3.55,-3.19670728
-2.184,-0.847563537,-1.582,-0.518312619,-1.756,-0.382687604,-3.871,-3.656876173,-3.594,-2.220228081,-3.759,-3.468115505,-3.88,-3.193597322,-3.556,-3.20270728
-2.079,-0.740899821,-0.938,0.088055258,-1.869,-0.495817178,-3.849,-3.727080107,-3.726,-2.369778149,-3.308,-3.017267779,-3.504,-2.819314059,-3.546,-3.19270728
-2.067,-0.728899821,-0.812,0.175020529,-2.293,-0.919521203,-3.868,-3.653876173,-3.745,-2.39881956,-3.706,-3.415115505,-3.773,-3.089177496,-3.544,-3.194985979
-2.206,-0.865789979,-0.671,0.293533988,-1.988,-0.614534785,-3.851,-3.731492194,-3.634,-2.29791374,-3.577,-3.286115505,-3.706,-3.022177496,-3.55,-3.200985979
-2.207,-0.866789979,-0.935,-0.021698201,-1.863,-0.489562426,-3.866,-3.64666588,-3.787,-2.483581397,-3.706,-3.415267779,-3.787,-3.102314059,-3.535,-3.185985979
