Lat,Lon,Elevation [m]
-13.76507,178.93767,-1229
-13.47717,177.93336,-1446
-13.10001,177.65885,-1686
-13.09331,177.51155,-1673
-13.12165,176.51986,-1629
-12.81367,173.806,-2149
-13.03238,173.68994,-1417
-13.06585,173.68548,-1496
-13.28456,173.67209,-1563
-7.36588,175.25585,-1067
-7.03781,174.97242,-2140
-6.99541,174.89877,-2227
-6.95078,174.86306,-2356
-7.06013,174.62426,-1581
-7.61584,174.00605,151
-7.64262,173.76055,-51
-8.79643,173.20037,-29
-9.04862,173.21376,-663
-9.13624,173.17999,-1150
-9.18252,173.22046,-797
-9.3221,173.06616,-1552
-9.46493,173.03992,-1948
-9.57754,173.2026,-1387
-9.62896,173.24805,-1479
-9.65565,173.2584,-1518
-9.65342,173.34097,-1252
-9.61548,173.41909,-720
-9.72707,173.53291,-904
-9.7784,173.53737,-1192
-9.81187,173.58424,-1177
-9.83196,173.66682,-945
-9.90561,173.69583,-1188
-9.90114,173.74716,-903
-9.91453,173.76055,-1054
-9.92235,173.78823,-1078
-9.9681,173.79403,-1251
-10.03282,173.78287,-1610
-10.24483,173.72707,-1711
-10.36758,173.68244,-1728
-10.50818,173.6445,-1820
-10.61498,173.92148,-1678
-10.67917,173.9729,-1601
-10.7626,174.01721,-1725
-10.9032,174.1712,-1661
-11.5014,175.05134,-1701
-11.51479,175.41289,-1689
-11.47015,175.52448,-1703
-11.3608,175.69856,-1717
-11.37075,175.78597,-1714
-11.64467,169.4382,-2322
-12.18031,168.89577,-1654
-14.31115,167.90017,-1030
-14.41575,166.72808,-1457
-14.74531,165.91592,-1385
-14.50186,165.26352,-1578
-14.99303,164.4474,-1378
-13.59522,161.26348,-1260
-12.67297,159.7538,-1195
-11.29039,159.28124,-1144
-9.1466,158.11312,-1656
-9.23747,157.9515,-1608
-8.40069,155.9315,-1573
-8.3315,155.8891,-1678
-7.98558,155.82214,-1799
-8.47142,152.6092,-1269
-8.48522,152.53634,-1246
-8.4793,152.30427,-1489
-8.4726,152.22615,-1519
-8.44359,152.16366,-1527
-8.48927,151.75728,-1246
-8.07039,149.95029,-1168
-7.9521,149.91458,-1536
-7.6843,149.77844,-1863
-7.81362,148.47148,-1392
-7.47415,147.81911,-1596
-5.94005,144.48514,-2105
-3.65477,144.30878,-2380
-3.60333,142.19981,-2569
-5.23245,132.85503,-1673
-4.36374,132.53863,-987
-3.55127,131.92927,226
-1.82781,131.45408,-796
-1.73407,131.16503,-1438
-1.53869,130.54047,-1337
-1.42456,129.9672,-354
-1.19894,129.8799,-1103
-1.26164,129.19946,-260
-1.30474,128.81841,223
-1.09649,128.53438,-188
0.23412,126.73623,-1200
0.4271,124.49922,-493
0.42531,124.36464,-319
1.21671,121.63806,-211
1.47052,121.19681,-250
1.5408,121.03671,-232
5.74481,115.08542,-72
7.12572,98.11663,-2078
7.26414,97.6007,-2412
3.61118,91.27668,-2965
3.34655,90.20686,-2701
3.05283,86.54514,-2707
3.26671,84.85309,-3122
3.15258,84.71622,-2772
3.20645,84.43798,-2715
3.34655,83.27803,-2332
3.31441,83.18991,-2398
2.94753,82.28043,-1488
33.65529,66.13382,-1323
32.53687,62.1701,-1837
32.43424,59.38406,-1878
32.48316,59.05923,-1424
33.33437,58.93122,-1542
37.53106,56.23408,-1480
40.53402,53.30121,-2113
40.13473,51.07986,-1920
40.69075,47.89939,-1660
40.62753,47.36974,-2143
39.65728,35.83674,-1513
39.75958,35.6389,-1626
39.74383,24.97867,-2750
39.37202,15.99078,-2795
40.82987,12.01796,-3222
41.0566,8.32032,-3499
41.0527,8.21094,-3416
41.16597,7.93009,-3467
35.59367,-2.04377,-2988
33.96874,-13.01541,-3957
17.94298,-23.95157,-3009
11.32048,-45.38189,-2647
11.67202,-46.98933,-2475
14.44534,-50.62631,-2430
14.57424,-50.91146,-2363
19.00881,-54.45084,-2292
19.69237,-54.59927,-2184
36.67925,-53.58258,-2953
44.22754,-54.69753,-2248
44.11707,-55.64828,-2202
45.03097,-56.13369,-2389
45.57998,-57.2853,-2383
45.98504,-57.58324,-2360
49.63227,-60.04566,-2453
-4.89705,-147.74172,-2492
-3.99266,-149.44673,-2703
-4.02682,-149.93112,-2742
-4.31475,-150.80883,-2822
-3.80343,-151.19319,-2837
-3.52338,-152.43276,-2700
-3.44128,-153.15841,-2708
-6.5324,-169.05234,-2603
-11.79925,-172.4242,-1556
-11.3188,-174.28666,-1995
-11.20943,-175.10422,-2059
-11.5727,-177.12684,-1146
-12.00627,-177.98229,-1023
-14.023,-179.9769,-1145
