Lat,Lon,Elevation [m]
15.1928425,-148.1542511,-3304
15.1101427,-148.0831604,-3272
15.0274487,-148.0122833,-3249
14.9614801,-147.9031677,-3242
16.8373566,-149.7960052,-3743
16.7349072,-149.7324371,-3739
16.577589,-149.6189117,-3707
16.4951763,-149.5437927,-3649
16.412756,-149.4689026,-3609
16.3204308,-149.4003296,-3523
16.2420387,-149.309494,-3523
16.1635914,-149.2189026,-3458
16.075243,-149.1347046,-3463
15.9908094,-149.0344238,-3402
15.9083033,-148.960968,-3407
15.8394585,-148.8652954,-3225
15.7705221,-148.7698364,-3276
15.687932,-148.6970825,-3300
15.618865,-148.6021118,-3185
15.5243464,-148.5096436,-3289
15.4454432,-148.4213562,-3233
15.3568249,-148.3395233,-3260
15.2778463,-148.2517548,-3240
17.6429253,-150.0115662,-3771
17.5209904,-149.9862823,-3778
17.4050713,-149.9716797,-3760
17.2850685,-149.9738159,-3774
17.1779804,-149.9260406,-3764
17.060955,-149.884552,-3768
16.9440765,-149.8432312,-3748
18.3351917,-149.9621735,-3798
18.2180634,-149.9474182,-3802
18.1042938,-149.9879913,-3796
17.9832153,-149.9901276,-3790
17.8607407,-149.9647217,-3770
17.7517624,-149.9881897,-3768
19.1527367,-150.231781,-3856
19.0344715,-150.2162018,-3858
18.9060574,-150.2069397,-3840
18.7925453,-150.1743774,-3833
18.6424351,-150.1497803,-3820
18.5379848,-150.0834045,-3812
18.4540787,-150.0048218,-3809
20.0074902,-150.4620972,-3850
19.8761559,-150.4235077,-3851
19.7613926,-150.3898926,-3848
19.6453266,-150.3279724,-3850
19.5204277,-150.3009949,-3853
19.4001637,-150.2568359,-3851
19.26968,-150.2191772,-3853
0.3908972,127.9157944,-1669
20.7344513,-150.7068176,-3860
20.6279106,-150.6367188,-3855
20.5168228,-150.5845337,-3852
20.3952961,-150.5389099,-3849
20.2693424,-150.5110779,-3846
20.1495171,-150.4945526,-3849
0.4524169,127.7894592,-1252
0.4668216,127.6998672,-231
0.4753509,127.6058121,-558
0.4894739,127.5161362,-57
0.530891,127.4382858,-1399
0.5837669,127.369133,-1938
21.725668,-150.8335724,-3868
21.599081,-150.833847,-3866
21.4619732,-150.8405304,-3867
21.3345356,-150.8114014,-3868
21.1966057,-150.7888184,-3861
21.0755081,-150.7713776,-3865
20.9592628,-150.7362518,-3863
0.654213,127.2767334,-1788
0.7070057,127.207283,-1464
0.7597621,127.1377029,-1832
0.8066682,127.0635986,-1465
0.8593401,126.9937668,-1174
22.4699116,-151.0433502,-3877
22.3470535,-151.0249023,-3876
22.2243671,-151.0065308,-3873
21.9603214,-150.9054413,-3886
21.8429241,-150.8694305,-3871
0.9003055,126.9150391,-1435
0.9192841,126.8289108,-1436
0.9351696,126.7222824,-1476
0.927576,126.6346817,-1642
0.9198495,126.5471115,-1593
0.9221984,126.4580231,-1139
23.2401085,-151.0447845,-3870
23.1014786,-151.0814972,-3868
22.978878,-151.0930328,-3870
22.8553066,-151.074295,-3869
22.7210121,-151.0621643,-3872
22.5978012,-151.0435944,-3873
0.9244089,126.3689346,-1661
0.9366866,126.2782745,-931
0.9182125,126.1923141,-829
0.9463111,126.1043243,-949
0.9866081,125.9619827,-2004
1.0203098,125.8780594,-2220
23.9779129,-151.0542603,-3868
23.8601818,-151.078125,-3870
23.7304211,-151.0777893,-3868
23.6069336,-151.0894775,-3870
23.4873791,-151.0519104,-3869
23.3630714,-151.0330811,-3869
1.037762,125.79142,-1814
1.0389382,125.7021332,-2139
