Lat,Lon,Elevation [m]
35.1841011,178.4320068,-4057
35.1649017,178.427002,-4059
35.1411018,178.4109955,-4064
35.1209984,178.4129944,-4064
35.1077995,178.4429932,-4062
35.1086998,178.4810028,-4062
35.0962982,178.4960022,-4063
35.0772018,178.4960022,-4069
35.0644989,178.5019989,-4061
35.0714989,178.529007,-4051
35.0847015,178.5529938,-4049
35.1100998,178.6000061,-4028
35.1267014,178.6340027,-4063
35.1241989,178.6649933,-4063
35.1063995,178.6809998,-3997
35.0836983,178.6600037,-4049
35.0550003,178.6609955,-4058
35.0469017,178.6790009,-4063
35.0266991,178.6759949,-4071
35.0073013,178.6649933,-4052
34.9754982,178.6629944,-4043
34.9555016,178.6719971,-4038
34.9319992,178.6649933,-3964
34.906601,178.6699982,-3952
34.8899002,178.6820068,-4040
34.8773994,178.6909943,-4072
34.8670006,178.7039948,-4087
34.8758011,178.7230072,-4068
34.8880997,178.7539978,-4028
34.8885994,178.7819977,-4041
34.8965988,178.8150024,-4051
34.9057007,178.8569946,-4061
34.9145012,178.8739929,-4062
34.9398994,178.9369965,-4064
34.9604988,178.9680023,-4064
34.9758987,179.0070038,-4062
34.9847984,179.0359955,-4051
34.9991989,179.0800018,-4028
34.9858017,179.1109924,-4054
34.9613991,179.1109924,-4053
34.9482002,179.076004,-4043
34.9384995,179.0610046,-4044
34.9076004,179.052002,-4022
34.8961983,179.0679932,-3976
34.8922005,179.0899963,-3942
34.9000015,179.1150055,-4022
34.9129982,179.1410065,-4029
34.9314003,179.1719971,-4009
34.9360008,179.197998,-4012
34.9458008,179.2200012,-4063
34.9734993,179.2319946,-3941
35.0010986,179.2319946,-4100
35.0329018,179.2299957,-4058
35.0667,179.2189941,-4025
35.0900002,179.2059937,-4025
35.1206017,179.1940002,-4037
35.1460991,179.1920013,-4015
35.1599998,179.1950073,-4018
35.1801987,179.2030029,-3993
35.2014999,179.2059937,-3967
35.2008018,179.3430023,-4097
35.1773987,179.3399963,-4102
35.1517982,179.3300018,-4118
35.1240997,179.3170013,-4031
35.1026993,179.3059998,-4029
35.0741997,179.3179932,-4004
35.0615005,179.3309937,-3981
35.0287018,179.3370056,-4040
35.0098,179.3639984,-3999
35.0205994,179.3829956,-4016
34.9902,179.4230042,-3977
34.9659004,179.4389954,-4018
34.9497986,179.4129944,-3975
34.9421997,179.3959961,-3994
34.9188995,179.3950043,-3943
34.8965988,179.3970032,-3956
34.8712997,179.4109955,-3986
34.8493996,179.4470062,-4019
34.8305016,179.4790039,-4016
34.8265991,179.5160065,-4048
34.8268013,179.5440063,-4022
34.8269997,179.5809937,-4044
34.8419991,179.6119995,-4021
34.8652992,179.6159973,-4044
34.8823013,179.6210022,-4035
34.8877983,179.6490021,-4047
34.8815002,179.677002,-4055
34.8667984,179.6950073,-4054
34.8627014,179.7220001,-4021
34.8754997,179.7440033,-4010
34.8894005,179.772995,-4014
34.8904991,179.7969971,-4050
34.8703995,179.8130035,-4006
34.8364983,179.8300018,-4015
34.8133011,179.8480072,-4010
