Lat,Lon,Elevation_m
53.8480988,-63.4542999,-3910
53.8316994,-63.1808014,-3943
53.793499,-66.2136002,-3560
53.8054008,-65.9409027,-3633
53.7883987,-65.6725998,-3620
53.7943001,-62.9076996,-3866
53.7242012,-65.1100998,-3581
53.7248001,-64.5454025,-3558
53.7318001,-64.2727966,-3630
53.7243004,-62.6613007,-3784
53.6809998,-66.8013992,-3347
53.6537018,-62.1119995,-3593
53.5993004,-67.040802,-3237
53.581501,-61.8680992,-3452
53.5982018,-59.0756989,-3876
53.5886993,-58.8042984,-3913
53.5470009,-59.6324005,-3888
53.4971008,-59.8903008,-3879
53.4948006,-58.2658005,-3972
53.4528999,-57.7088013,-4034
53.3552017,-57.155899,-4016
53.3294983,-61.1693993,-3632
53.3218002,-60.3722992,-3822
53.3274002,-56.8829002,-4010
53.2783012,-60.9091988,-3822
53.2699013,-60.6274986,-3680
53.2714005,-56.6217003,-4007
53.2220993,-67.3048019,-3422
53.1124001,-56.1483002,-3999
53.0486984,-67.3115005,-3113
52.8972015,-67.1837997,-2824
52.6451988,-55.0461998,-3960
52.5569,-67.0449982,-2470
52.3835983,-67.0529022,-2840
52.2263985,-67.153801,-2830
52.2448006,-54.1861,-3996
52.0830002,-67.3039017,-2867
51.9765015,-67.5175018,-2891
51.9604988,-53.8941002,-3979
51.8788986,-68.0155029,-2972
51.7941017,-68.2409973,-3051
51.7223015,-53.5209999,-3981
51.5792999,-68.6709976,-3560
51.5918007,-53.3482018,-3965
51.4230995,-53.301899,-3977
51.3156013,-69.2507019,-3455
51.2524986,-53.274601,-3993
51.2013016,-69.4421997,-3575
51.0764008,-53.3030014,-3941
51.0508995,-69.5673981,-3538
50.9057999,-53.276001,-4000
50.7587013,-53.1417007,-3767
50.7402992,-69.7780991,-3276
50.7092018,-51.5255013,-4010
50.6632996,-51.7785988,-3953
50.696701,-51.2719002,-4022
50.6638985,-51.0247993,-3994
50.5931015,-52.0082016,-3952
50.5458984,-52.7529984,-3955
50.5780983,-52.2566986,-3995
50.5175018,-52.5056,-3941
50.4229012,-69.9610977,-3346
50.2779007,-70.1063004,-3473
50.2114983,-50.2668991,-3939
50.1470985,-70.2703018,-3315
50.0667,-50.1380005,-3960
49.9253998,-70.6836014,-2832
49.8335991,-70.8921967,-2881
49.7793999,-71.3786011,-3421
49.7671013,-71.1278992,-3194
49.6939011,-71.8634033,-3385
49.5892982,-73.0867996,-3339
49.5966988,-72.8171997,-3117
49.5802994,-72.5710983,-2710
49.6105003,-72.0763016,-3392
49.5387993,-73.3343964,-3098
49.4197006,-80.4573975,-688
49.4175987,-80.2136002,-2407
49.4180984,-73.517601,-2998
49.3930016,-80.6949005,-354
49.3881989,-79.9763031,-2763
49.3670998,-49.9054985,-3914
49.3404999,-79.7440033,-2918
49.2580986,-80.8667984,13
49.2745018,-79.5167999,-2932
49.0253983,-49.8644981,-3900
48.9984016,-78.8983994,-2949
48.9510002,-81.1259995,345
48.9445992,-73.8043976,-3246
48.8609009,-78.4512024,-2935
48.8042984,-73.9391022,-3211
48.6711998,-77.5122986,-2482
48.6890984,-49.7364006,-3932
48.6130981,-81.274498,470
48.5833015,-77.3099976,-1587
48.5455017,-77.0800018,-2516
48.5297012,-49.6301003,-3921
48.4627991,-81.3939972,133
48.4632988,-76.8644028,-2628
48.4431992,-74.4553986,-2915
48.3251991,-81.5475006,-693
48.334301,-76.7029037,-2814
48.3602982,-49.5849991,-3895
48.2356987,-76.506897,-3059
48.264801,-74.8685989,-2529
48.2066002,-75.094101,-3177
48.1497993,-76.2820969,-3099
48.1090012,-76.055397,-3101
48.1276016,-75.5548019,-3145
48.0793991,-81.8826981,-524
48.0892982,-75.7963028,-3103
47.9396019,-82.0210037,-253
47.6729012,-82.3415985,803
47.6650009,-49.4922981,-3894
47.5043983,-49.4065018,-3905
47.3925018,-82.623703,1260
47.3862991,-49.4348984,-3881
47.2635994,-82.7917023,1298
47.1534004,-82.9676971,567
47.0592995,-49.2843018,-3872
47.0005989,-83.0772018,-230
46.706501,-83.3279037,-711
46.5850983,-83.4897995,595
46.4987984,-49.1702995,-3889
46.148201,-49.1785011,-3829
46.0573997,-84.0982971,1114
45.9681015,-49.2111015,-3818
45.9137001,-84.2231979,-649
45.7806015,-84.3692017,-1072
45.6105995,-49.2263985,-3832
45.6161995,14.1202002,-3820
45.4944,15.3017998,-3436
45.4362984,12.6366997,-3715
45.3746986,40.2089996,-327
45.4071999,39.9803009,763
45.3191986,-84.7167969,-706
45.3244019,40.4187012,215
45.3269005,39.7439995,-938
45.2639999,-49.2751999,-3792
45.2029991,39.5750999,-1852
45.1585999,40.8424988,-1924
45.1234016,15.9708996,-3876
45.0433006,-85.0250015,-804
45.0769997,-49.3142014,-3785
45.0578995,41.0344009,-1866
44.925499,39.2841988,-2092
44.9217987,16.2089996,-3319
44.9163017,41.3703995,-2173
44.9039001,41.1288986,-1931
44.8310013,41.5789986,-2475
44.8314018,16.4051991,-3313
44.8148994,11.1181002,-4041
44.7535019,-85.2738037,-660
44.7400017,-49.4109993,-3730
44.7284012,41.7678986,-2837
44.5980988,-85.4645004,-521
44.6085014,41.9370003,-2919
44.5666008,-49.4342995,-3724
44.5878983,38.5009003,-2629
44.5521011,38.2845001,-2642
44.5695992,16.7215004,-3799
44.4701996,38.0954018,-2913
44.4081993,16.8078995,-3772
44.2285004,-49.5449982,-3741
44.1680984,42.9598007,-2322
44.1958008,10.1703997,-3503
44.0657997,-85.8416977,392
44.0619011,43.1427994,-2711
44.0533981,37.1603012,-3151
44.0383987,16.7856007,-3660
43.9235001,43.3260994,-2808
43.9371986,36.9808998,-3285
43.8786011,-49.637001,-3723
43.7411995,43.7261009,-2434
43.766201,36.6132011,-3332
43.7411003,9.3538399,-3896
43.6935005,-49.6421013,-3716
43.7289009,43.9426994,-1613
43.6218987,36.4808998,-2514
43.5447006,44.5343018,-1470
43.5223007,16.5937004,-3559
43.4981995,44.75,-1178
43.4906998,36.3270988,-3055
43.4449997,-86.217598,672
43.3628998,16.4778996,-3324
43.3558006,45.0042,-995
43.2444,45.1792984,-428
43.2008018,36.0666008,-1346
43.1167984,45.3339996,-1404
43.0867996,8.6409998,-3756
43.0686989,35.9152985,-1317
42.9807014,35.7364998,-1338
42.8921013,45.6800003,-953
42.763401,45.8321991,-371
42.7799988,35.5615005,-1988
42.7913017,15.9323997,-2707
42.6571999,-49.6096992,-3673
42.6707993,15.7496004,-2714
42.6526985,-86.7810974,1134
42.6188011,45.9640007,-1738
42.6208,35.4572983,-2518
42.5031013,15.1587,-2720
42.5266991,15.3631001,-2621
42.4884987,-49.6547012,-3636
42.4860001,35.3935013,-2825
42.3821983,29.9913006,-2906
42.3742981,29.7366009,-2783
42.3843002,14.6448002,-3513
42.3292007,30.4227009,-2979
42.3095016,14.4540997,-3718
42.2456017,29.4626999,-2672
42.2615013,14.2446003,-3627
42.2070007,35.152401,-1512
42.1848984,30.8211994,-3185
42.1855011,14.0550003,-3113
42.1379013,-49.658699,-3598
42.1375999,49.8367996,-931
42.1386986,49.5890007,-2017
42.1310997,31.0333004,-3220
42.1202011,7.4022298,-3717
42.0606995,50.0195007,-1637
42.0923996,46.1244011,-1077
42.0891991,29.3570004,-2465
42.0098991,49.3675995,-1919
42.0573997,31.2311001,-3282
42.0220985,13.9509001,-3167
41.9695015,-49.6043015,-3735
41.9584007,49.1730003,-2447
41.9584007,34.9945984,-3197
41.9040985,-87.2606964,551
41.9515991,50.198101,-1292
41.9361,48.7347984,-2699
41.9317017,46.2341003,-872
41.8624001,48.3125992,-2293
41.801899,46.3818016,-1669
41.8022003,31.8292999,-3048
41.7378998,47.9076996,-769
41.7854004,34.9159012,-2892
41.7491989,29.3134995,-930
41.7877998,13.8542995,-3737
41.6870995,46.5480003,-1234
41.6380005,34.7941017,-2722
41.6319008,33.0900993,-2909
41.676899,16.9419994,-3447
41.6580009,16.7404995,-3465
41.6172981,47.7498016,-1068
41.597599,46.9399986,-1759
