Lat,Lon,Elevation_m
54.3163986,-66.2590027,-3760
54.3342018,-66.3303986,-3746
54.2985001,-66.5982971,-3682
54.1913986,-61.6882019,-3910
54.1735001,-62.027401,-3965
54.1557007,-66.9375,-3715
54.1377983,-62.402401,-3957
54.1021004,-65.3841019,-3757
54.1377983,-66.1875992,-3699
54.0663986,-65.134201,-3726
54.084301,-66.0804977,-3749
54.0307007,-60.5098,-3930
53.9949989,-61.2953987,-3853
53.9949989,-62.5094986,-3930
54.0307007,-66.9910965,-3720
53.9771004,-60.9025993,-3914
53.9057007,-65.0270004,-3662
53.8699989,-59.9206009,-3943
53.8699989,-66.9910965,-3035
53.7807007,-62.9737015,-3892
53.7985992,-64.0807037,-3705
53.7985992,-64.2770996,-3699
53.7449989,-63.6343994,-3866
53.7449989,-63.9556999,-3852
53.7629013,-64.8305969,-3594
53.709301,-64.5985031,-3466
53.6199989,-67.0802994,-3190
53.6021996,-59.7776985,-3885
53.584301,-67.2052994,-3223
53.4771996,-67.4730988,-3232
53.3165016,-59.4562988,-3873
53.2985992,-67.6159973,-3647
53.1380005,-59.2242012,-3890
53.1021996,-58.7957001,-3865
53.0130005,-67.6517029,-3358
52.8880005,-57.3494987,-3941
52.8700981,-57.7243996,-3915
52.9057999,-58.0637016,-3907
52.9057999,-67.7767029,-3315
52.8344002,-68.0266037,-3267
52.655899,-56.6531982,-3922
52.6380005,-68.1873016,-3599
52.5486984,-68.2052002,-3505
52.4952011,-55.4640007,-3962
52.4952011,-55.678299,-3930
52.4416008,-55.1962013,-3952
52.4594994,-56.5889015,-3933
52.405899,-68.3302002,-3583
52.3702011,-56.0889015,-3906
52.3702011,-56.4459991,-3931
52.3166008,-68.5444031,-3322
52.3166008,-54.9462013,-3934
52.2630997,-54.4283981,-3975
52.2630997,-54.7319984,-3967
52.2094994,-54.2319984,-3981
52.0844994,-68.7229996,-3619
52.0862999,-53.8678017,-3997
52.0130997,-68.740799,-3586
51.8880997,-53.375,-3989
51.7630997,-68.8479996,-3619
51.6380997,-68.9372025,-3606
51.6203003,-53.0714989,-3990
51.5131989,-69.1872025,-3591
51.4059982,-52.8572006,-3992
51.3525009,-69.4550018,-3572
51.2453003,-52.7322006,-3982
51.0847015,-69.7050018,-3550
51.0667992,-52.5358009,-3984
50.8883018,-52.4644012,-4009
50.7633018,-52.7500992,-3923
50.7633018,-52.5716019,-3952
50.7989998,-52.4644012,-3971
50.6917992,-52.9108009,-3903
50.6383018,-69.9906998,-3427
50.5847015,-53.0892982,-3890
50.4239998,-81.5962982,-2433
50.4239998,-51.9109001,-3972
50.4062004,-52.0001984,-3968
50.3704987,-81.2570038,-2641
50.3526001,-51.696701,-3962
50.3168983,-51.4645996,-3956
50.3168983,-52.1786995,-3945
50.2812004,-53.0892982,-3949
50.2098007,-70.0799026,-3422
50.174099,-51.0895996,-3901
50.138401,-70.847702,-3439
50.1562004,-81.8998032,-2595
50.1562004,-52.2322998,-3895
50.1026001,-71.0618973,-3494
50.0668983,-81.0070038,-2599
50.1026001,-82.1496964,-2535
50.0848007,-53.0000992,-3944
50.013401,-80.882103,-2776
50.013401,-70.0799026,-2481
50.049099,-52.3572998,-3888
49.9776993,-70.6869965,-3161
49.9598007,-50.8395996,-3923
49.9776993,-52.4109001,-3926
49.9062004,-79.2573013,-2864
49.9062004,-80.0429001,-2811
49.9418983,-80.5250015,-2798
49.924099,-82.256897,-2512
49.9418983,-52.5180016,-3943
49.9418983,-52.7322006,-3937
49.8526993,-71.6154022,-3433
49.8348007,-78.864502,-2946
49.8526993,-50.6610985,-3951
49.7812996,-70.7048035,-3151
49.799099,-70.1156006,-2653
49.763401,-79.6679001,-2791
49.7454987,-78.8108978,-2968
49.7454987,-81.9533005,-1982
49.6920013,-79.9714966,-2175
49.7098007,-81.6855011,-1196
49.6920013,-49.6968994,-3993
49.6206017,-79.0786972,-2826
49.638401,-49.5004997,-4007
49.5670013,-70.8834,-3100
49.6026993,-81.5070038,-967
49.6026993,-50.3932991,-3957
49.5312996,-72.3832016,-2962
49.549099,-79.9357986,-948
49.549099,-50.1076012,-3948
49.4956017,-49.3398018,-3998
49.3885002,-71.1511993,-2546
49.3706017,-79.703598,-2902
49.3526993,-49.3754997,-3992
49.3348999,-81.4356003,-1603
49.3170013,-70.4549026,-2900
49.2812996,-72.7938995,-2746
49.2635002,-50.0896988,-3930
49.2812996,-49.4469986,-3988
49.2098999,-79.4001007,-2947
49.1385002,-71.4548035,-2263
49.1741982,-50.2504005,-3910
49.1027985,-71.2583008,-2864
49.0491982,-77.0432968,-3100
49.0491982,-77.4003983,-3063
49.0491982,-79.2036972,-2913
49.0491982,-70.6690979,-2484
48.9956017,-77.7396011,-3014
48.9956017,-81.4533997,-815
48.9956017,-71.1511993,-2237
49.0135002,-50.3040009,-3713
48.9598999,-71.5618973,-2626
48.9598999,-76.4184036,-2160
48.9598999,-78.1680984,-2972
48.9421005,-78.9358978,-2849
48.9421005,-70.8298035,-2319
48.8707008,-71.4905014,-2864
48.8707008,-73.2759018,-3029
48.9063988,-76.4004974,-2472
48.9063988,-50.3040009,-3924
48.7813988,-50.2860985,-3892
48.7457008,-76.1505966,-3142
48.7457008,-70.9905014,-2579
48.6743011,-73.4722977,-2384
48.6921005,-81.5605011,-1482
48.6921005,-71.2405014,-2246
48.6385002,-50.0718994,-3902
48.5493011,-74.0437012,-2902
48.5671005,-71.0440979,-2463
48.5671005,-49.3933983,-3911
48.5493011,-49.8754997,-3903
48.4421997,-74.6328964,-3250
48.4599991,-75.9184036,-3039
48.4599991,-70.9369965,-1420
48.3885994,-75.6863022,-3029
48.3885994,-49.2327003,-3933
48.3707008,-81.7033997,-934
48.3707008,-70.9011993,-1296
48.2457008,-49.2863007,-3933
48.1921997,-82.096199,-1002
48.1743011,-70.8834,-1271
48.1208,-82.3639984,-911
48.1208,-71.4548035,-2435
48.0315018,-82.7925034,-571
48.0028992,40.6202011,-3248
47.9600983,-71.0976028,-2532
47.9600983,-71.3833008,-2589
47.9814987,40.8773003,-3266
47.9779015,-49.2863007,-3906
47.9421997,-83.3460007,-208
47.9244003,-71.2405014,-2566
47.8101006,40.4701996,-3138
47.7280006,-83.6673965,-131
47.7243996,41.2201004,-3111
47.5850983,-49.5183983,-3843
47.4673004,40.3844986,-3107
47.4600983,-49.7148018,-3914
47.406601,-83.9709015,-828
47.4244003,41.4771996,-3168
47.2280006,-49.9648018,-3872
47.1030006,40.4487991,-3090
47.031601,-84.1315994,-491
46.9958992,41.5200996,-3113
46.8674011,40.405899,-3025
46.906601,-50.0540009,-3881
46.7280998,-84.2922974,-490
46.7458992,-50.3218994,-3851
46.6924019,-50.7146988,-3795
46.5674019,40.1917,-2862
46.5460014,41.3700981,-2089
46.5317001,-50.4290009,-3795
46.4780998,-49.9112015,-3870
46.4245987,-84.2388,827
46.2888985,40.0203018,-2976
46.2246017,39.7416992,-2890
46.2639008,-49.5183983,-3886
46.1389008,-83.8459015,1541
46.0960007,41.0700989,-2683
46.0531998,39.4417992,-2841
46.0495987,-49.3219986,-3844
45.853199,-83.6316986,2323
45.8175011,40.8558998,-2406
45.8175011,42.591301,-2921
45.8353996,-49.3041,-3836
45.774601,42.8484001,-2855
45.7103996,39.4417992,-1870
45.6567993,-83.6673965,-888
45.6674995,42.3771019,-2865
45.5853996,-83.8638,-785
45.5853996,-84.1852036,-493
45.5603981,43.0413017,-2870
45.4747009,40.9416008,-2099
45.5139999,-49.214901,-3810
45.4426003,-84.4530029,-555
45.4533005,39.4631996,104
45.303299,39.3132019,-1890
45.2818985,-84.7030029,-628
45.2603989,43.0626984,-2903
45.2176018,38.9275017,-2080
45.1962013,41.2415009,-2610
45.1926003,-49.1613007,-3832
45.1105003,42.1413994,-2851
45.0139999,-84.7743988,135
45.0247002,41.5200996,-2176
45.0032997,43.5340996,-2447
44.9389992,43.2555008,-2466
44.8748016,43.0413017,-2763
44.8532982,38.1562004,-2841
44.7640991,-84.8815002,-430
44.767601,41.6915016,-2833
44.6568985,-85.2208023,-535
44.6604996,37.8134003,-3343
44.6819,42.9984016,-2800
44.6748009,-49.1613007,-3798
44.6176987,43.8339996,-2795
44.5533981,41.7342987,-2641
44.5747986,42.1199989,-2937
44.5105019,43.1055984,-2839
44.4070015,-49.3398018,-3749
44.2820015,-85.792099,11
44.2533989,43.9840012,-2913
44.2106018,36.5493011,-3445
44.1677017,37.0634995,-3338
44.1677017,41.7771988,-2985
44.1677017,42.8055992,-2820
44.2106018,43.0840988,-2831
44.1749001,-49.4648018,-3761
44.1249008,36.4207001,-3494
44.1463013,36.7849998,-3444
44.1463013,42.0770988,-2959
44.1463013,44.2625008,-2778
44.1249008,44.476799,-2686
44.1249008,45.1409988,-2467
44.0141983,-85.9707031,107
43.9962997,42.7198982,-2877
43.9319992,42.9770012,-2730
43.9105988,45.5480995,-101
43.8462982,9.2957802,-3809
43.8678017,9.5743198,-3796
43.8035011,35.4566002,-3528
43.8035011,41.9914017,-2781
43.760601,35.3708992,-3492
43.7821007,41.7128983,-2839
43.7821007,42.8484001,-2109
43.7178001,9.0172501,-3800
43.6534996,36.206501,-3487
43.6213989,-86.6848984,267
43.6106987,35.4351997,-3441
43.6106987,36.0564995,-3510
43.5891991,41.9057007,-2876
43.6035004,-49.5898018,-3724
43.5463982,41.8199997,-2872
43.5463982,8.9743996,-3767
43.5141983,-86.9704971,263
43.4821014,45.9552002,-1501
43.3893013,-87.5597,407
43.3964005,35.5850983,-3483
43.3713989,-49.5719986,-3705
43.3535004,-88.1847,190
43.2643013,-88.9167023,452
43.2036018,7.88169,-3601
43.2249985,8.1387901,-3734
43.2249985,8.5458803,-3764
43.2463989,8.8458405,-3507
43.1749992,-89.3988037,615
43.1571007,-49.4291,-3707
43.1607018,10.4955997,-3214
43.0964012,35.3708992,-3421
43.1179008,46.2551003,-1325
43.0750008,7.73171,-3619
43.0143013,-89.3630981,601
42.9785995,-88.0597,958
43.0321999,49.8331985,-2704
43.0321999,10.7955999,-3280
42.9249992,-88.8809967,722
42.9678993,50.0475006,-2798
42.9071999,-87.5419006,513
42.8821983,46.5550995,-138
42.9035988,7.6245799,-3673
42.8821983,10.9027004,-3763
42.8358002,-87.2919006,482
42.8608017,49.5117989,-1808
42.8535995,-49.3219986,-3715
42.7536011,34.985199,-3385
42.7108002,50.1545982,-2801
42.7322006,7.6245799,-3581
42.6250992,29.4144993,-3009
42.6394005,-49.3577003,-3714
42.5679016,-87.2025986,712
42.5607986,46.6408005,-1004
42.5821991,49.3190002,-2658
42.5178986,29.1145992,-1499
42.4964981,-49.3933983,-3715
42.4751015,7.81741,-3524
42.4108009,11.0740995,-3209
42.3465004,49.2332993,-2755
42.3465004,50.0903015,-1746
42.3180008,-87.2025986,583
42.3250999,54.4398003,-3023
42.3036995,9.0386696,-3361
42.3250999,8.7815704,-3445
42.3250999,8.3101997,-3304
42.239399,28.7717991,-2378
42.2607994,29.8430004,-1577
42.2464981,-49.5183983,-3705
42.2179985,46.8764992,-928
42.2179985,51.6758003,-2389
42.1966019,54.1184006,-2734
42.1750984,7.1103601,-3810
42.1537018,51.9328995,-2568
42.1537018,7.73171,-3680
42.1537018,11.2454996,-3845
42.0894012,51.3759003,-2501
42.1109009,54.6325989,-2897
42.1109009,9.2957802,-3201
42.0466003,48.9118996,-2657
42.0466003,6.74612,-3814
42.0037003,28.6861,-2490
41.9822998,34.4067001,-3004
41.9608994,46.8550987,-1769
42.0037003,50.1545982,-1866
41.9608994,-49.8576012,-3591
42.0037003,13.3238001,-2609
41.9608994,13.7523003,-3153
41.9608994,1.68966,-3833
42.0037003,1.98962,-3896
41.9393997,27.4218998,-3523
41.9179993,28.1718006,-3396
41.9179993,54.2254982,-2630
41.9393997,7.88169,-3656
41.9179993,13.1953001,-3477
41.9393997,0.682647,-3871
41.9179993,0.811201,-3893
41.9393997,2.11817,-3869
41.8751984,27.0790997,-3594
41.8965988,31.4927998,-3212
41.8965988,32.0499001,-3146
41.8536987,46.705101,-1843
41.8536987,51.9757996,-1289
41.8751984,6.5961399,-3865
41.8751984,11.3740997,-3571
41.8536987,16.9661999,-3509
41.8322983,51.1188011,-2886
41.8109016,54.6539993,-1741
41.8109016,6.4461598,-3779
41.8322983,9.3814898,-3249
41.8109016,12.6168003,-2672
41.8322983,16.2591,-2688
41.7466011,26.6720009,-3552
41.7680016,30.1858997,-1680
41.7895012,31.0429001,-3082
41.7680016,32.4784012,-3043
41.7680016,48.6762009,-2595
41.7895012,50.3474007,-2309
41.7680016,5.80339,-3762
41.7895012,0.382687,-3934
41.7680016,0.896904,-3872
41.7038002,28.9860001,-1051
41.7038002,34.2566986,-1133
41.7252007,50.9258995,-2914
41.7252007,54.2468987,-2287
41.7038002,54.6968994,-2456
41.7252007,55.1897011,-2427
41.7252007,55.5966988,-2352
41.7288017,-50.0004997,-3648
41.7038002,5.5891299,-3730
41.7252007,14.0737,-3736
41.7038002,15.7020998,-3606
41.7252007,17.4589996,-3585
41.657299,-87.3275986,592
41.6394997,17.8446007,-3612
41.6394997,28.4503994,-2993
41.6394997,50.5402985,-2546
41.6823006,12.1883001,-2709
41.6394997,2.3966999,-3707
41.5965996,30.4430008,-2248
41.6180992,30.7858009,-2882
41.5965996,46.6622009,-1495
41.5965996,54.8468018,-2205
41.6180992,55.6823997,-2118
41.5965996,8.0102396,-3372
41.6180992,9.3600597,-3582
41.6180992,0.339836,-3909
41.6180992,1.1325901,-3954
41.6180992,1.32542,-3960
41.5537987,48.5262985,-2655
41.5537987,51.7615013,-1276
41.5108986,29.2430992,-1179
41.4894981,34.2566986,-1116
41.4894981,47.5620995,-2067
41.5108986,47.9692001,-2331
41.4681015,5.4605799,-3676
41.5108986,11.5025997,-2928
41.4894981,12.0811005,-3619
41.4681015,14.5022001,-3137
41.4894981,2.4181299,-3856
41.4252014,26.2434998,-3640
41.446701,54.139801,-2882
41.4252014,8.1173697,-3649
41.4252014,0.425538,-3740
41.403801,48.2048988,-2524
41.3610001,52.4900017,-3058
41.3824005,9.2743597,-3633
41.3181,46.6408005,-2144
41.3395004,51.6973,-2796
41.3395004,15.2521,-3134
41.2537994,17.8446007,-2254
41.2537994,28.1504002,-2848
41.2966995,32.928299,-2357
41.2751999,52.6828003,-2949
41.2966995,8.2673502,-3742
41.2966995,11.6098003,-2895
41.2537994,12.0167999,-3695
41.2537994,0.404113,-3944
41.2966995,2.09674,-3763
41.2109985,34.3638992,-2401
41.232399,47.4121017,-2267
41.232399,53.9897995,-2926
41.232399,55.146801,-1028
41.2109985,9.1243801,-3634
41.1753006,-87.2382965,974
41.1467018,25.9650002,-3478
41.1467018,29.6501999,-2490
41.1680984,52.082901,-2497
41.1467018,8.5887299,-3608
41.1467018,1.88249,-3606
41.1038017,27.9575996,-2332
41.1253014,46.8121986,-2350
41.1038017,53.6683998,-2938
41.1253014,8.88869,-3678
41.1038017,11.8025999,-3740
41.1038017,14.8022003,-3268
41.1253014,0.339836,-3949
41.0859985,-86.1848984,912
41.0396004,47.1763992,-2649
41.0610008,52.8114014,-2907
41.0824013,11.9097004,-3691
40.9967003,-85.792099,1369
41.0181007,33.2711983,-994
40.9967003,5.2677498,-3578
40.9967003,15.2093,-3368
40.9609985,-86.4885025,633
40.9538994,17.7161007,-3274
40.9323997,25.5365009,-3534
40.9752998,28.2360992,-1633
40.9323997,34.3852997,-1567
40.9538994,52.9399986,-2480
40.9752998,53.2398987,-2909
40.9752998,55.146801,-242
40.9253006,-87.0954971,1081
40.8895988,1.81821,-3571
40.8359985,-85.5779037,1341
40.8681984,28.5788994,-1928
40.8717003,-50.0896988,-3610
40.8466988,15.3163996,-2211
40.8252983,0.0184499,-3922
40.8039017,30.2500992,-1249
40.8039017,33.4854012,-2339
40.7109985,-87.0597992,1089
40.7289009,-86.7563019,685
40.7182007,17.5018005,-3240
40.7610016,24.9580002,-3641
40.6753006,28.5788994,-2194
40.6753006,34.3423996,-1092
40.6753006,55.4896011,-2575
40.6575012,-50.1790009,-3603
40.6324997,15.0593004,-3215
40.6110001,15.6163998,-2088
40.6539001,-0.260084,-3900
40.6110001,1.86106,-3679
40.5252991,28.0646992,-2609
40.5467987,33.8282013,-2131
40.5038986,34.1282005,-2128
40.5145988,-50.3396988,-3603
40.4824982,30.5286999,-1870
40.4431992,-50.3932991,-3585
40.4824982,-0.452916,-3868
40.4076996,-137.0599976,-2395
40.4361992,-135.9889984,-2147
40.3933983,-135.1170044,-1919
40.4075012,-85.7564011,921
40.4182014,17.4589996,-3241
40.4396019,55.5539017,-1822
40.3647995,-137.345993,-2443
40.3077011,-137.5599976,-2510
40.3077011,-134.7030029,-1804
40.3325005,2.03247,-3695
40.225399,27.9790001,-2696
40.2290001,-50.4468002,-3635
40.2467995,15.7448997,-3412
40.2220001,-137.7599945,-2588
40.2039986,20.0086002,-2890
40.1220016,-138.8739929,-2919
40.1647987,-137.9880066,-2688
40.1610985,17.5018005,-3280
40.1397018,24.6152,-2979
40.1183014,30.5286999,-2444
40.1610985,15.4020996,-3158
40.1183014,2.3324299,-3800
40.0648003,-139.2449951,-3023
40.1077003,-138.5599976,-2821
40.0754013,19.6872997,-2153
40.0219994,-134.1029968,-1556
39.9897003,55.5752983,-1763
39.9790001,-50.4468002,-3585
39.9682999,2.61096,-3828
39.9468994,20.3729,-3388
39.9253998,15.7448997,-3379
39.8648987,-139.602005,-3169
39.8506012,-133.8890076,-1542
39.8611984,17.7374992,-3302
39.8825989,28.1933002,-2859
39.8825989,30.3143997,-2628
39.8611984,3.18946,-3831
39.8182983,-86.3277969,1703
39.8396988,15.5092001,-3153
39.7792015,-139.8450012,-3250
39.7753983,19.7943993,-3247
39.7826004,-50.4824982,-3536
39.7363014,-133.7169952,-1482
39.7112007,24.5723,-3163
39.6897011,29.9501991,-3220
39.6897011,16.1091995,-2123
39.6791992,-133.2890015,-1494
39.6683006,55.8539009,-2249
39.6683006,16.7733994,-2403
39.6040001,19.7730007,-3331
39.6254997,-1.09569,-3728
39.5611992,20.5443001,-3568
39.550499,-50.4824982,-3551
39.4934998,-140.302002,-3355
39.4968987,19.7301006,-3554
39.4968987,28.3432007,-2533
39.4968987,29.4787998,-3247
39.5182991,15.7877998,-2989
39.5182991,-1.18139,-3757
39.4325981,18.3589001,-3294
39.389801,18.9587994,-3235
39.389801,19.3873005,-2722
39.3684006,16.9447994,-2986
39.3184013,-86.5242004,1078
39.3255005,55.9609985,-2562
