Lat,Lon,Elevation_m
53.9243011,-62.5955009,-3908
53.9272995,-62.3190994,-3884
53.8571014,-65.8571014,-3672
53.8012009,-66.4041977,-3505
53.8167,-65.5982971,-3648
53.7981987,-65.0561981,-3606
53.8272018,-61.8106995,-3843
53.7524986,-66.6555023,-3377
53.7619019,-64.7695999,-3549
53.7561989,-64.2391968,-3645
53.7585983,-61.5488014,-3768
53.6691017,-66.8830032,-3319
53.7010994,-63.6987991,-3841
53.6957016,-63.4341011,-3873
53.7159004,-61.1548996,-3849
53.4528999,-67.368103,-3456
53.4631004,-60.4253006,-3789
53.3748016,-60.2094994,-3875
53.3152008,-67.5983963,-3627
53.1604996,-67.9440002,-3642
53.141201,-59.8353996,-3857
53.089901,-59.5610008,-3881
52.9328003,-68.2123032,-3627
52.9317017,-59.1175995,-3875
52.8342018,-58.8902016,-3874
52.7737007,-58.2757988,-3894
52.7723999,-57.7490005,-3918
52.7509003,-57.4938011,-3925
52.6090012,-57.012001,-3917
52.3395004,-68.802803,-3600
52.3544006,-56.3754997,-3928
52.2541008,-56.0547981,-3921
52.2102013,-55.7989006,-3913
52.1668015,-55.287899,-3938
51.9432983,-54.6240005,-3942
51.9138985,-69.1588974,-3603
51.6615982,-53.9547997,-3937
51.4971008,-69.5449982,-3574
51.4488983,-53.5923996,-3961
51.3872986,-69.719902,-3558
51.3574982,-53.3945007,-4000
51.2221985,-53.2751007,-3974
51.1343994,-70.042099,-3525
51.0741005,-53.1973,-3978
50.9945984,-70.1443024,-3504
50.8707008,-70.3500977,-3132
50.9081001,-53.1160011,-4010
50.8179016,-70.5024033,-3544
50.7109985,-70.6901016,-3491
50.6362,-70.9014969,-3516
50.6072006,-53.0197983,-3898
50.5812988,-71.1435013,-3510
50.5209999,-82.2605972,-2592
50.5110016,-82.0000992,-2625
50.5271988,-81.7537003,-2082
50.489399,-71.3406982,-3509
50.4740982,-82.7748032,-2559
50.4460983,-81.0447006,-2102
50.3969002,-80.8143997,-2737
50.4132996,-71.5494995,-3468
50.3664017,-84.501297,-1773
50.3641014,-84.2612991,-1976
50.3308983,-83.7658997,-2150
50.3283997,-83.2050018,-2415
50.3221016,-80.591301,-2769
50.3266983,-52.8016014,-3960
50.2897987,-85.0342026,-1663
50.2885017,-71.7193985,-3461
50.2155991,-85.2534027,-1488
50.2039986,-52.6478996,-3947
50.0965004,-85.5369034,-1309
50.0612984,-79.9766006,-2807
50.0537987,-72.1309967,-3458
50.1012993,-52.4710999,-3939
50.010601,-52.2555008,-3862
49.9571991,-52.0201988,-3932
49.9392014,-79.8099976,-2786
49.9244003,-72.2785034,-3422
49.8941994,-51.5456009,-3956
49.8418007,-50.8792992,-3963
49.8144989,-72.4564972,-3300
49.7380981,-85.8160019,-1204
49.7641983,-79.4199982,-2851
49.6785011,-50.4779015,-3941
49.637001,-50.4378014,-3948
49.5872002,-85.847702,-1112
49.6136017,-72.8408966,-3203
49.5480995,-79.0257034,-2897
49.5502014,-73.0546036,-3343
49.5541,-50.3070984,-3957
49.4584999,-73.2602005,-3319
49.4370003,-78.8607025,-2886
49.4035988,-50.2719002,-3951
49.3811989,-85.9143982,-993
49.3771019,-73.5205002,-3090
49.3400002,-78.4153976,-2988
49.2598,-78.2033997,-3005
49.2499008,-50.2914009,-3946
49.2340012,-86.0177002,-898
49.2162018,-77.9804001,-3009
49.2069016,-73.9395981,-3394
49.1068993,-86.1471024,-802
49.1097984,-74.1225967,-3305
49.1171989,-50.4095001,-3752
49.0315018,-74.3364029,-2934
48.9972992,-77.6190033,-3027
48.969101,-86.2478027,-749
48.9370995,-74.5360031,-2651
48.8839989,-77.4606018,-2937
48.8207016,-86.3200989,-740
48.8293991,-50.5718994,-3645
48.6879005,-77.0969009,-2810
48.6335983,-86.3668976,-729
48.5791016,-76.7248993,-3003
48.5705986,-74.9645004,-3213
48.5320015,-76.5075989,-2178
48.5301018,-50.5009003,-3692
48.4603996,-75.8311996,-3140
48.4841003,-75.5875015,-2840
48.4827003,-75.3529968,-2927
48.4146996,-50.3498001,-3789
48.1637001,-86.4115982,-766
48.1561012,-50.0600014,-3772
48.0029984,-86.3984985,-787
47.9553986,-49.9936981,-3835
47.8595009,-86.3419037,-799
47.8068008,-86.2876968,-797
47.7543983,-85.3013,-723
