Lat,Lon,Elevation_m
44.2,38.8,-725
44.13,39.8,-769
43.99,37.79,-957
43.77,36.99,-2748
43.66,40.4,-2786
43.42,36.49,-2626
43.27,40.9,-721
42.96,41.3,-522
42.82,35.49,-3100
42.72,41.6,-769
42.53,34.79,-3472
42.33,34.29,-3341
42.33,42.11,-2429
41.98,33.58,-2880
41.81,33.48,-3057
41.64,33.38,-3182
41.63,43.01,-1092
41.1,49.92,-2414
40.97,30.98,-871
40.95,31.88,-1949
40.93,32.38,-84
40.96,32.98,-711
40.95,51.23,-899
40.73,53.03,-2275
40.65,48.22,-1404
40.6,45.51,-790
40.58,54.34,-1578
40.47,27.27,-1831
40.41,26.27,-2102
40.34,46.32,-266
40.28,25.76,-2009
40.2,1.6,-3718
40.2,2.41,-3841
40.21,47.42,-1134
40.18,55.14,-295
40.15,1.2,-3421
40.09,2.91,-3856
40.04,0.3,-3248
39.99,-0.15,-3567
39.93,-0.65,-3764
39.91,3.71,-3777
39.94,30.28,-2595
39.82,27.87,-2218
39.74,4.51,-3258
39.72,25.16,-1944
39.72,30.18,-2803
39.54,5.41,-2860
39.51,24.96,-2915
39.39,-1.35,-3764
39.29,6.12,-2726
39.3,29.97,-3220
39.06,28.57,-2028
39.09,29.87,-2973
38.99,24.46,-3591
38.98,55.44,-542
38.89,-1.65,-3650
38.88,29.77,-2047
38.67,7.42,-2673
38.68,24.16,-3479
38.6,-1.95,-3571
38.35,20.95,-1727
38.36,23.86,-3031
38.32,-2.76,-3295
38.22,21.75,-2109
38.12,8.52,-2649
38.14,20.45,-3096
38.09,-3.46,-3600
38.1,22.46,-1928
37.99,23.16,-2847
37.88,-4.06,-3697
37.75,-4.46,-3679
37.78,55.74,-524
37.67,20.05,-2835
37.36,9.52,-2534
37.29,-5.46,-3787
37.01,19.45,-1660
36.97,15.04,-2375
36.96,15.74,-2600
36.98,55.94,-1984
36.9,14.64,-3160
36.88,16.24,-2061
36.8,14.14,-3334
36.76,16.94,-2605
36.68,10.43,-2174
36.61,13.13,-3083
36.65,18.55,-1918
36.59,-6.27,-3634
36.6,17.84,-2861
36.5,-6.77,-3726
36.52,-6.67,-3741
36.44,12.23,-2049
36.39,-7.47,-3586
36.28,-8.17,-3783
36.22,11.13,-2012
36.18,56.14,-2357
36.14,-8.97,-3864
36.05,-9.57,-3818
35.97,56.24,-214
35.93,-10.28,-3836
35.86,56.44,-232
35.83,-10.88,-3986
35.78,-11.18,-3956
35.67,-11.88,-3564
35.3,57.34,-272
35.17,-12.38,-3720
34.8,-12.58,-3498
34.63,57.94,-411
34.61,-12.68,-4124
33.96,58.55,-747
33.87,-13.08,-3737
33.63,58.85,-628
33.49,63.66,-713
33.4,59.35,-1882
33.4,65.46,-1405
33.33,63.16,-551
33.34,66.27,-316
33.24,59.85,-965
33.23,64.26,-698
33.19,64.56,-899
33.11,62.46,-613
33.01,60.85,-549
33.02,67.57,42
32.98,62.06,-1691
32.96,71.58,-607
32.85,-13.78,-3805
32.87,70.68,-1894
32.74,68.67,304
32.77,69.67,-377
32.58,-14.29,-3298
32.29,-14.79,-3971
32.24,72.28,-1237
32.15,-14.89,-3873
32,-14.99,-3654
31.69,-15.19,-3985
31.24,-15.49,-3889
31.23,72.98,325
30.94,-15.69,-3974
30.94,73.38,-50
30.72,73.68,-2165
30.63,-15.99,-3985
30.51,73.99,-1864
30.44,74.09,-1820
30.31,-16.69,-3482
30.17,-16.99,-3627
29.89,-17.59,-3787
29.69,-17.9,-3578
29.32,74.99,-1711
29.19,75.29,-1981
29.1,75.59,-2197
29.06,75.79,-1894
29.09,76.19,-1024
28.56,-19,-4014
26.46,-19.9,-3806
25.93,-20.2,-3928
25.86,-20.3,-3830
25.46,-20.9,-3046
25.2,-21.3,-3883
25.13,-21.4,-3897
25,-21.6,-3888
24.87,-21.81,-3857
23.88,-22.61,-3738
23.08,-22.81,-3573
22.78,-23.01,-3308
21.13,-23.61,-3090
20.61,-23.71,-3194
20.07,-23.81,-3030
18.26,-23.91,-2934
17.02,-24.01,-2723
16.78,-24.21,-2648
16.43,-24.51,-2721
15.76,-24.71,-2572
13.48,-24.91,-2700
