Lat,Lon,Elevation_m
40.0666008,-0.10804,-3654
40.093399,-0.0276934,-3678
40.0987015,0.0580095,-3427
39.9220009,-0.359792,-3592
39.3326988,-1.0561301,-3355
39.1453018,-1.04541,-3311
39.043499,-1.19004,-3497
39.0596008,-1.0936199,-3397
39.0007019,-1.27038,-3464
38.9364014,-1.3293101,-3492
38.8507004,-1.3507299,-3534
38.6119003,-5.9983501,-3750
38.6290016,-6.09834,-3759
38.6319008,-6.3554401,-3906
38.6203995,-6.4411502,-3917
38.5936012,-1.3453701,-3447
38.5633011,-5.9240699,-3687
38.5662003,-6.51542,-3833
38.5079002,-1.40965,-3389
38.4435997,-1.92387,-3410
38.4597015,-1.5810601,-3427
38.4704018,-1.49535,-3358
38.4776001,-6.51542,-3996
38.4006996,-2.9148099,-3334
38.4275017,-2.2291901,-3450
38.4090004,-5.8526502,-3872
38.4090004,-5.8526502,-3872
38.3739014,-3.0058701,-3347
38.3578987,-2.0738499,-3450
38.346199,-5.78123,-3831
38.3633003,-6.64398,-3582
38.3805008,-6.72682,-3717
38.3833008,-6.9067998,-3785
38.3548012,-6.9953599,-3820
38.3042984,-3.05408,-3303
38.2975998,-6.57827,-3705
38.2891006,-7.0496402,-3838
38.2691002,-5.7469501,-3814
38.2575989,-6.3525901,-3753
38.2186012,-3.0701399,-3353
38.2033997,-5.6898198,-3784
38.1805,-6.3183098,-3946
38.1276016,-3.11835,-3393
38.1204987,-5.5384102,-3765
38.1234016,-7.12677,-3855
38.094799,-6.3040199,-3899
38.0718994,-6.4411502,-3837
38.0233994,-5.1013298,-3699
38.0405006,-5.48985,-3844
38.0461998,-7.0781999,-3839
37.9935989,-3.68613,-3518
38.0043983,-3.2576201,-3457
37.9935989,-3.68613,-3518
37.9804993,-3.7729299,-3445
38.0004997,-4.4271302,-3759
37.9976997,-4.5271201,-3768
37.9634018,-4.9384899,-3668
37.9776993,-5.0299101,-3688
37.9804993,-5.1784601,-3736
37.9833984,-5.427,-3991
37.9920006,-6.4154401,-3947
38.0004997,-7.0067902,-3889
37.9861984,-6.9210801,-3875
37.9920006,-6.4154401,-3947
37.9319992,-3.8443501,-3478
37.9547997,-4.3471398,-3711
37.9491005,-4.5985398,-3713
37.9205017,-4.6870999,-3732
37.9205017,-4.8585,-3694
37.9147987,-5.2413101,-3674
37.9434013,-5.3470101,-3709
37.9547997,-6.8410902,-3882
37.9090996,-6.7639599,-3922
37.8777008,-6.4040098,-3877
37.8033981,-3.9614799,-3561
37.8204994,-6.4668598,-4022
37.7522011,-5.9465499,-3681
37.7834015,-4.33286,-3649
37.7891006,-6.6354098,-3916
37.7719994,-6.5525599,-3884
37.7378998,-5.8608398,-3723
37.6949005,-4.0928898,-3576
37.6920013,-4.1785898,-3572
37.6735992,-5.80371,-3746
37.5878983,-5.78228,-3639
37.5592995,-5.0323801,-3751
37.5665016,-5.1180902,-3774
37.537899,-5.2037902,-3776
37.5307999,-5.84656,-3647
37.4950981,-4.77527,-3617
37.4450989,-4.6967101,-3678
37.4594002,-5.8965502,-3841
37.4165001,-5.3252001,-3758
37.3665009,-5.3966198,-3787
37.3879013,-5.5608802,-3748
37.4165001,-5.8179898,-3735
37.3307991,-4.5681601,-3732
37.3521996,-5.4823198,-3722
37.2022018,-5.8965502,-3699
37.2022018,-5.8108501,-3662
37.2522011,-4.52531,-3668
37.1307983,-5.9465499,-3797
37.1236992,-5.7680001,-3710
37.0593987,-5.7108598,-3619
37.0307999,-9.6674805,-3888
36.9950981,-5.8394198,-3719
37.0307999,-5.6251602,-3699
37.0307999,-5.5394602,-3552
36.9950981,-4.52531,-3567
36.9665985,-9.73176,-3835
36.9808998,-9.5960598,-3914
36.9665985,-9.2389603,-3756
36.9737015,-9.1532602,-3835
36.9737015,-5.4537501,-3725
36.8809013,-12.3670998,-3918
36.9309006,-12.1956997,-3911
36.9309006,-12.1099997,-3885
36.8880005,-12.0313997,-3892
36.8880005,-9.7817497,-3809
36.8950996,-9.5960598,-3898
36.8880005,-9.3960896,-3804
36.8950996,-9.1961098,-3938
36.9094009,-5.84656,-3676
36.9094009,-4.5538702,-3410
36.8308983,-11.9672003,-3882
36.8308983,-9.8460302,-3824
36.8594017,-9.2746696,-3911
36.8308983,-7.6034698,-3769
36.8380013,-7.5177698,-3686
36.8451996,-5.3394799,-3429
36.8451996,-4.6181502,-3480
36.8022995,-9.9317303,-3845
36.8166008,-9.5460701,-3672
36.8237,-9.4603596,-3490
36.780899,-7.4534898,-3637
36.8022995,-5.9822602,-3737
36.7452011,-12.4884996,-4035
36.7452011,-11.9315004,-3901
36.7452011,-9.9960098,-3880
36.7593994,-9.41751,-3923
36.7452011,-7.5963302,-3680
36.7452011,-7.3677802,-3650
36.7165985,-5.9751101,-3715
36.7593994,-5.1894999,-3654
36.7308998,-4.8466902,-3571
36.7452011,-4.7609901,-3529
36.6879997,-9.4674997,-3918
36.6095009,-11.8242998,-3918
36.6451988,-10.0173998,-3852
36.6595001,-7.5820398,-3717
36.6237984,-7.2392302,-3630
36.5666008,-10.0602999,-3818
36.5808983,-7.54633,-3758
36.5737991,-5.5465999,-3679
36.5808983,-5.6322999,-3806
36.6022987,-5.8394198,-3638
36.530899,-10.1459999,-3807
36.5166016,-7.4892001,-3658
36.530899,-7.0892501,-3678
36.530899,-7.0035501,-3643
36.5237999,-5.4751801,-3328
36.530899,-5.7108598,-3784
36.5094986,-5.7965698,-3771
36.4880981,-11.7028999,-3897
36.4952011,-10.3174,-3829
36.4095001,-11.6601,-3891
36.4095001,-10.6458998,-3826
36.4238014,-10.4744997,-3703
36.4309006,-9.5103598,-3705
36.402401,-9.5960598,-3842
36.4095001,-9.7674599,-3811
36.4309006,-8.3247995,-3709
36.4309006,-7.4749098,-3612
36.4380989,-5.4537501,-3371
36.3666,-11.2814999,-3906
36.3880997,-11.1957998,-3932
36.3524017,-10.5816002,-3868
36.3880997,-9.8531704,-3894
36.3524017,-7.5106201,-3653
36.3023987,-11.1886997,-3906
36.3237991,-10.4102001,-3876
36.3237991,-10.0173998,-3915
36.3095016,-6.7321601,-3618
36.2952003,-5.55374,-3705
36.2308998,-11.6315002,-3871
36.2380981,-10.2602997,-3739
36.2594986,-10.0746002,-3778
36.2308998,-8.1248302,-3789
36.2167015,-11.5458002,-3907
36.2167015,-11.2173004,-3942
36.1880989,-9.3532305,-3489
36.1809998,-9.2675304,-3850
36.1880989,-8.0391197,-3762
36.2024002,-7.6177502,-3586
36.2238007,-6.7178702,-3713
36.1451988,-12.4884996,-3965
36.1310005,-11.2173004,-3927
36.1310005,-9.41751,-3859
36.1666985,-8.55334,-3773
36.1666985,-7.9534202,-3779
36.152401,-7.7820201,-3747
36.1595001,-7.69631,-3659
36.1237984,-5.4537501,-3596
36.152401,-5.4537501,-3587
36.0881004,-10.0959997,-3947
36.1024017,-9.2318201,-3695
36.0810013,-8.55334,-3819
36.1095009,-6.8607101,-3646
36.0667,-12.5242004,-3953
36.0667,-10.2173996,-3765
36.0452995,-9.41751,-3762
36.0667,-9.1532602,-3412
36.0381012,-8.7247496,-3377
36.0237999,-6.9106998,-3556
35.9738007,-10.9959002,-3962
36.0023994,-10.0674,-3819
35.9738007,-8.6676102,-3179
35.9953003,-8.5819101,-3260
35.9309998,-12.6598997,-3916
35.9595985,-11.2672997,-3993
35.9166985,-10.9315996,-3963
35.9524002,-9.4674997,-3693
35.9309998,-6.8821402,-3596
35.8880997,-11.3243999,-3960
35.902401,-11.0459003,-3861
35.8810005,-9.9317303,-3603
35.8810005,-9.5246401,-3106
35.8023987,-11.4814997,-3921
35.8310013,-10.8958998,-3987
35.8096008,-10.2103004,-3788
35.8452988,-9.8531704,-3365
35.8310013,-9.7674599,-3409
35.8310013,-9.5960598,-3236
35.8167,-6.26793,-3591
35.7667007,-12.7384996,-3908
35.7453003,-11.5458002,-3895
35.7667007,-10.9386997,-3918
35.7952995,-6.7750101,-3650
35.7738991,-6.6893001,-3596
35.7596016,-6.4322,-3558
35.7238998,-10.2244997,-3445
35.6666985,-11.5815001,-3885
35.6809998,-10.9315996,-3870
35.6739006,-10.7888002,-3840
35.6381989,-10.7102003,-3803
35.6595993,-10.2817001,-3522
35.6096001,-10.9815998,-3849
35.6166992,-10.6245003,-3827
35.6166992,-10.4531002,-3606
35.5667992,-12.9242001,-4016
35.5810013,-11.5743999,-3834
35.5096016,-11.1316004,-3783
35.4310989,-11.3815002,-3846
35.4382019,-11.2958002,-3802
35.3953018,-12.9242001,-3849
35.4168015,-11.6457996,-3851
35.3881989,-11.4601002,-3852
35.3454018,-11.5958004,-3885
35.3096008,-11.5172005,-3728
35.2238998,-12.9098997,-4011
35.0525017,-12.8741999,-4047
34.9953995,-12.4813995,-3953
34.9953995,-12.5670996,-3942
34.9383011,-12.4171,-3957
34.9454002,-12.6385002,-3667
34.9883003,-12.8170996,-3635
34.8526001,-12.3957005,-3936
34.7811012,-12.3457003,-3949
34.7668991,-12.2600002,-3897
34.7025986,-12.2028999,-3874
34.6169014,-12.2028999,-3888
34.5239983,-12.8813,-3597
34.5526009,-12.7955999,-3816
34.473999,-12.9527998,-3811
34.4598007,-12.3100004,-3589
34.4025993,-13.0026999,-3591
